Div1: New England, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02241	0.02197	0.11	100000	2197	98046	7105547	71.06
1960-1964	1	0.00117	0.00117	0.5	97803	114	97746	7007501	71.65
1960-1964	2	0.00080	0.00080	0.5	97688	79	97649	6909755	70.73
1960-1964	3	0.00059	0.00059	0.5	97610	58	97581	6812106	69.79
1960-1964	4	0.00054	0.00054	0.5	97552	52	97526	6714525	68.83
1960-1964	5	0.00048	0.00048	0.5	97500	47	97476	6616999	67.87
1960-1964	6	0.00047	0.00047	0.5	97453	46	97430	6519523	66.90
1960-1964	7	0.00042	0.00042	0.5	97407	41	97386	6422093	65.93
1960-1964	8	0.00035	0.00035	0.5	97366	34	97349	6324706	64.96
1960-1964	9	0.00029	0.00029	0.5	97333	28	97319	6227357	63.98
1960-1964	10	0.00031	0.00031	0.5	97305	30	97290	6130038	63.00
1960-1964	11	0.00032	0.00032	0.5	97275	31	97260	6032748	62.02
1960-1964	12	0.00034	0.00034	0.5	97244	33	97227	5935489	61.04
1960-1964	13	0.00035	0.00035	0.5	97211	34	97194	5838261	60.06
1960-1964	14	0.00042	0.00042	0.5	97177	41	97156	5741068	59.08
1960-1964	15	0.00046	0.00046	0.5	97136	45	97114	5643911	58.10
1960-1964	16	0.00062	0.00062	0.5	97091	60	97061	5546797	57.13
1960-1964	17	0.00072	0.00072	0.5	97031	70	96996	5449736	56.16
1960-1964	18	0.00075	0.00075	0.5	96961	73	96925	5352740	55.20
1960-1964	19	0.00086	0.00086	0.5	96889	83	96847	5255815	54.25
1960-1964	20	0.00084	0.00084	0.5	96806	82	96765	5158967	53.29
1960-1964	21	0.00091	0.00091	0.5	96724	88	96680	5062202	52.34
1960-1964	22	0.00092	0.00092	0.5	96637	88	96592	4965522	51.38
1960-1964	23	0.00091	0.00091	0.5	96548	88	96504	4868929	50.43
1960-1964	24	0.00092	0.00092	0.5	96460	89	96416	4772425	49.48
