Div1: New England, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02319	0.02272	0.11	100000	2272	97985	7072419	70.72
1959	1-4	0.00086	0.00343	1.7	97728	335	390143	6974434	71.37
1959	5-9	0.00044	0.00220	2.31	97393	214	486390	6584290	67.61
1959	10-14	0.00042	0.00207	2.66	97179	202	485423	6097900	62.75
1959	15-19	0.00069	0.00342	2.74	96977	332	484135	5612477	57.87
1959	20-24	0.00099	0.00494	2.4	96645	478	481986	5128342	53.06
1959	25-29	0.00091	0.00453	2.61	96168	435	479801	4646355	48.32
1959	30-34	0.00126	0.00629	2.59	95733	602	477210	4166555	43.52
1959	35-39	0.00189	0.00942	2.71	95131	896	473606	3689345	38.78
1959	40-44	0.00306	0.01518	2.71	94235	1431	467894	3215739	34.12
1959	45-49	0.00537	0.02650	2.71	92804	2459	458399	2747845	29.61
1959	50-54	0.00855	0.04192	2.66	90345	3787	442867	2289446	25.34
1959	55-59	0.01345	0.06517	2.64	86558	5641	419480	1846579	21.33
1959	60-64	0.02052	0.09787	2.64	80917	7919	385893	1427099	17.64
1959	65-69	0.03251	0.15069	2.58	72998	11000	338361	1041206	14.26
1959	70-74	0.04818	0.21585	2.59	61998	13382	277737	702845	11.34
1959	75-79	0.07447	0.31437	2.52	48615	15283	205236	425109	8.74
1959	80-84	0.11367	0.44078	2.45	33332	14692	129252	219872	6.60
1959	85-89	0.17475	0.59209	2.28	18640	11037	63157	90621	4.86
1959	90-94	0.25355	0.73552	2.15	7603	5592	22057	27464	3.61
1959	95-99	0.35726	0.84930	1.91	2011	1708	4780	5407	2.69
1959	100-104	0.47601	0.92199	1.68	303	279	587	626	2.07
1959	105-109	0.59899	0.96072	1.47	24	23	38	39	1.66
1959	110+	0.69603	1.00000	1.44	1	1	1	1	1.44
1960	0	0.02270	0.02225	0.11	100000	2225	98024	7062171	70.62
1960	1-4	0.00081	0.00323	1.68	97775	316	390366	6964148	71.23
1960	5-9	0.00045	0.00223	2.26	97459	217	486698	6573781	67.45
1960	10-14	0.00035	0.00174	2.71	97241	169	485819	6087083	62.60
1960	15-19	0.00073	0.00362	2.76	97072	352	484573	5601264	57.70
1960	20-24	0.00093	0.00462	2.59	96720	447	482523	5116692	52.90
1960	25-29	0.00098	0.00489	2.53	96273	471	480206	4634169	48.14
1960	30-34	0.00119	0.00596	2.54	95802	571	477608	4153963	43.36
1960	35-39	0.00199	0.00993	2.72	95232	946	474006	3676355	38.60
1960	40-44	0.00318	0.01579	2.74	94286	1489	468066	3202349	33.96
1960	45-49	0.00538	0.02657	2.71	92797	2465	458328	2734283	29.47
1960	50-54	0.00891	0.04363	2.65	90332	3941	442415	2275955	25.20
1960	55-59	0.01333	0.06466	2.68	86390	5586	419015	1833540	21.22
1960	60-64	0.02154	0.10257	2.68	80805	8288	384786	1414525	17.51
1960	65-69	0.03252	0.15094	2.63	72517	10945	336593	1029739	14.20
1960	70-74	0.04927	0.21992	2.56	61571	13540	274848	693146	11.26
1960	75-79	0.07529	0.31757	2.54	48031	15253	202599	418298	8.71
1960	80-84	0.11452	0.44346	2.46	32778	14536	126923	215699	6.58
1960	85-89	0.17284	0.59032	2.32	18242	10769	62304	88776	4.87
1960	90-94	0.25987	0.74540	2.14	7473	5571	21436	26472	3.54
1960	95-99	0.36342	0.85456	1.9	1903	1626	4474	5036	2.65
1960	100-104	0.48459	0.92578	1.66	277	256	529	562	2.03
1960	105-109	0.60904	0.96295	1.45	21	20	32	34	1.63
1960	110+	0.70652	1.00000	1.42	1	1	1	1	1.42
1961	0	0.02311	0.02264	0.11	100000	2264	97990	7090413	70.90
1961	1-4	0.00085	0.00339	1.63	97736	332	390157	6992423	71.54
1961	5-9	0.00041	0.00204	2.21	97404	199	486467	6602266	67.78
1961	10-14	0.00041	0.00204	2.69	97205	199	485569	6115799	62.92
1961	15-19	0.00063	0.00312	2.77	97007	303	484359	5630231	58.04
1961	20-24	0.00090	0.00448	2.52	96704	433	482445	5145872	53.21
1961	25-29	0.00093	0.00466	2.51	96270	449	480232	4663427	48.44
