Div1: New England, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.01920	0.01888	0.11	100000	1888	98314	7394460	73.94
1959	1	0.00121	0.00121	0.5	98112	119	98053	7296146	74.37
1959	2	0.00080	0.00080	0.5	97994	78	97954	7198093	73.45
1959	3	0.00064	0.00064	0.5	97915	62	97884	7100139	72.51
1959	4	0.00048	0.00047	0.5	97853	46	97830	7002255	71.56
1959	5	0.00059	0.00059	0.5	97807	58	97778	6904425	70.59
1959	6	0.00027	0.00027	0.5	97748	26	97735	6806647	69.63
1959	7	0.00035	0.00035	0.5	97722	34	97705	6708912	68.65
1959	8	0.00024	0.00024	0.5	97688	23	97676	6611207	67.68
1959	9	0.00038	0.00038	0.5	97665	37	97646	6513530	66.69
1959	10	0.00029	0.00029	0.5	97628	28	97614	6415884	65.72
1959	11	0.00020	0.00020	0.5	97599	19	97590	6318271	64.74
1959	12	0.00038	0.00038	0.5	97580	37	97562	6220681	63.75
1959	13	0.00025	0.00025	0.5	97543	25	97531	6123119	62.77
1959	14	0.00033	0.00033	0.5	97518	33	97502	6025589	61.79
1959	15	0.00043	0.00043	0.5	97486	42	97465	5928087	60.81
1959	16	0.00048	0.00048	0.5	97444	47	97421	5830622	59.84
1959	17	0.00028	0.00028	0.5	97397	27	97384	5733201	58.86
1959	18	0.00034	0.00034	0.5	97370	33	97353	5635818	57.88
1959	19	0.00052	0.00052	0.5	97337	51	97312	5538464	56.90
1959	20	0.00050	0.00050	0.5	97286	49	97262	5441153	55.93
1959	21	0.00058	0.00058	0.5	97238	56	97210	5343891	54.96
1959	22	0.00044	0.00044	0.5	97181	43	97160	5246681	53.99
1959	23	0.00058	0.00057	0.5	97139	56	97111	5149521	53.01
1959	24	0.00065	0.00065	0.5	97083	64	97051	5052410	52.04
1959	25	0.00063	0.00063	0.5	97019	61	96989	4955359	51.08
1959	26	0.00060	0.00060	0.5	96958	58	96929	4858370	50.11
1959	27	0.00048	0.00048	0.5	96900	46	96877	4761441	49.14
1959	28	0.00062	0.00062	0.5	96854	60	96824	4664564	48.16
1959	29	0.00082	0.00081	0.5	96794	79	96754	4567740	47.19
1959	30	0.00077	0.00077	0.5	96715	74	96678	4470986	46.23
1959	31	0.00099	0.00099	0.5	96641	95	96593	4374308	45.26
1959	32	0.00097	0.00096	0.5	96545	93	96499	4277715	44.31
1959	33	0.00104	0.00104	0.5	96452	100	96402	4181216	43.35
1959	34	0.00114	0.00114	0.5	96352	110	96297	4084815	42.39
1959	35	0.00122	0.00122	0.5	96242	117	96183	3988518	41.44
1959	36	0.00155	0.00154	0.5	96125	148	96051	3892334	40.49
1959	37	0.00113	0.00113	0.5	95976	108	95922	3796284	39.55
1959	38	0.00166	0.00166	0.5	95868	159	95789	3700362	38.60
