Div2: Mid-Atlantic, Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02207	0.02164	0.11	100000	2164	98084	7262162	72.62
1959	1	0.00128	0.00127	0.5	97836	125	97773	7164077	73.23
1959	2	0.00077	0.00077	0.5	97711	75	97673	7066304	72.32
1959	3	0.00065	0.00065	0.5	97636	64	97604	6968631	71.37
1959	4	0.00061	0.00061	0.5	97572	60	97542	6871027	70.42
1959	5	0.00054	0.00054	0.5	97512	52	97486	6773486	69.46
1959	6	0.00046	0.00046	0.5	97460	44	97437	6676000	68.50
1959	7	0.00038	0.00038	0.5	97415	37	97397	6578562	67.53
1959	8	0.00028	0.00028	0.5	97378	27	97365	6481166	66.56
1959	9	0.00034	0.00034	0.5	97351	33	97335	6383801	65.58
1959	10	0.00030	0.00030	0.5	97318	29	97303	6286466	64.60
1959	11	0.00030	0.00030	0.5	97289	29	97274	6189163	63.62
1959	12	0.00035	0.00035	0.5	97260	34	97242	6091889	62.64
1959	13	0.00021	0.00021	0.5	97225	21	97215	5994646	61.66
1959	14	0.00030	0.00030	0.5	97205	29	97190	5897431	60.67
1959	15	0.00037	0.00037	0.5	97176	36	97158	5800241	59.69
1959	16	0.00041	0.00041	0.5	97140	40	97120	5703083	58.71
1959	17	0.00043	0.00043	0.5	97100	41	97079	5605963	57.73
1959	18	0.00053	0.00053	0.5	97059	51	97033	5508884	56.76
1959	19	0.00058	0.00058	0.5	97008	56	96980	5411851	55.79
1959	20	0.00057	0.00057	0.5	96952	56	96924	5314871	54.82
1959	21	0.00064	0.00064	0.5	96896	62	96865	5217947	53.85
1959	22	0.00060	0.00060	0.5	96834	58	96805	5121082	52.89
1959	23	0.00063	0.00063	0.5	96776	61	96746	5024277	51.92
1959	24	0.00071	0.00071	0.5	96715	69	96681	4927532	50.95
1959	25	0.00066	0.00066	0.5	96647	64	96614	4830851	49.98
1959	26	0.00077	0.00076	0.5	96582	74	96545	4734237	49.02
1959	27	0.00079	0.00079	0.5	96508	76	96471	4637691	48.05
1959	28	0.00088	0.00088	0.5	96433	85	96390	4541221	47.09
1959	29	0.00094	0.00094	0.5	96348	91	96303	4444830	46.13
1959	30	0.00108	0.00108	0.5	96257	104	96205	4348528	45.18
1959	31	0.00116	0.00116	0.5	96153	112	96097	4252323	44.22
1959	32	0.00123	0.00123	0.5	96041	118	95983	4156225	43.28
1959	33	0.00131	0.00131	0.5	95924	126	95861	4060243	42.33
1959	34	0.00129	0.00129	0.5	95798	123	95736	3964382	41.38
1959	35	0.00130	0.00130	0.5	95674	124	95612	3868646	40.44
1959	36	0.00160	0.00160	0.5	95550	153	95474	3773034	39.49
1959	37	0.00170	0.00169	0.5	95397	162	95316	3677560	38.55
1959	38	0.00199	0.00198	0.5	95236	189	95141	3582244	37.61
1959	39	0.00210	0.00210	0.5	95047	199	94947	3487103	36.69
1959	40	0.00231	0.00231	0.5	94847	219	94738	3392156	35.76
1959	41	0.00243	0.00242	0.5	94629	229	94514	3297418	34.85
1959	42	0.00283	0.00283	0.5	94399	267	94266	3202904	33.93
1959	43	0.00284	0.00284	0.5	94132	267	93999	3108638	33.02
1959	44	0.00319	0.00318	0.5	93866	299	93716	3014639	32.12
1959	45	0.00363	0.00363	0.5	93567	339	93397	2920923	31.22
1959	46	0.00408	0.00408	0.5	93228	380	93038	2827526	30.33
1959	47	0.00430	0.00429	0.5	92848	398	92648	2734488	29.45
1959	48	0.00488	0.00487	0.5	92449	450	92224	2641840	28.58
1959	49	0.00508	0.00506	0.5	91999	466	91766	2549615	27.71
1959	50	0.00596	0.00594	0.5	91533	544	91261	2457849	26.85
1959	51	0.00614	0.00613	0.5	90989	557	90711	2366588	26.01
1959	52	0.00686	0.00684	0.5	90432	618	90123	2275877	25.17
1959	53	0.00734	0.00731	0.5	89814	657	89485	2185754	24.34
1959	54	0.00781	0.00778	0.5	89157	693	88810	2096269	23.51
1959	55	0.00838	0.00835	0.5	88464	738	88095	2007458	22.69
1959	56	0.00939	0.00935	0.5	87725	820	87315	1919364	21.88
1959	57	0.00923	0.00918	0.5	86905	798	86506	1832048	21.08
1959	58	0.01173	0.01166	0.5	86107	1004	85605	1745542	20.27
1959	59	0.01231	0.01223	0.5	85103	1041	84583	1659937	19.50
1959	60	0.01321	0.01312	0.5	84063	1103	83511	1575354	18.74
1959	61	0.01389	0.01380	0.5	82960	1145	82387	1491843	17.98
1959	62	0.01697	0.01683	0.5	81815	1377	81127	1409455	17.23
1959	63	0.01831	0.01814	0.5	80438	1459	79708	1328329	16.51
1959	64	0.01844	0.01827	0.5	78979	1443	78257	1248620	15.81
1959	65	0.02224	0.02200	0.5	77536	1706	76683	1170363	15.09
1959	66	0.02272	0.02247	0.5	75830	1704	74978	1093680	14.42
1959	67	0.02632	0.02598	0.5	74126	1925	73164	1018701	13.74
1959	68	0.02858	0.02818	0.5	72201	2035	71184	945538	13.10
1959	69	0.03032	0.02986	0.5	70166	2095	69119	874354	12.46
1959	70	0.03657	0.03592	0.5	68071	2445	66848	805236	11.83
1959	71	0.03607	0.03543	0.5	65626	2325	64463	738387	11.25
1959	72	0.04312	0.04221	0.5	63301	2672	61965	673924	10.65
1959	73	0.04631	0.04526	0.5	60629	2744	59257	611959	10.09
1959	74	0.05023	0.04900	0.5	57885	2836	56467	552702	9.55
1959	75	0.06049	0.05872	0.5	55048	3232	53432	496236	9.01
1959	76	0.06257	0.06068	0.5	51816	3144	50244	442803	8.55
1959	77	0.06682	0.06466	0.5	48672	3147	47099	392559	8.07
1959	78	0.07459	0.07191	0.5	45525	3274	43888	345460	7.59
1959	79	0.08646	0.08287	0.5	42251	3502	40501	301572	7.14
1959	80	0.09766	0.09312	0.5	38750	3608	36946	261071	6.74
1959	81	0.09250	0.08841	0.5	35142	3107	33588	224126	6.38
1959	82	0.11031	0.10455	0.5	32035	3349	30360	190537	5.95
1959	83	0.12330	0.11614	0.5	28686	3332	27020	160177	5.58
1959	84	0.13337	0.12503	0.5	25354	3170	23769	133157	5.25
1959	85	0.15113	0.14051	0.5	22184	3117	20625	109388	4.93
1959	86	0.16183	0.14971	0.5	19067	2855	17640	88763	4.66
1959	87	0.17020	0.15685	0.5	16212	2543	14941	71123	4.39
1959	88	0.18642	0.17052	0.5	13669	2331	12504	56182	4.11
1959	89	0.20333	0.18457	0.5	11338	2093	10292	43678	3.85
1959	90	0.23216	0.20801	0.5	9246	1923	8284	33386	3.61
1959	91	0.22663	0.20356	0.5	7323	1491	6577	25102	3.43
1959	92	0.26451	0.23361	0.5	5832	1362	5151	18525	3.18
1959	93	0.28451	0.24908	0.5	4470	1113	3913	13374	2.99
1959	94	0.32422	0.27899	0.5	3356	936	2888	9461	2.82
1959	95	0.32261	0.27780	0.5	2420	672	2084	6573	2.72
1959	96	0.34545	0.29457	0.5	1748	515	1490	4489	2.57
1959	97	0.36903	0.31155	0.5	1233	384	1041	2999	2.43
1959	98	0.39325	0.32863	0.5	849	279	709	1958	2.31
1959	99	0.41801	0.34575	0.5	570	197	471	1249	2.19
1959	100	0.44319	0.36280	0.5	373	135	305	777	2.09
1959	101	0.46867	0.37969	0.5	238	90	192	472	1.99
1959	102	0.49430	0.39635	0.5	147	58	118	280	1.90
1959	103	0.51997	0.41268	0.5	89	37	71	162	1.82
1959	104	0.54554	0.42862	0.5	52	22	41	91	1.74
1959	105	0.57086	0.44410	0.5	30	13	23	50	1.68
1959	106	0.59582	0.45906	0.5	17	8	13	27	1.61
1959	107	0.62030	0.47345	0.5	9	4	7	14	1.56
1959	108	0.64417	0.48724	0.5	5	2	4	7	1.51
1959	109	0.66735	0.50039	0.5	2	1	2	4	1.47
1959	110+	0.68975	1.00000	1.45	1	1	2	2	1.45
1960	0	0.02164	0.02123	0.11	100000	2123	98118	7280746	72.81
1960	1	0.00129	0.00128	0.5	97877	126	97814	7182628	73.38
1960	2	0.00086	0.00086	0.5	97751	84	97709	7084814	72.48
1960	3	0.00068	0.00068	0.5	97667	66	97633	6987105	71.54
1960	4	0.00053	0.00053	0.5	97600	51	97575	6889472	70.59
1960	5	0.00048	0.00048	0.5	97549	47	97525	6791897	69.63
1960	6	0.00043	0.00043	0.5	97502	42	97481	6694372	68.66
1960	7	0.00036	0.00036	0.5	97460	35	97442	6596892	67.69
1960	8	0.00028	0.00028	0.5	97425	28	97411	6499449	66.71
1960	9	0.00036	0.00036	0.5	97397	35	97380	6402038	65.73
1960	10	0.00022	0.00022	0.5	97362	21	97351	6304659	64.75
1960	11	0.00024	0.00024	0.5	97341	24	97329	6207308	63.77
1960	12	0.00029	0.00029	0.5	97317	28	97303	6109979	62.78
1960	13	0.00030	0.00030	0.5	97289	29	97275	6012676	61.80
1960	14	0.00032	0.00032	0.5	97260	31	97244	5915401	60.82
1960	15	0.00037	0.00037	0.5	97229	36	97210	5818157	59.84
