Div2: Mid-Atlantic, Lifetables (period 5x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02109	0.02070	0.11	100000	2070	98162	7299732	73.00
1960-1964	1-4	0.00079	0.00314	1.62	97930	308	390989	7201570	73.54
1960-1964	5-9	0.00036	0.00180	2.29	97623	176	487638	6810580	69.76
1960-1964	10-14	0.00027	0.00137	2.61	97447	133	486917	6322943	64.89
1960-1964	15-19	0.00045	0.00224	2.67	97314	218	486061	5836026	59.97
1960-1964	20-24	0.00063	0.00315	2.58	97096	306	484738	5349965	55.10
1960-1964	25-29	0.00085	0.00422	2.64	96790	409	482983	4865228	50.27
1960-1964	30-34	0.00119	0.00595	2.63	96381	573	480547	4382245	45.47
1960-1964	35-39	0.00178	0.00884	2.67	95808	847	477069	3901698	40.72
1960-1964	40-44	0.00274	0.01361	2.65	94961	1292	471774	3424629	36.06
1960-1964	45-49	0.00434	0.02147	2.66	93669	2011	463632	2952855	31.52
1960-1964	50-54	0.00665	0.03274	2.63	91658	3001	451173	2489223	27.16
1960-1964	55-59	0.00996	0.04868	2.65	88657	4316	433133	2038050	22.99
1960-1964	60-64	0.01561	0.07528	2.65	84341	6349	406777	1604917	19.03
1960-1964	65-69	0.02499	0.11798	2.63	77992	9201	368133	1198140	15.36
1960-1964	70-74	0.04079	0.18581	2.6	68791	12782	313335	830007	12.07
1960-1964	75-79	0.06508	0.28058	2.55	56009	15715	241475	516672	9.22
1960-1964	80-84	0.10667	0.42001	2.47	40294	16924	158648	275197	6.83
1960-1964	85-89	0.16832	0.57970	2.32	23370	13548	80489	116549	4.99
1960-1964	90-94	0.24844	0.72654	2.14	9822	7136	28725	36061	3.67
1960-1964	95-99	0.35096	0.84416	1.93	2686	2267	6461	7336	2.73
1960-1964	100-104	0.47022	0.91948	1.69	419	385	819	875	2.09
1960-1964	105-109	0.59355	0.95950	1.47	34	32	54	56	1.68
1960-1964	110+	0.69070	1.00000	1.45	1	1	2	2	1.45
1965-1969	0	0.01935	0.01902	0.11	100000	1902	98302	7355415	73.55
1965-1969	1-4	0.00072	0.00287	1.65	98098	282	391729	7257114	73.98
1965-1969	5-9	0.00033	0.00164	2.28	97816	161	488642	6865384	70.19
1965-1969	10-14	0.00027	0.00133	2.6	97655	130	487964	6376742	65.30
1965-1969	15-19	0.00049	0.00244	2.73	97525	238	487085	5888779	60.38
1965-1969	20-24	0.00066	0.00331	2.57	97287	322	485653	5401694	55.52
1965-1969	25-29	0.00082	0.00411	2.61	96965	398	483872	4916042	50.70
1965-1969	30-34	0.00121	0.00602	2.66	96567	581	481474	4432169	45.90
1965-1969	35-39	0.00182	0.00907	2.65	95986	870	477886	3950695	41.16
1965-1969	40-44	0.00278	0.01379	2.65	95115	1312	472495	3472810	36.51
1965-1969	45-49	0.00431	0.02133	2.67	93803	2001	464353	3000315	31.99
1965-1969	50-54	0.00655	0.03224	2.64	91802	2960	452038	2535962	27.62
1965-1969	55-59	0.00967	0.04727	2.64	88842	4199	434318	2083924	23.46
1965-1969	60-64	0.01463	0.07070	2.63	84643	5984	409014	1649606	19.49
1965-1969	65-69	0.02343	0.11097	2.63	78659	8729	372604	1240592	15.77
1965-1969	70-74	0.03807	0.17458	2.62	69931	12208	320657	867988	12.41
1965-1969	75-79	0.06219	0.26988	2.55	57722	15578	250470	547331	9.48
1965-1969	80-84	0.10162	0.40463	2.48	42144	17053	167804	296861	7.04
1965-1969	85-89	0.16118	0.56367	2.33	25091	14143	87751	129058	5.14
1965-1969	90-94	0.24027	0.71445	2.16	10948	7822	32555	41306	3.77
1965-1969	95-99	0.34123	0.83568	1.95	3126	2613	7656	8751	2.80
1965-1969	100-104	0.46034	0.91501	1.71	514	470	1021	1095	2.13
1965-1969	105-109	0.58470	0.95749	1.49	44	42	71	74	1.70
1965-1969	110+	0.68319	1.00000	1.46	2	2	3	3	1.46
1970-1974	0	0.01576	0.01553	0.1	100000	1553	98597	7475634	74.76
1970-1974	1-4	0.00063	0.00250	1.65	98447	246	393209	7377036	74.93
1970-1974	5-9	0.00032	0.00158	2.28	98201	156	490581	6983827	71.12
1970-1974	10-14	0.00027	0.00133	2.72	98045	131	489928	6493246	66.23
1970-1974	15-19	0.00052	0.00261	2.76	97914	255	488999	6003318	61.31
1970-1974	20-24	0.00068	0.00342	2.52	97659	334	487466	5514319	56.47
1970-1974	25-29	0.00080	0.00399	2.59	97325	388	485688	5026853	51.65
1970-1974	30-34	0.00110	0.00548	2.65	96937	531	483436	4541165	46.85
1970-1974	35-39	0.00166	0.00828	2.66	96406	798	480164	4057729	42.09
1970-1974	40-44	0.00261	0.01299	2.67	95607	1242	475146	3577565	37.42
1970-1974	45-49	0.00403	0.01995	2.67	94365	1883	467430	3102419	32.88
1970-1974	50-54	0.00595	0.02934	2.66	92482	2714	456065	2634989	28.49
1970-1974	55-59	0.00897	0.04391	2.64	89769	3942	439551	2178924	24.27
1970-1974	60-64	0.01359	0.06581	2.62	85826	5648	415680	1739372	20.27
1970-1974	65-69	0.02105	0.10025	2.62	80178	8038	381785	1323692	16.51
1970-1974	70-74	0.03448	0.15938	2.63	72140	11498	333487	941907	13.06
1970-1974	75-79	0.05660	0.24894	2.58	60643	15096	266705	608420	10.03
1970-1974	80-84	0.09206	0.37444	2.51	45546	17054	185245	341715	7.50
1970-1974	85-89	0.14687	0.52979	2.37	28492	15095	102777	156470	5.49
1970-1974	90-94	0.22290	0.68711	2.21	13397	9205	41297	53693	4.01
1970-1974	95-99	0.32042	0.81592	1.99	4192	3420	10674	12396	2.96
1970-1974	100-104	0.43825	0.90403	1.75	772	698	1592	1722	2.23
1970-1974	105-109	0.56389	0.95233	1.52	74	71	125	130	1.76
1970-1974	110+	0.66468	1.00000	1.5	4	4	5	5	1.50
1975-1979	0	0.01314	0.01298	0.09	100000	1298	98818	7659215	76.59
1975-1979	1-4	0.00051	0.00203	1.66	98702	200	394337	7560397	76.60
1975-1979	5-9	0.00026	0.00130	2.3	98501	128	492161	7166060	72.75
1975-1979	10-14	0.00022	0.00111	2.64	98373	110	491608	6673898	67.84
1975-1979	15-19	0.00045	0.00224	2.72	98264	220	490817	6182290	62.92
1975-1979	20-24	0.00057	0.00283	2.55	98044	278	489537	5691473	58.05
1975-1979	25-29	0.00067	0.00337	2.56	97766	329	488028	5201935	53.21
1975-1979	30-34	0.00086	0.00427	2.64	97437	417	486201	4713908	48.38
1975-1979	35-39	0.00132	0.00659	2.65	97020	639	483601	4227706	43.58
1975-1979	40-44	0.00216	0.01074	2.68	96381	1036	479503	3744105	38.85
1975-1979	45-49	0.00347	0.01719	2.67	95346	1639	472910	3264602	34.24
1975-1979	50-54	0.00526	0.02600	2.65	93707	2437	462812	2791692	29.79
1975-1979	55-59	0.00800	0.03926	2.65	91270	3584	447941	2328880	25.52
1975-1979	60-64	0.01241	0.06032	2.65	87687	5289	426024	1880939	21.45
1975-1979	65-69	0.01848	0.08854	2.63	82398	7296	394673	1454915	17.66
1975-1979	70-74	0.02901	0.13567	2.62	75102	10189	351290	1060242	14.12
1975-1979	75-79	0.04751	0.21315	2.59	64913	13836	291204	708952	10.92
1975-1979	80-84	0.08033	0.33541	2.54	51077	17132	213272	417748	8.18
1975-1979	85-89	0.12859	0.48219	2.41	33945	16368	127290	204476	6.02
1975-1979	90-94	0.19855	0.64306	2.26	17577	11303	56929	77187	4.39
1975-1979	95-99	0.28931	0.78172	2.06	6274	4904	16952	20257	3.23
1975-1979	100-104	0.40252	0.88298	1.82	1369	1209	3004	3305	2.41
1975-1979	105-109	0.52731	0.94154	1.59	160	151	286	301	1.88
1975-1979	110+	0.62955	1.00000	1.59	9	9	15	15	1.59
1980-1984	0	0.01068	0.01058	0.08	100000	1058	99030	7739207	77.39
1980-1984	1-4	0.00046	0.00184	1.61	98942	182	395334	7640178	77.22
1980-1984	5-9	0.00021	0.00103	2.26	98760	102	493521	7244844	73.36
1980-1984	10-14	0.00020	0.00101	2.67	98658	100	493058	6751323	68.43
1980-1984	15-19	0.00039	0.00195	2.73	98558	192	492355	6258264	63.50
1980-1984	20-24	0.00052	0.00257	2.56	98366	253	491212	5765909	58.62
1980-1984	25-29	0.00064	0.00320	2.58	98113	314	489804	5274697	53.76
1980-1984	30-34	0.00082	0.00407	2.64	97799	398	488056	4784893	48.93
1980-1984	35-39	0.00116	0.00580	2.67	97401	565	485689	4296837	44.11
1980-1984	40-44	0.00189	0.00941	2.68	96836	911	482062	3811147	39.36
1980-1984	45-49	0.00312	0.01548	2.68	95925	1485	476173	3329085	34.71
1980-1984	50-54	0.00493	0.02439	2.65	94440	2303	466782	2852912	30.21
1980-1984	55-59	0.00765	0.03756	2.66	92137	3461	452590	2386130	25.90
1980-1984	60-64	0.01190	0.05787	2.66	88676	5131	431369	1933541	21.80
1980-1984	65-69	0.01805	0.08652	2.62	83545	7228	400543	1502171	17.98
1980-1984	70-74	0.02820	0.13215	2.62	76317	10085	357614	1101628	14.43
1980-1984	75-79	0.04389	0.19846	2.59	66232	13144	299462	744014	11.23
1980-1984	80-84	0.07685	0.32342	2.55	53087	17169	223426	444552	8.37
1980-1984	85-89	0.12404	0.47027	2.43	35918	16891	136174	221126	6.16
1980-1984	90-94	0.19386	0.63440	2.28	19027	12071	62265	84952	4.46
1980-1984	95-99	0.28563	0.77759	2.07	6956	5409	18938	22687	3.26
1980-1984	100-104	0.40060	0.88200	1.83	1547	1365	3406	3749	2.42
1980-1984	105-109	0.52780	0.94187	1.59	183	172	326	343	1.88
1980-1984	110+	0.63210	1.00000	1.58	11	11	17	17	1.58
1985-1989	0	0.00975	0.00966	0.08	100000	966	99112	7780031	77.80
1985-1989	1-4	0.00042	0.00169	1.64	99034	168	395740	7680920	77.56
1985-1989	5-9	0.00020	0.00098	2.33	98866	97	494072	7285180	73.69
1985-1989	10-14	0.00018	0.00092	2.75	98769	91	493642	6791108	68.76
1985-1989	15-19	0.00039	0.00193	2.74	98679	190	492963	6297466	63.82
1985-1989	20-24	0.00050	0.00252	2.62	98488	248	491852	5804504	58.94
1985-1989	25-29	0.00069	0.00346	2.63	98240	340	490394	5312652	54.08
1985-1989	30-34	0.00102	0.00508	2.62	97900	497	488318	4822258	49.26
1985-1989	35-39	0.00131	0.00650	2.59	97404	634	485490	4333941	44.49
1985-1989	40-44	0.00179	0.00892	2.66	96770	864	481826	3848451	39.77
1985-1989	45-49	0.00289	0.01433	2.66	95906	1375	476320	3366625	35.10
1985-1989	50-54	0.00476	0.02352	2.67	94532	2223	467477	2890305	30.58
1985-1989	55-59	0.00721	0.03545	2.66	92309	3272	453898	2422828	26.25
1985-1989	60-64	0.01142	0.05559	2.64	89036	4949	433519	1968930	22.11
1985-1989	65-69	0.01745	0.08378	2.63	84087	7045	403733	1535410	18.26
1985-1989	70-74	0.02722	0.12782	2.62	77042	9848	361729	1131678	14.69
1985-1989	75-79	0.04214	0.19133	2.6	67194	12856	305097	769948	11.46
1985-1989	80-84	0.07252	0.30816	2.56	54338	16745	230892	464851	8.55
1985-1989	85-89	0.12048	0.46112	2.46	37593	17335	143881	233959	6.22
1985-1989	90-94	0.19334	0.63496	2.3	20258	12863	66532	90078	4.45
1985-1989	95-99	0.29294	0.78732	2.06	7395	5822	19875	23546	3.18
1985-1989	100-104	0.41693	0.89305	1.8	1573	1405	3369	3671	2.33
1985-1989	105-109	0.55274	0.94992	1.55	168	160	289	302	1.79
1985-1989	110+	0.66263	1.00000	1.51	8	8	13	13	1.51
1990-1994	0	0.00835	0.00829	0.08	100000	829	99234	7862281	78.62
1990-1994	1-4	0.00037	0.00149	1.58	99171	148	396326	7763047	78.28
1990-1994	5-9	0.00017	0.00086	2.38	99023	85	494891	7366721	74.39
1990-1994	10-14	0.00016	0.00080	2.74	98938	79	494509	6871829	69.46
1990-1994	15-19	0.00034	0.00172	2.65	98859	170	493893	6377320	64.51
1990-1994	20-24	0.00048	0.00239	2.63	98689	236	492884	5883426	59.62
1990-1994	25-29	0.00070	0.00349	2.64	98452	343	491450	5390542	54.75
1990-1994	30-34	0.00104	0.00517	2.66	98109	507	489359	4899092	49.94
1990-1994	35-39	0.00144	0.00718	2.61	97602	701	486339	4409732	45.18
1990-1994	40-44	0.00188	0.00936	2.6	96902	907	482330	3923394	40.49
1990-1994	45-49	0.00276	0.01369	2.67	95995	1314	476916	3441063	35.85
1990-1994	50-54	0.00426	0.02107	2.66	94680	1995	468732	2964147	31.31
1990-1994	55-59	0.00676	0.03329	2.68	92685	3086	456258	2495415	26.92
1990-1994	60-64	0.01048	0.05113	2.64	89600	4581	437177	2039157	22.76
1990-1994	65-69	0.01629	0.07840	2.62	85019	6665	409253	1601980	18.84
1990-1994	70-74	0.02520	0.11888	2.63	78354	9315	369685	1192728	15.22
1990-1994	75-79	0.03915	0.17891	2.59	69039	12352	315479	823042	11.92
1990-1994	80-84	0.06689	0.28763	2.57	56687	16305	243745	507563	8.95
1990-1994	85-89	0.11079	0.43322	2.48	40382	17494	157903	263818	6.53
1990-1994	90-94	0.18340	0.61551	2.33	22888	14088	76814	105915	4.63
1990-1994	95-99	0.27981	0.77166	2.09	8800	6791	24269	29101	3.31
1990-1994	100-104	0.40340	0.88489	1.83	2009	1778	4408	4832	2.40
1990-1994	105-109	0.54082	0.94660	1.57	231	219	405	424	1.83
1990-1994	110+	0.65296	1.00000	1.53	12	12	19	19	1.53
1995-1999	0	0.00674	0.00670	0.07	100000	670	99378	7934249	79.34
1995-1999	1-4	0.00029	0.00115	1.63	99330	115	397048	7834871	78.88
1995-1999	5-9	0.00015	0.00074	2.43	99215	73	495888	7437822	74.97
1995-1999	10-14	0.00014	0.00071	2.78	99142	70	495555	6941934	70.02
1995-1999	15-19	0.00033	0.00163	2.73	99072	162	494993	6446378	65.07
1995-1999	20-24	0.00041	0.00206	2.58	98911	204	494060	5951385	60.17
1995-1999	25-29	0.00054	0.00268	2.66	98706	264	492915	5457325	55.29
1995-1999	30-34	0.00084	0.00421	2.64	98442	414	491233	4964411	50.43
1995-1999	35-39	0.00124	0.00617	2.65	98028	605	488718	4473178	45.63
1995-1999	40-44	0.00178	0.00885	2.64	97424	863	485085	3984459	40.90
1995-1999	45-49	0.00253	0.01259	2.66	96561	1216	479963	3499375	36.24
1995-1999	50-54	0.00391	0.01938	2.67	95345	1848	472421	3019412	31.67
1995-1999	55-59	0.00619	0.03050	2.66	93497	2851	460824	2546991	27.24
1995-1999	60-64	0.00978	0.04781	2.66	90646	4334	443081	2086167	23.01
1995-1999	65-69	0.01538	0.07419	2.65	86312	6404	416479	1643086	19.04
1995-1999	70-74	0.02391	0.11314	2.62	79908	9041	378066	1226607	15.35
1995-1999	75-79	0.03770	0.17301	2.62	70867	12260	325208	848541	11.97
1995-1999	80-84	0.06620	0.28517	2.57	58607	16713	252466	523333	8.93
1995-1999	85-89	0.11174	0.43616	2.49	41894	18272	163520	270868	6.47
1995-1999	90-94	0.18669	0.62279	2.33	23621	14711	78803	107347	4.54
1995-1999	95-99	0.29006	0.78482	2.08	8910	6993	24108	28545	3.20
1995-1999	100-104	0.42047	0.89587	1.8	1917	1718	4085	4437	2.31
1995-1999	105-109	0.56346	0.95324	1.53	200	190	338	352	1.76
1995-1999	110+	0.67841	1.00000	1.47	9	9	14	14	1.47
2000-2004	0	0.00588	0.00585	0.07	100000	585	99456	8006861	80.07
2000-2004	1-4	0.00022	0.00088	1.67	99415	87	397458	7907405	79.54
2000-2004	5-9	0.00012	0.00058	2.49	99328	58	496496	7509947	75.61
2000-2004	10-14	0.00013	0.00066	2.61	99271	65	496197	7013451	70.65
2000-2004	15-19	0.00030	0.00149	2.82	99205	148	495704	6517254	65.69
2000-2004	20-24	0.00041	0.00205	2.53	99058	204	494785	6021550	60.79
2000-2004	25-29	0.00048	0.00239	2.59	98854	236	493701	5526765	55.91
2000-2004	30-34	0.00068	0.00339	2.65	98618	335	492303	5033064	51.04
2000-2004	35-39	0.00108	0.00539	2.7	98284	530	490199	4540760	46.20
2000-2004	40-44	0.00165	0.00824	2.66	97753	806	486886	4050561	41.44
2000-2004	45-49	0.00250	0.01241	2.64	96948	1203	481906	3563676	36.76
2000-2004	50-54	0.00361	0.01791	2.67	95745	1715	474720	3081770	32.19
2000-2004	55-59	0.00566	0.02794	2.68	94030	2627	464051	2607050	27.73
2000-2004	60-64	0.00898	0.04398	2.65	91403	4020	447571	2142999	23.45
2000-2004	65-69	0.01392	0.06739	2.64	87383	5889	423046	1695429	19.40
2000-2004	70-74	0.02182	0.10378	2.65	81494	8458	387566	1272383	15.61
2000-2004	75-79	0.03542	0.16338	2.63	73037	11933	336865	884817	12.11
2000-2004	80-84	0.06407	0.27753	2.59	61104	16958	264688	547953	8.97
2000-2004	85-89	0.11191	0.43711	2.5	44146	19297	172439	283264	6.42
2000-2004	90-94	0.19006	0.62998	2.32	24849	15654	82368	110826	4.46
2000-2004	95-99	0.30150	0.79889	2.06	9195	7345	24363	28458	3.10
2000-2004	100-104	0.44083	0.90777	1.76	1849	1679	3808	4094	2.21
2000-2004	105-109	0.59094	0.96026	1.49	171	164	277	287	1.68
2000-2004	110+	0.70904	1.00000	1.41	7	7	10	10	1.41
2005-2009	0	0.00562	0.00559	0.07	100000	559	99479	8117740	81.18
2005-2009	1-4	0.00021	0.00083	1.66	99441	82	397570	8018261	80.63
2005-2009	5-9	0.00010	0.00049	2.39	99358	48	496666	7620690	76.70
2005-2009	10-14	0.00011	0.00055	2.66	99310	55	496423	7124024	71.74
2005-2009	15-19	0.00026	0.00132	2.89	99255	131	496001	6627601	66.77
2005-2009	20-24	0.00040	0.00200	2.58	99125	198	495144	6131600	61.86
2005-2009	25-29	0.00046	0.00231	2.55	98926	229	494072	5636456	56.98
2005-2009	30-34	0.00060	0.00299	2.63	98698	295	492789	5142384	52.10
2005-2009	35-39	0.00093	0.00463	2.68	98403	456	490954	4649595	47.25
2005-2009	40-44	0.00149	0.00740	2.69	97947	725	488064	4158641	42.46
2005-2009	45-49	0.00231	0.01149	2.67	97222	1117	483505	3670577	37.75
2005-2009	50-54	0.00342	0.01696	2.63	96105	1629	476660	3187072	33.16
2005-2009	55-59	0.00497	0.02455	2.64	94475	2319	466914	2710411	28.69
2005-2009	60-64	0.00788	0.03871	2.66	92156	3567	452439	2243498	24.34
2005-2009	65-69	0.01224	0.05952	2.66	88589	5272	430590	1791058	20.22
2005-2009	70-74	0.01955	0.09345	2.64	83316	7786	398195	1360468	16.33
