Div2: Mid-Atlantic, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02752	0.02687	0.12	100000	2687	97632	6675497	66.75
1960-1964	1	0.00140	0.00139	0.5	97313	136	97245	6577864	67.59
1960-1964	2	0.00092	0.00092	0.5	97177	89	97133	6480619	66.69
1960-1964	3	0.00079	0.00078	0.5	97088	76	97050	6383487	65.75
1960-1964	4	0.00065	0.00065	0.5	97012	63	96980	6286437	64.80
1960-1964	5	0.00057	0.00057	0.5	96948	55	96921	6189457	63.84
1960-1964	6	0.00054	0.00054	0.5	96893	52	96867	6092536	62.88
1960-1964	7	0.00048	0.00048	0.5	96841	47	96817	5995669	61.91
1960-1964	8	0.00044	0.00044	0.5	96794	42	96773	5898851	60.94
1960-1964	9	0.00040	0.00040	0.5	96752	38	96732	5802079	59.97
1960-1964	10	0.00040	0.00040	0.5	96713	39	96694	5705346	58.99
1960-1964	11	0.00041	0.00041	0.5	96674	40	96655	5608653	58.02
1960-1964	12	0.00040	0.00040	0.5	96635	39	96616	5511998	57.04
1960-1964	13	0.00051	0.00051	0.5	96596	49	96572	5415382	56.06
1960-1964	14	0.00055	0.00055	0.5	96547	53	96520	5318811	55.09
1960-1964	15	0.00065	0.00065	0.5	96494	62	96462	5222291	54.12
1960-1964	16	0.00080	0.00080	0.5	96431	77	96393	5125828	53.16
1960-1964	17	0.00104	0.00104	0.5	96354	100	96304	5029435	52.20
1960-1964	18	0.00128	0.00128	0.5	96254	123	96193	4933131	51.25
1960-1964	19	0.00146	0.00146	0.5	96131	141	96061	4836939	50.32
1960-1964	20	0.00150	0.00150	0.5	95991	144	95918	4740878	49.39
1960-1964	21	0.00155	0.00155	0.5	95846	148	95772	4644959	48.46
1960-1964	22	0.00164	0.00164	0.5	95698	157	95619	4549187	47.54
1960-1964	23	0.00155	0.00154	0.5	95541	148	95467	4453568	46.61
1960-1964	24	0.00154	0.00154	0.5	95393	147	95320	4358101	45.69
1960-1964	25	0.00160	0.00160	0.5	95246	153	95170	4262781	44.76
1960-1964	26	0.00151	0.00151	0.5	95094	143	95022	4167611	43.83
