Div3: East North Central, Lifetables (period 1x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02497	0.02443	0.12	100000	2443	97844	7013187	70.13
1959	1	0.00146	0.00146	0.5	97557	142	97486	6915342	70.89
1959	2	0.00089	0.00089	0.5	97415	87	97371	6817856	69.99
1959	3	0.00067	0.00067	0.5	97328	65	97295	6720485	69.05
1959	4	0.00058	0.00058	0.5	97263	57	97234	6623189	68.10
1959	5	0.00055	0.00055	0.5	97206	53	97179	6525955	67.14
1959	6	0.00048	0.00048	0.5	97152	47	97129	6428776	66.17
1959	7	0.00047	0.00047	0.5	97106	46	97083	6331647	65.20
1959	8	0.00041	0.00041	0.5	97060	40	97040	6234564	64.23
1959	9	0.00040	0.00040	0.5	97020	39	97001	6137524	63.26
1959	10	0.00039	0.00039	0.5	96981	38	96962	6040524	62.29
1959	11	0.00042	0.00042	0.5	96943	41	96923	5943561	61.31
1959	12	0.00047	0.00047	0.5	96902	46	96880	5846639	60.34
1959	13	0.00044	0.00044	0.5	96857	43	96835	5749759	59.36
1959	14	0.00050	0.00050	0.5	96814	48	96790	5652924	58.39
1959	15	0.00063	0.00063	0.5	96766	60	96736	5556134	57.42
1959	16	0.00079	0.00079	0.5	96705	77	96667	5459398	56.45
1959	17	0.00093	0.00093	0.5	96628	90	96583	5362731	55.50
1959	18	0.00103	0.00103	0.5	96538	100	96489	5266148	54.55
1959	19	0.00108	0.00108	0.5	96439	104	96387	5169659	53.61
1959	20	0.00109	0.00109	0.5	96335	105	96282	5073273	52.66
1959	21	0.00108	0.00108	0.5	96230	104	96178	4976990	51.72
1959	22	0.00108	0.00108	0.5	96126	104	96074	4880813	50.78
1959	23	0.00106	0.00106	0.5	96022	101	95971	4784739	49.83
1959	24	0.00112	0.00112	0.5	95920	107	95867	4688768	48.88
1959	25	0.00115	0.00115	0.5	95813	110	95758	4592901	47.94
1959	26	0.00109	0.00109	0.5	95703	105	95651	4497143	46.99
1959	27	0.00112	0.00112	0.5	95599	107	95545	4401492	46.04
1959	28	0.00115	0.00115	0.5	95492	110	95437	4305947	45.09
1959	29	0.00114	0.00114	0.5	95382	109	95327	4210511	44.14
1959	30	0.00126	0.00126	0.5	95273	120	95213	4115183	43.19
1959	31	0.00136	0.00136	0.5	95153	129	95088	4019970	42.25
1959	32	0.00146	0.00145	0.5	95024	138	94954	3924882	41.30
1959	33	0.00155	0.00155	0.5	94885	147	94812	3829928	40.36
1959	34	0.00168	0.00168	0.5	94739	159	94659	3735116	39.43
1959	35	0.00183	0.00182	0.5	94579	173	94493	3640457	38.49
1959	36	0.00198	0.00198	0.5	94407	187	94313	3545964	37.56
1959	37	0.00220	0.00219	0.5	94220	207	94117	3451650	36.63
1959	38	0.00235	0.00235	0.5	94013	221	93903	3357534	35.71
1959	39	0.00245	0.00245	0.5	93793	230	93678	3263631	34.80
1959	40	0.00282	0.00281	0.5	93563	263	93431	3169953	33.88
1959	41	0.00291	0.00291	0.5	93300	272	93164	3076521	32.97
1959	42	0.00353	0.00352	0.5	93028	327	92865	2983357	32.07
1959	43	0.00385	0.00384	0.5	92701	356	92523	2890492	31.18
1959	44	0.00425	0.00424	0.5	92345	391	92149	2797970	30.30
1959	45	0.00450	0.00449	0.5	91953	413	91747	2705821	29.43
1959	46	0.00497	0.00496	0.5	91540	454	91313	2614074	28.56
1959	47	0.00560	0.00558	0.5	91086	508	90832	2522761	27.70
1959	48	0.00651	0.00648	0.5	90578	587	90284	2431929	26.85
1959	49	0.00708	0.00706	0.5	89991	635	89673	2341644	26.02
1959	50	0.00772	0.00769	0.5	89356	687	89012	2251971	25.20
1959	51	0.00811	0.00808	0.5	88669	716	88311	2162959	24.39
1959	52	0.00933	0.00928	0.5	87953	816	87544	2074649	23.59
1959	53	0.00970	0.00965	0.5	87136	841	86716	1987104	22.80
1959	54	0.01034	0.01028	0.5	86295	887	85851	1900389	22.02
1959	55	0.01183	0.01176	0.5	85408	1004	84905	1814537	21.25
1959	56	0.01258	0.01250	0.5	84403	1055	83876	1729632	20.49
1959	57	0.01320	0.01311	0.5	83348	1093	82802	1645756	19.75
