Div3: East North Central, Lifetables (period 5x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02374	0.02325	0.11	100000	2325	97940	7031548	70.32
1960-1964	1-4	0.00089	0.00357	1.62	97675	349	389870	6933608	70.99
1960-1964	5-9	0.00043	0.00213	2.29	97326	207	486069	6543738	67.24
1960-1964	10-14	0.00041	0.00204	2.68	97119	198	485135	6057670	62.37
1960-1964	15-19	0.00085	0.00425	2.76	96921	412	483680	5572534	57.50
1960-1964	20-24	0.00115	0.00573	2.5	96509	553	481161	5088854	52.73
1960-1964	25-29	0.00116	0.00577	2.54	95956	554	478414	4607693	48.02
1960-1964	30-34	0.00147	0.00734	2.62	95402	700	475347	4129279	43.28
1960-1964	35-39	0.00219	0.01088	2.66	94702	1030	471104	3653931	38.58
1960-1964	40-44	0.00343	0.01703	2.67	93672	1595	464649	3182827	33.98
1960-1964	45-49	0.00557	0.02751	2.68	92077	2533	454520	2718178	29.52
1960-1964	50-54	0.00909	0.04448	2.65	89544	3983	438380	2263658	25.28
1960-1964	55-59	0.01376	0.06664	2.64	85561	5702	414375	1825278	21.33
1960-1964	60-64	0.02073	0.09879	2.62	79859	7889	380508	1410903	17.67
1960-1964	65-69	0.03157	0.14668	2.59	71970	10557	334439	1030395	14.32
1960-1964	70-74	0.04831	0.21625	2.58	61413	13280	274902	695956	11.33
1960-1964	75-79	0.07256	0.30742	2.52	48133	14797	203943	421054	8.75
1960-1964	80-84	0.11490	0.44469	2.46	33335	14824	129021	217111	6.51
1960-1964	85-89	0.17901	0.60361	2.3	18511	11174	62419	88090	4.76
1960-1964	90-94	0.26267	0.74715	2.11	7338	5482	20872	25671	3.50
1960-1964	95-99	0.37273	0.86209	1.88	1855	1599	4291	4799	2.59
1960-1964	100-104	0.49671	0.93078	1.64	256	238	479	508	1.98
1960-1964	105-109	0.62249	0.96571	1.43	18	17	27	28	1.60
1960-1964	110+	0.71997	1.00000	1.39	1	1	1	1	1.39
1965-1969	0	0.02222	0.02179	0.11	100000	2179	98060	7031564	70.32
1965-1969	1-4	0.00084	0.00334	1.65	97821	327	390516	6933503	70.88
1965-1969	5-9	0.00042	0.00212	2.29	97494	207	486909	6542987	67.11
1965-1969	10-14	0.00039	0.00196	2.71	97287	191	485998	6056078	62.25
1965-1969	15-19	0.00104	0.00521	2.87	97096	506	484402	5570080	57.37
1965-1969	20-24	0.00128	0.00640	2.5	96590	619	481404	5085678	52.65
1965-1969	25-29	0.00131	0.00654	2.53	95972	627	478309	4604274	47.98
1965-1969	30-34	0.00161	0.00801	2.62	95344	764	474902	4125965	43.27
1965-1969	35-39	0.00233	0.01160	2.67	94581	1097	470350	3651064	38.60
1965-1969	40-44	0.00364	0.01807	2.67	93483	1689	463475	3180714	34.02
1965-1969	45-49	0.00571	0.02815	2.66	91794	2584	452933	2717239	29.60
1965-1969	50-54	0.00900	0.04409	2.67	89210	3933	436866	2264307	25.38
1965-1969	55-59	0.01380	0.06681	2.64	85276	5697	412954	1827441	21.43
1965-1969	60-64	0.02105	0.10022	2.61	79579	7975	378869	1414487	17.77
1965-1969	65-69	0.03114	0.14485	2.59	71603	10372	333061	1035617	14.46
1965-1969	70-74	0.04721	0.21185	2.58	61232	12972	274786	702556	11.47
1965-1969	75-79	0.07213	0.30597	2.52	48260	14766	204702	427770	8.86
1965-1969	80-84	0.11146	0.43426	2.46	33494	14545	130494	223067	6.66
1965-1969	85-89	0.17224	0.58884	2.31	18949	11158	64782	92573	4.89
1965-1969	90-94	0.25723	0.74108	2.14	7791	5774	22446	27791	3.57
1965-1969	95-99	0.36283	0.85429	1.9	2017	1723	4750	5345	2.65
1965-1969	100-104	0.48581	0.92643	1.66	294	272	561	596	2.03
1965-1969	105-109	0.61204	0.96365	1.45	22	21	34	35	1.63
1965-1969	110+	0.71066	1.00000	1.41	1	1	1	1	1.41
1970-1974	0	0.01880	0.01849	0.1	100000	1849	98337	7119166	71.19
1970-1974	1-4	0.00075	0.00301	1.68	98151	295	391919	7020829	71.53
1970-1974	5-9	0.00039	0.00193	2.32	97856	189	488775	6628910	67.74
1970-1974	10-14	0.00038	0.00191	2.72	97667	186	487913	6140135	62.87
1970-1974	15-19	0.00105	0.00523	2.85	97481	510	486311	5652222	57.98
1970-1974	20-24	0.00140	0.00700	2.51	96971	679	483167	5165911	53.27
1970-1974	25-29	0.00132	0.00660	2.51	96293	635	479881	4682744	48.63
1970-1974	30-34	0.00154	0.00768	2.61	95658	735	476528	4202863	43.94
1970-1974	35-39	0.00223	0.01111	2.66	94923	1054	472143	3726335	39.26
1970-1974	40-44	0.00346	0.01717	2.68	93868	1612	465605	3254191	34.67
1970-1974	45-49	0.00554	0.02734	2.66	92256	2523	455369	2788586	30.23
1970-1974	50-54	0.00834	0.04090	2.66	89734	3670	440065	2333218	26.00
1970-1974	55-59	0.01300	0.06309	2.65	86063	5429	417537	1893152	22.00
1970-1974	60-64	0.01982	0.09466	2.63	80634	7633	385070	1475616	18.30
1970-1974	65-69	0.02963	0.13831	2.59	73001	10097	340717	1090546	14.94
1970-1974	70-74	0.04423	0.19973	2.58	62905	12564	284076	749829	11.92
1970-1974	75-79	0.06822	0.29196	2.53	50341	14697	215443	465753	9.25
1970-1974	80-84	0.10330	0.40976	2.48	35643	14605	141389	250310	7.02
1970-1974	85-89	0.15963	0.56041	2.34	21038	11790	73860	108920	5.18
1970-1974	90-94	0.23915	0.71334	2.17	9248	6597	27585	35061	3.79
1970-1974	95-99	0.33835	0.83307	1.95	2651	2209	6527	7476	2.82
1970-1974	100-104	0.45777	0.91391	1.71	443	404	883	948	2.14
1970-1974	105-109	0.58390	0.95743	1.49	38	36	62	65	1.70
1970-1974	110+	0.68452	1.00000	1.46	2	2	2	2	1.46
1975-1979	0	0.01485	0.01466	0.09	100000	1466	98666	7295054	72.95
1975-1979	1-4	0.00065	0.00258	1.68	98534	254	393547	7196389	73.03
1975-1979	5-9	0.00032	0.00162	2.34	98280	159	490978	6802841	69.22
1975-1979	10-14	0.00033	0.00164	2.77	98121	161	490247	6311864	64.33
1975-1979	15-19	0.00098	0.00488	2.87	97960	478	488785	5821617	59.43
1975-1979	20-24	0.00131	0.00654	2.49	97482	637	485809	5332832	54.71
1975-1979	25-29	0.00123	0.00616	2.49	96845	596	482726	4847023	50.05
1975-1979	30-34	0.00133	0.00665	2.58	96249	640	479694	4364297	45.34
1975-1979	35-39	0.00186	0.00928	2.65	95609	887	475958	3884603	40.63
1975-1979	40-44	0.00294	0.01460	2.69	94721	1383	470405	3408646	35.99
1975-1979	45-49	0.00475	0.02348	2.68	93338	2192	461597	2938240	31.48
1975-1979	50-54	0.00753	0.03698	2.65	91146	3370	447827	2476644	27.17
1975-1979	55-59	0.01144	0.05569	2.65	87776	4888	427391	2028817	23.11
1975-1979	60-64	0.01783	0.08556	2.63	82888	7092	397664	1601425	19.32
1975-1979	65-69	0.02656	0.12485	2.61	75796	9463	356344	1203761	15.88
1975-1979	70-74	0.03925	0.17931	2.59	66333	11894	302992	847417	12.78
1975-1979	75-79	0.05941	0.25928	2.55	54439	14115	237609	544424	10.00
1975-1979	80-84	0.09153	0.37236	2.5	40324	15015	164036	306816	7.61
1975-1979	85-89	0.14165	0.51688	2.39	25309	13082	92353	142780	5.64
1975-1979	90-94	0.21506	0.67379	2.23	12227	8239	38309	50427	4.12
1975-1979	95-99	0.31053	0.80564	2.01	3989	3213	10348	12118	3.04
1975-1979	100-104	0.42747	0.89825	1.77	775	696	1629	1770	2.28
1975-1979	105-109	0.55488	0.95004	1.54	79	75	135	141	1.79
1975-1979	110+	0.65853	1.00000	1.52	4	4	6	6	1.52
1980-1984	0	0.01209	0.01195	0.08	100000	1195	98902	7419337	74.19
1980-1984	1-4	0.00054	0.00217	1.64	98805	214	394713	7320434	74.09
1980-1984	5-9	0.00027	0.00133	2.38	98590	131	492608	6925721	70.25
1980-1984	10-14	0.00028	0.00138	2.76	98459	136	491992	6433114	65.34
1980-1984	15-19	0.00080	0.00399	2.87	98324	392	490783	5941121	60.42
1980-1984	20-24	0.00108	0.00537	2.53	97931	526	488355	5450339	55.65
1980-1984	25-29	0.00112	0.00557	2.52	97405	543	485679	4961984	50.94
1980-1984	30-34	0.00125	0.00622	2.58	96862	603	482850	4476305	46.21
1980-1984	35-39	0.00164	0.00816	2.67	96259	786	479465	3993454	41.49
1980-1984	40-44	0.00250	0.01245	2.67	95474	1189	474599	3513990	36.81
1980-1984	45-49	0.00417	0.02067	2.7	94285	1948	466935	3039391	32.24
1980-1984	50-54	0.00678	0.03337	2.66	92336	3082	454484	2572456	27.86
1980-1984	55-59	0.01066	0.05200	2.65	89255	4641	435376	2117973	23.73
1980-1984	60-64	0.01647	0.07925	2.64	84614	6706	407231	1682597	19.89
1980-1984	65-69	0.02473	0.11679	2.62	77908	9099	367878	1275366	16.37
1980-1984	70-74	0.03727	0.17094	2.58	68809	11762	315580	907488	13.19
1980-1984	75-79	0.05574	0.24517	2.55	57047	13986	250927	591908	10.38
1980-1984	80-84	0.08603	0.35427	2.51	43061	15255	177331	340980	7.92
1980-1984	85-89	0.13346	0.49555	2.4	27806	13779	103247	163650	5.89
1980-1984	90-94	0.20313	0.65275	2.26	14027	9156	45074	60403	4.31
1980-1984	95-99	0.29802	0.79188	2.04	4871	3857	12942	15329	3.15
1980-1984	100-104	0.41339	0.89001	1.8	1014	902	2182	2387	2.35
1980-1984	105-109	0.54080	0.94598	1.56	111	105	195	204	1.83
1980-1984	110+	0.64534	1.00000	1.55	6	6	9	9	1.55
1985-1989	0	0.01086	0.01076	0.08	100000	1076	99009	7482556	74.83
1985-1989	1-4	0.00049	0.00197	1.64	98924	195	395239	7383547	74.64
1985-1989	5-9	0.00023	0.00117	2.4	98730	116	493348	6988308	70.78
1985-1989	10-14	0.00027	0.00134	2.81	98614	132	492781	6494961	65.86
1985-1989	15-19	0.00080	0.00400	2.8	98482	394	491543	6002180	60.95
1985-1989	20-24	0.00102	0.00509	2.51	98088	499	489193	5510636	56.18
1985-1989	25-29	0.00108	0.00539	2.53	97588	526	486644	5021444	51.46
1985-1989	30-34	0.00129	0.00641	2.59	97062	622	483808	4534800	46.72
1985-1989	35-39	0.00167	0.00831	2.6	96440	802	480276	4050992	42.01
1985-1989	40-44	0.00235	0.01170	2.66	95638	1119	475571	3570716	37.34
