Div3: East North Central, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02176	0.02134	0.11	100000	2134	98109	7339416	73.39
1959	1-4	0.00081	0.00322	1.59	97866	315	390705	7241307	73.99
1959	5-9	0.00037	0.00186	2.25	97551	182	487255	6850602	70.23
1959	10-14	0.00033	0.00164	2.61	97369	160	486463	6363347	65.35
1959	15-19	0.00051	0.00256	2.68	97209	249	485468	5876884	60.46
1959	20-24	0.00062	0.00309	2.6	96960	300	484080	5391416	55.60
1959	25-29	0.00079	0.00393	2.55	96660	380	482371	4907336	50.77
1959	30-34	0.00112	0.00560	2.65	96281	539	480138	4424965	45.96
1959	35-39	0.00172	0.00858	2.65	95742	822	476777	3944826	41.20
1959	40-44	0.00266	0.01323	2.66	94920	1256	471666	3468050	36.54
1959	45-49	0.00411	0.02035	2.73	93664	1906	463992	2996384	31.99
1959	50-54	0.00627	0.03090	2.64	91758	2835	452086	2532392	27.60
1959	55-59	0.00935	0.04577	2.67	88923	4070	435113	2080305	23.39
1959	60-64	0.01463	0.07074	2.67	84852	6003	410270	1645192	19.39
1959	65-69	0.02368	0.11218	2.66	78850	8845	373533	1234922	15.66
1959	70-74	0.03771	0.17304	2.63	70004	12114	321255	861389	12.30
1959	75-79	0.06447	0.27880	2.58	57891	16140	250339	540134	9.33
1959	80-84	0.10426	0.41288	2.48	41751	17238	165334	289795	6.94
1959	85-89	0.16332	0.57113	2.37	24513	14000	85718	124461	5.08
1959	90-94	0.24712	0.72640	2.16	10513	7637	30902	38743	3.69
1959	95-99	0.35145	0.84492	1.93	2876	2430	6915	7841	2.73
1959	100-104	0.47367	0.92126	1.68	446	411	868	926	2.08
1959	105-109	0.59979	0.96102	1.46	35	34	56	58	1.66
1959	110+	0.69867	1.00000	1.43	1	1	2	2	1.43
1960	0	0.02102	0.02064	0.11	100000	2064	98167	7343613	73.44
1960	1-4	0.00088	0.00350	1.58	97936	343	390915	7245446	73.98
1960	5-9	0.00035	0.00176	2.24	97594	171	487495	6854532	70.24
1960	10-14	0.00032	0.00159	2.62	97422	155	486741	6367036	65.36
1960	15-19	0.00050	0.00251	2.79	97267	244	485796	5880296	60.46
1960	20-24	0.00064	0.00318	2.6	97023	309	484374	5394500	55.60
1960	25-29	0.00079	0.00395	2.67	96714	382	482682	4910126	50.77
1960	30-34	0.00114	0.00568	2.67	96332	548	480386	4427443	45.96
1960	35-39	0.00169	0.00843	2.62	95784	807	476999	3947057	41.21
1960	40-44	0.00266	0.01320	2.65	94977	1253	471936	3470058	36.54
1960	45-49	0.00421	0.02084	2.67	93724	1953	464060	2998122	31.99
1960	50-54	0.00636	0.03132	2.63	91771	2874	452051	2534062	27.61
1960	55-59	0.00938	0.04590	2.67	88897	4080	434989	2082011	23.42
1960	60-64	0.01487	0.07188	2.68	84817	6097	409943	1647022	19.42
1960	65-69	0.02326	0.11026	2.64	78720	8680	373141	1237079	15.71
1960	70-74	0.03784	0.17362	2.63	70041	12161	321408	863938	12.33
1960	75-79	0.06286	0.27305	2.6	57880	15804	251407	542530	9.37
1960	80-84	0.10283	0.40871	2.49	42076	17197	167245	291123	6.92
1960	85-89	0.16622	0.57640	2.34	24879	14340	86271	123878	4.98
1960	90-94	0.25617	0.73670	2.12	10539	7764	30308	37607	3.57
1960	95-99	0.36539	0.85707	1.9	2775	2378	6509	7299	2.63
1960	100-104	0.49460	0.93038	1.65	397	369	746	790	1.99
1960	105-109	0.62542	0.96646	1.43	28	27	43	44	1.59
1960	110+	0.72597	1.00000	1.38	1	1	1	1	1.38
1961	0	0.02091	0.02053	0.11	100000	2053	98176	7383643	73.84
1961	1-4	0.00079	0.00315	1.59	97947	309	391046	7285467	74.38
1961	5-9	0.00036	0.00178	2.26	97639	174	487715	6894420	70.61
1961	10-14	0.00031	0.00157	2.64	97464	153	486961	6406706	65.73
1961	15-19	0.00045	0.00224	2.58	97311	218	486030	5919745	60.83
