Div3: East North Central, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02681	0.02619	0.12	100000	2619	97688	6722727	67.23
1960-1964	1	0.00151	0.00151	0.5	97381	147	97308	6625040	68.03
1960-1964	2	0.00099	0.00099	0.5	97234	96	97186	6527732	67.13
1960-1964	3	0.00077	0.00077	0.5	97138	75	97100	6430546	66.20
1960-1964	4	0.00067	0.00067	0.5	97063	65	97031	6333446	65.25
1960-1964	5	0.00060	0.00060	0.5	96998	58	96969	6236415	64.29
1960-1964	6	0.00052	0.00052	0.5	96940	51	96915	6139447	63.33
1960-1964	7	0.00050	0.00050	0.5	96889	48	96865	6042532	62.37
1960-1964	8	0.00045	0.00045	0.5	96841	44	96819	5945667	61.40
1960-1964	9	0.00044	0.00044	0.5	96797	42	96776	5848847	60.42
1960-1964	10	0.00041	0.00041	0.5	96755	40	96735	5752071	59.45
1960-1964	11	0.00045	0.00045	0.5	96715	43	96693	5655336	58.47
1960-1964	12	0.00049	0.00049	0.5	96672	48	96648	5558643	57.50
1960-1964	13	0.00054	0.00054	0.5	96624	52	96598	5461995	56.53
1960-1964	14	0.00065	0.00065	0.5	96572	63	96541	5365397	55.56
1960-1964	15	0.00081	0.00081	0.5	96509	78	96470	5268856	54.59
1960-1964	16	0.00103	0.00103	0.5	96431	99	96382	5172386	53.64
1960-1964	17	0.00125	0.00125	0.5	96333	121	96272	5076004	52.69
1960-1964	18	0.00143	0.00143	0.5	96212	137	96143	4979732	51.76
1960-1964	19	0.00149	0.00149	0.5	96074	143	96003	4883588	50.83
1960-1964	20	0.00164	0.00164	0.5	95932	157	95853	4787586	49.91
1960-1964	21	0.00179	0.00179	0.5	95775	171	95689	4691732	48.99
1960-1964	22	0.00170	0.00170	0.5	95603	162	95522	4596043	48.07
1960-1964	23	0.00168	0.00168	0.5	95441	160	95361	4500521	47.16
1960-1964	24	0.00163	0.00163	0.5	95281	156	95203	4405160	46.23
1960-1964	25	0.00156	0.00156	0.5	95125	148	95051	4309957	45.31
1960-1964	26	0.00153	0.00153	0.5	94977	145	94905	4214906	44.38
