Div3: East North Central, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02805	0.02737	0.12	100000	2737	97592	6716256	67.16
1959	1-4	0.00100	0.00397	1.61	97263	386	388128	6618664	68.05
1959	5-9	0.00055	0.00274	2.39	96876	265	483689	6230537	64.31
1959	10-14	0.00056	0.00278	2.6	96611	269	482409	5746847	59.48
1959	15-19	0.00130	0.00650	2.81	96342	626	480342	5264439	54.64
1959	20-24	0.00161	0.00800	2.46	95716	765	476633	4784097	49.98
1959	25-29	0.00149	0.00741	2.48	94950	704	472979	4307464	45.37
1959	30-34	0.00181	0.00900	2.63	94247	849	469225	3834485	40.69
1959	35-39	0.00261	0.01299	2.64	93398	1214	464131	3365261	36.03
1959	40-44	0.00430	0.02128	2.74	92185	1962	456488	2901129	31.47
1959	45-49	0.00737	0.03622	2.72	90223	3268	443654	2444641	27.10
1959	50-54	0.01178	0.05732	2.63	86955	4984	422949	2000987	23.01
1959	55-59	0.01805	0.08652	2.61	81971	7092	392915	1578038	19.25
1959	60-64	0.02760	0.12941	2.6	74879	9690	351134	1185124	15.83
1959	65-69	0.04158	0.18881	2.57	65189	12308	295981	833990	12.79
1959	70-74	0.05957	0.25972	2.54	52881	13734	230550	538008	10.17
1959	75-79	0.08923	0.36429	2.48	39147	14261	159821	307458	7.85
1959	80-84	0.13279	0.49347	2.4	24886	12281	92479	147637	5.93
1959	85-89	0.20165	0.65014	2.27	12605	8195	40641	55158	4.38
1959	90-94	0.28381	0.77729	2.09	4410	3428	12078	14516	3.29
1959	95-99	0.39070	0.87422	1.84	982	859	2198	2438	2.48
1959	100-104	0.50716	0.93401	1.62	124	115	228	241	1.95
1959	105-109	0.62351	0.96549	1.43	8	8	13	13	1.60
1959	110+	0.71358	1.00000	1.4	0	0	0	0	1.40
1960	0	0.02791	0.02724	0.12	100000	2724	97603	6707552	67.08
1960	1-4	0.00105	0.00421	1.62	97276	409	388131	6609950	67.95
1960	5-9	0.00054	0.00268	2.3	96867	260	483632	6221819	64.23
1960	10-14	0.00050	0.00248	2.65	96607	240	482471	5738187	59.40
1960	15-19	0.00127	0.00634	2.88	96367	611	480540	5255716	54.54
1960	20-24	0.00171	0.00852	2.4	95756	816	476661	4775176	49.87
1960	25-29	0.00154	0.00769	2.53	94940	730	472896	4298514	45.28
1960	30-34	0.00184	0.00918	2.58	94210	865	468959	3825618	40.61
1960	35-39	0.00265	0.01319	2.66	93345	1231	463846	3356659	35.96
1960	40-44	0.00424	0.02101	2.67	92114	1935	456069	2892813	31.40
1960	45-49	0.00716	0.03522	2.7	90179	3176	443595	2436745	27.02
1960	50-54	0.01217	0.05913	2.63	87004	5144	422804	1993150	22.91
1960	55-59	0.01828	0.08756	2.61	81859	7168	392200	1570346	19.18
