Div4: West North Central, Lifetables (period 1x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02364	0.02315	0.11	100000	2315	97949	7139941	71.40
1959	1	0.00153	0.00153	0.5	97685	150	97610	7041992	72.09
1959	2	0.00103	0.00103	0.5	97535	101	97485	6944382	71.20
1959	3	0.00075	0.00075	0.5	97434	73	97398	6846897	70.27
1959	4	0.00061	0.00061	0.5	97361	60	97331	6749500	69.32
1959	5	0.00055	0.00055	0.5	97301	54	97274	6652169	68.37
1959	6	0.00052	0.00052	0.5	97247	50	97222	6554894	67.40
1959	7	0.00042	0.00042	0.5	97197	40	97177	6457672	66.44
1959	8	0.00045	0.00045	0.5	97157	44	97135	6360495	65.47
1959	9	0.00042	0.00042	0.5	97112	41	97092	6263361	64.50
1959	10	0.00038	0.00038	0.5	97072	37	97053	6166269	63.52
1959	11	0.00044	0.00044	0.5	97034	42	97013	6069216	62.55
1959	12	0.00043	0.00043	0.5	96992	42	96971	5972203	61.57
1959	13	0.00050	0.00050	0.5	96950	49	96926	5875232	60.60
1959	14	0.00063	0.00063	0.5	96902	61	96871	5778306	59.63
1959	15	0.00082	0.00082	0.5	96841	79	96801	5681435	58.67
1959	16	0.00097	0.00097	0.5	96761	93	96715	5584633	57.72
1959	17	0.00112	0.00112	0.5	96668	108	96614	5487919	56.77
1959	18	0.00121	0.00121	0.5	96560	117	96501	5391305	55.83
1959	19	0.00119	0.00119	0.5	96443	115	96385	5294803	54.90
1959	20	0.00122	0.00122	0.5	96328	118	96269	5198418	53.97
1959	21	0.00127	0.00127	0.5	96210	122	96149	5102149	53.03
1959	22	0.00122	0.00122	0.5	96088	117	96029	5006000	52.10
1959	23	0.00111	0.00111	0.5	95971	106	95918	4909971	51.16
1959	24	0.00102	0.00102	0.5	95865	98	95816	4814053	50.22
1959	25	0.00121	0.00121	0.5	95767	116	95709	4718237	49.27
1959	26	0.00117	0.00117	0.5	95651	112	95595	4622528	48.33
1959	27	0.00127	0.00127	0.5	95539	121	95479	4526933	47.38
1959	28	0.00111	0.00111	0.5	95418	106	95365	4431455	46.44
1959	29	0.00125	0.00125	0.5	95312	120	95253	4336090	45.49
1959	30	0.00118	0.00118	0.5	95193	112	95137	4240837	44.55
1959	31	0.00141	0.00141	0.5	95081	134	95014	4145700	43.60
1959	32	0.00125	0.00125	0.5	94947	118	94887	4050686	42.66
1959	33	0.00168	0.00168	0.5	94828	159	94749	3955799	41.72
1959	34	0.00161	0.00161	0.5	94669	152	94593	3861050	40.78
1959	35	0.00166	0.00165	0.5	94517	156	94439	3766458	39.85
1959	36	0.00184	0.00184	0.5	94360	174	94274	3672019	38.91
1959	37	0.00177	0.00177	0.5	94187	167	94103	3577746	37.99
1959	38	0.00189	0.00189	0.5	94020	178	93931	3483642	37.05
1959	39	0.00224	0.00224	0.5	93842	210	93737	3389711	36.12
1959	40	0.00246	0.00246	0.5	93632	230	93517	3295974	35.20
1959	41	0.00261	0.00261	0.5	93402	244	93280	3202457	34.29
1959	42	0.00308	0.00308	0.5	93158	287	93015	3109177	33.38
1959	43	0.00345	0.00345	0.5	92872	320	92712	3016162	32.48
1959	44	0.00361	0.00360	0.5	92551	333	92385	2923450	31.59
1959	45	0.00402	0.00402	0.5	92218	370	92033	2831065	30.70
1959	46	0.00439	0.00438	0.5	91848	402	91647	2739032	29.82
1959	47	0.00499	0.00498	0.5	91446	455	91218	2647385	28.95
1959	48	0.00540	0.00538	0.5	90990	490	90746	2556167	28.09
1959	49	0.00595	0.00593	0.5	90501	537	90232	2465422	27.24
1959	50	0.00636	0.00634	0.5	89964	571	89679	2375189	26.40
1959	51	0.00689	0.00686	0.5	89393	614	89087	2285511	25.57
1959	52	0.00790	0.00787	0.5	88780	699	88430	2196424	24.74
1959	53	0.00853	0.00849	0.5	88081	748	87707	2107994	23.93
1959	54	0.00940	0.00936	0.5	87333	817	86925	2020287	23.13
1959	55	0.00963	0.00959	0.5	86516	830	86101	1933362	22.35
1959	56	0.01066	0.01060	0.5	85686	908	85232	1847261	21.56
1959	57	0.01099	0.01093	0.5	84778	927	84315	1762029	20.78
1959	58	0.01290	0.01282	0.5	83851	1075	83314	1677714	20.01
1959	59	0.01367	0.01358	0.5	82776	1124	82214	1594400	19.26
1959	60	0.01538	0.01526	0.5	81652	1246	81029	1512186	18.52
1959	61	0.01619	0.01606	0.5	80406	1291	79761	1431157	17.80
1959	62	0.01855	0.01838	0.5	79115	1454	78388	1351396	17.08
1959	63	0.01951	0.01932	0.5	77660	1501	76910	1273009	16.39
1959	64	0.02034	0.02014	0.5	76160	1534	75393	1196099	15.71
1959	65	0.02232	0.02207	0.5	74626	1647	73802	1120706	15.02
1959	66	0.02443	0.02413	0.5	72979	1761	72098	1046903	14.35
1959	67	0.02739	0.02702	0.5	71218	1924	70255	974805	13.69
