Div4: West North Central, Lifetables (period 1x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02277	0.02232	0.11	100000	2232	98017	7154654	71.55
1960-1964	1	0.00146	0.00146	0.5	97768	143	97697	7056637	72.18
1960-1964	2	0.00090	0.00090	0.5	97625	88	97581	6958941	71.28
1960-1964	3	0.00070	0.00070	0.5	97537	68	97504	6861359	70.35
1960-1964	4	0.00057	0.00057	0.5	97470	55	97442	6763856	69.39
1960-1964	5	0.00051	0.00051	0.5	97414	50	97389	6666414	68.43
1960-1964	6	0.00046	0.00046	0.5	97364	44	97342	6569025	67.47
1960-1964	7	0.00044	0.00044	0.5	97320	43	97298	6471683	66.50
1960-1964	8	0.00041	0.00041	0.5	97276	40	97257	6374385	65.53
1960-1964	9	0.00037	0.00037	0.5	97237	36	97219	6277129	64.56
1960-1964	10	0.00035	0.00035	0.5	97201	34	97184	6179910	63.58
1960-1964	11	0.00040	0.00040	0.5	97167	39	97147	6082726	62.60
1960-1964	12	0.00039	0.00039	0.5	97128	38	97109	5985579	61.63
1960-1964	13	0.00046	0.00046	0.5	97090	45	97067	5888470	60.65
1960-1964	14	0.00053	0.00053	0.5	97045	51	97019	5791403	59.68
1960-1964	15	0.00068	0.00068	0.5	96993	66	96960	5694384	58.71
1960-1964	16	0.00089	0.00089	0.5	96927	87	96884	5597424	57.75
1960-1964	17	0.00107	0.00107	0.5	96841	104	96789	5500540	56.80
1960-1964	18	0.00110	0.00110	0.5	96737	107	96684	5403751	55.86
1960-1964	19	0.00126	0.00126	0.5	96631	121	96570	5307067	54.92
1960-1964	20	0.00124	0.00124	0.5	96509	120	96450	5210497	53.99
1960-1964	21	0.00134	0.00134	0.5	96390	129	96325	5114047	53.06
1960-1964	22	0.00120	0.00120	0.5	96260	116	96202	5017722	52.13
1960-1964	23	0.00119	0.00119	0.5	96144	114	96087	4921520	51.19
1960-1964	24	0.00117	0.00117	0.5	96030	113	95974	4825432	50.25
1960-1964	25	0.00120	0.00120	0.5	95917	115	95860	4729459	49.31
1960-1964	26	0.00116	0.00116	0.5	95802	111	95746	4633599	48.37
1960-1964	27	0.00113	0.00113	0.5	95691	108	95637	4537853	47.42
1960-1964	28	0.00118	0.00118	0.5	95583	113	95527	4442215	46.47
1960-1964	29	0.00122	0.00122	0.5	95471	117	95412	4346688	45.53
1960-1964	30	0.00127	0.00127	0.5	95354	121	95293	4251276	44.58
1960-1964	31	0.00127	0.00127	0.5	95233	121	95172	4155983	43.64
1960-1964	32	0.00137	0.00137	0.5	95112	130	95047	4060810	42.70
1960-1964	33	0.00149	0.00149	0.5	94982	141	94911	3965764	41.75
1960-1964	34	0.00159	0.00159	0.5	94841	151	94765	3870853	40.81
1960-1964	35	0.00169	0.00169	0.5	94690	160	94610	3776087	39.88
1960-1964	36	0.00171	0.00171	0.5	94530	162	94449	3681478	38.95
1960-1964	37	0.00198	0.00198	0.5	94368	186	94275	3587029	38.01
1960-1964	38	0.00213	0.00213	0.5	94182	201	94081	3492754	37.09
1960-1964	39	0.00241	0.00241	0.5	93981	226	93868	3398673	36.16
1960-1964	40	0.00249	0.00249	0.5	93755	234	93638	3304805	35.25
1960-1964	41	0.00272	0.00272	0.5	93521	254	93394	3211167	34.34
1960-1964	42	0.00305	0.00305	0.5	93267	284	93125	3117773	33.43
1960-1964	43	0.00317	0.00317	0.5	92983	295	92836	3024648	32.53
1960-1964	44	0.00372	0.00372	0.5	92689	345	92516	2931812	31.63
1960-1964	45	0.00396	0.00395	0.5	92344	365	92162	2839295	30.75
1960-1964	46	0.00437	0.00436	0.5	91979	401	91779	2747134	29.87
1960-1964	47	0.00479	0.00477	0.5	91578	437	91359	2655355	29.00
1960-1964	48	0.00526	0.00525	0.5	91141	478	90901	2563996	28.13
1960-1964	49	0.00578	0.00576	0.5	90662	522	90401	2473094	27.28
1960-1964	50	0.00645	0.00643	0.5	90140	579	89850	2382693	26.43
1960-1964	51	0.00723	0.00721	0.5	89560	646	89238	2292843	25.60
1960-1964	52	0.00788	0.00785	0.5	88915	698	88566	2203606	24.78
1960-1964	53	0.00845	0.00842	0.5	88217	743	87846	2115039	23.98
1960-1964	54	0.00927	0.00922	0.5	87475	807	87071	2027194	23.17
1960-1964	55	0.00987	0.00982	0.5	86668	851	86242	1940122	22.39
1960-1964	56	0.01084	0.01078	0.5	85816	925	85354	1853880	21.60
1960-1964	57	0.01188	0.01181	0.5	84892	1003	84390	1768526	20.83
1960-1964	58	0.01273	0.01265	0.5	83889	1061	83358	1684136	20.08
1960-1964	59	0.01387	0.01378	0.5	82828	1141	82257	1600778	19.33
1960-1964	60	0.01512	0.01500	0.5	81687	1225	81074	1518521	18.59
1960-1964	61	0.01628	0.01615	0.5	80461	1299	79811	1437447	17.87
1960-1964	62	0.01798	0.01782	0.5	79162	1411	78456	1357636	17.15
1960-1964	63	0.01938	0.01919	0.5	77751	1492	77005	1279179	16.45
1960-1964	64	0.02132	0.02110	0.5	76259	1609	75455	1202174	15.76
1960-1964	65	0.02338	0.02311	0.5	74650	1725	73788	1126719	15.09
1960-1964	66	0.02486	0.02455	0.5	72925	1790	72030	1052931	14.44
1960-1964	67	0.02729	0.02693	0.5	71135	1915	70177	980901	13.79
1960-1964	68	0.02959	0.02916	0.5	69220	2018	68211	910724	13.16
1960-1964	69	0.03163	0.03114	0.5	67201	2092	66155	842513	12.54
1960-1964	70	0.03517	0.03456	0.5	65109	2250	63984	776358	11.92
1960-1964	71	0.03760	0.03690	0.5	62859	2320	61699	712374	11.33
1960-1964	72	0.04288	0.04198	0.5	60539	2541	59269	650675	10.75
1960-1964	73	0.04628	0.04523	0.5	57998	2623	56686	591406	10.20
1960-1964	74	0.05052	0.04927	0.5	55375	2729	54010	534720	9.66
1960-1964	75	0.05606	0.05453	0.5	52646	2871	51211	480709	9.13
1960-1964	76	0.06063	0.05885	0.5	49775	2929	48311	429498	8.63
1960-1964	77	0.06548	0.06340	0.5	46846	2970	45361	381188	8.14
1960-1964	78	0.07259	0.07005	0.5	43876	3073	42339	335827	7.65
1960-1964	79	0.08041	0.07730	0.5	40803	3154	39226	293487	7.19
1960-1964	80	0.08907	0.08527	0.5	37649	3210	36043	254262	6.75
1960-1964	81	0.09675	0.09229	0.5	34438	3178	32849	218218	6.34
1960-1964	82	0.10986	0.10414	0.5	31260	3255	29632	185369	5.93
1960-1964	83	0.12121	0.11428	0.5	28005	3200	26404	155737	5.56
1960-1964	84	0.13385	0.12545	0.5	24804	3112	23248	129333	5.21
1960-1964	85	0.14595	0.13602	0.5	21692	2951	20217	106084	4.89
1960-1964	86	0.15908	0.14736	0.5	18742	2762	17361	85867	4.58
1960-1964	87	0.17710	0.16270	0.5	15980	2600	14680	68506	4.29
1960-1964	88	0.18877	0.17249	0.5	13380	2308	12226	53826	4.02
1960-1964	89	0.21107	0.19092	0.5	11072	2114	10015	41600	3.76
1960-1964	90	0.23220	0.20805	0.5	8958	1864	8026	31585	3.53
1960-1964	91	0.24337	0.21697	0.5	7094	1539	6325	23559	3.32
1960-1964	92	0.26814	0.23644	0.5	5555	1313	4898	17234	3.10
1960-1964	93	0.29310	0.25564	0.5	4242	1084	3700	12335	2.91
1960-1964	94	0.31611	0.27296	0.5	3157	862	2726	8636	2.74
1960-1964	95	0.34117	0.29145	0.5	2296	669	1961	5909	2.57
1960-1964	96	0.36667	0.30986	0.5	1626	504	1374	3948	2.43
1960-1964	97	0.39296	0.32843	0.5	1123	369	938	2574	2.29
1960-1964	98	0.41992	0.34705	0.5	754	262	623	1636	2.17
1960-1964	99	0.44739	0.36561	0.5	492	180	402	1013	2.06
1960-1964	100	0.47521	0.38398	0.5	312	120	252	610	1.95
1960-1964	101	0.50322	0.40206	0.5	192	77	154	358	1.86
1960-1964	102	0.53122	0.41974	0.5	115	48	91	204	1.78
1960-1964	103	0.55905	0.43692	0.5	67	29	52	113	1.70
1960-1964	104	0.58654	0.45353	0.5	38	17	29	61	1.63
1960-1964	105	0.61352	0.46949	0.5	21	10	16	32	1.57
1960-1964	106	0.63983	0.48475	0.5	11	5	8	16	1.51
1960-1964	107	0.66534	0.49925	0.5	6	3	4	8	1.46
1960-1964	108	0.68993	0.51298	0.5	3	1	2	4	1.42
1960-1964	109	0.71351	0.52589	0.5	1	1	1	2	1.38
1960-1964	110+	0.73599	1.00000	1.36	1	1	1	1	1.36
1965-1969	0	0.02044	0.02007	0.11	100000	2007	98204	7175524	71.76
1965-1969	1	0.00128	0.00128	0.5	97993	125	97930	7077320	72.22
1965-1969	2	0.00085	0.00085	0.5	97867	83	97826	6979390	71.31
1965-1969	3	0.00065	0.00065	0.5	97784	64	97752	6881564	70.37
1965-1969	4	0.00057	0.00057	0.5	97721	56	97692	6783811	69.42
1965-1969	5	0.00050	0.00050	0.5	97664	48	97640	6686119	68.46
