Div4: West North Central, Lifetables (period 1x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.01953	0.01919	0.11	100000	1919	98287	7515214	75.15
1960-1964	1	0.00138	0.00138	0.5	98081	136	98013	7416926	75.62
1960-1964	2	0.00078	0.00078	0.5	97945	76	97907	7318913	74.72
1960-1964	3	0.00061	0.00061	0.5	97869	60	97839	7221006	73.78
1960-1964	4	0.00049	0.00049	0.5	97809	48	97785	7123167	72.83
1960-1964	5	0.00047	0.00047	0.5	97762	46	97739	7025382	71.86
1960-1964	6	0.00037	0.00037	0.5	97716	36	97698	6927643	70.90
1960-1964	7	0.00036	0.00036	0.5	97680	35	97662	6829946	69.92
1960-1964	8	0.00035	0.00035	0.5	97645	34	97628	6732283	68.95
1960-1964	9	0.00029	0.00029	0.5	97611	28	97597	6634655	67.97
1960-1964	10	0.00022	0.00022	0.5	97583	21	97572	6537058	66.99
1960-1964	11	0.00030	0.00030	0.5	97562	30	97547	6439486	66.00
1960-1964	12	0.00030	0.00030	0.5	97532	29	97518	6341939	65.02
1960-1964	13	0.00032	0.00032	0.5	97503	31	97488	6244421	64.04
1960-1964	14	0.00034	0.00034	0.5	97472	34	97455	6146934	63.06
1960-1964	15	0.00042	0.00042	0.5	97438	41	97418	6049478	62.09
1960-1964	16	0.00056	0.00056	0.5	97397	55	97370	5952061	61.11
1960-1964	17	0.00061	0.00061	0.5	97343	60	97313	5854691	60.15
1960-1964	18	0.00057	0.00057	0.5	97283	55	97255	5757378	59.18
1960-1964	19	0.00072	0.00072	0.5	97228	70	97193	5660123	58.22
1960-1964	20	0.00060	0.00060	0.5	97158	59	97129	5562930	57.26
1960-1964	21	0.00071	0.00071	0.5	97099	69	97065	5465801	56.29
1960-1964	22	0.00065	0.00065	0.5	97031	63	96999	5368736	55.33
1960-1964	23	0.00058	0.00058	0.5	96968	56	96940	5271737	54.37
1960-1964	24	0.00069	0.00069	0.5	96912	67	96878	5174797	53.40
1960-1964	25	0.00072	0.00072	0.5	96845	70	96810	5077919	52.43
1960-1964	26	0.00072	0.00072	0.5	96775	70	96741	4981108	51.47
1960-1964	27	0.00069	0.00069	0.5	96706	67	96672	4884368	50.51
1960-1964	28	0.00076	0.00076	0.5	96639	73	96602	4787695	49.54
1960-1964	29	0.00080	0.00080	0.5	96566	77	96527	4691093	48.58
1960-1964	30	0.00085	0.00084	0.5	96488	82	96448	4594566	47.62
1960-1964	31	0.00091	0.00091	0.5	96407	87	96363	4498118	46.66
1960-1964	32	0.00100	0.00100	0.5	96319	97	96271	4401755	45.70
1960-1964	33	0.00104	0.00104	0.5	96223	100	96173	4305484	44.74
1960-1964	34	0.00125	0.00124	0.5	96123	120	96063	4209311	43.79
1960-1964	35	0.00128	0.00128	0.5	96003	123	95942	4113248	42.84
1960-1964	36	0.00125	0.00125	0.5	95881	120	95821	4017306	41.90
1960-1964	37	0.00150	0.00150	0.5	95761	144	95689	3921485	40.95
1960-1964	38	0.00160	0.00160	0.5	95617	153	95541	3825796	40.01
1960-1964	39	0.00186	0.00185	0.5	95464	177	95376	3730256	39.07
1960-1964	40	0.00190	0.00190	0.5	95287	181	95197	3634880	38.15
1960-1964	41	0.00205	0.00204	0.5	95106	194	95009	3539683	37.22
1960-1964	42	0.00229	0.00229	0.5	94912	217	94804	3444674	36.29
1960-1964	43	0.00243	0.00242	0.5	94695	229	94580	3349870	35.38
1960-1964	44	0.00271	0.00270	0.5	94466	255	94338	3255290	34.46
1960-1964	45	0.00282	0.00282	0.5	94210	265	94077	3160952	33.55
1960-1964	46	0.00310	0.00309	0.5	93945	290	93800	3066875	32.65
1960-1964	47	0.00344	0.00344	0.5	93654	322	93493	2973075	31.75
1960-1964	48	0.00357	0.00356	0.5	93333	332	93166	2879582	30.85
1960-1964	49	0.00409	0.00408	0.5	93000	380	92810	2786415	29.96
1960-1964	50	0.00442	0.00441	0.5	92621	409	92416	2693605	29.08
1960-1964	51	0.00494	0.00493	0.5	92212	454	91985	2601189	28.21
1960-1964	52	0.00528	0.00527	0.5	91757	483	91516	2509204	27.35
1960-1964	53	0.00556	0.00555	0.5	91274	506	91021	2417689	26.49
1960-1964	54	0.00591	0.00590	0.5	90768	535	90500	2326668	25.63
1960-1964	55	0.00635	0.00633	0.5	90233	571	89947	2236167	24.78
1960-1964	56	0.00694	0.00691	0.5	89661	620	89351	2146221	23.94
1960-1964	57	0.00750	0.00748	0.5	89041	666	88708	2056870	23.10
1960-1964	58	0.00830	0.00826	0.5	88375	730	88010	1968161	22.27
1960-1964	59	0.00894	0.00890	0.5	87645	780	87255	1880151	21.45
1960-1964	60	0.00970	0.00966	0.5	86865	839	86445	1792896	20.64
1960-1964	61	0.01038	0.01032	0.5	86026	888	85582	1706451	19.84
1960-1964	62	0.01214	0.01207	0.5	85138	1027	84624	1620869	19.04
1960-1964	63	0.01312	0.01304	0.5	84110	1096	83562	1536245	18.26
1960-1964	64	0.01424	0.01413	0.5	83014	1173	82427	1452683	17.50
1960-1964	65	0.01546	0.01534	0.5	81841	1255	81213	1370255	16.74
1960-1964	66	0.01672	0.01658	0.5	80585	1336	79917	1289042	16.00
1960-1964	67	0.01919	0.01901	0.5	79249	1506	78496	1209125	15.26
