Div4: West North Central, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02037	0.02001	0.11	100000	2001	98219	7496801	74.97
1959	1-4	0.00088	0.00351	1.57	97999	344	391159	7398582	75.50
1959	5-9	0.00036	0.00181	2.33	97655	177	487801	7007422	71.76
1959	10-14	0.00035	0.00176	2.58	97478	171	486975	6519622	66.88
1959	15-19	0.00061	0.00306	2.48	97307	298	485783	6032646	62.00
1959	20-24	0.00060	0.00298	2.41	97009	290	484295	5546864	57.18
1959	25-29	0.00077	0.00383	2.52	96719	370	482678	5062569	52.34
1959	30-34	0.00105	0.00524	2.74	96349	505	480600	4579891	47.53
1959	35-39	0.00139	0.00694	2.65	95844	665	477654	4099291	42.77
1959	40-44	0.00208	0.01034	2.71	95179	984	473643	3621636	38.05
1959	45-49	0.00351	0.01741	2.7	94194	1640	467206	3147993	33.42
1959	50-54	0.00507	0.02505	2.67	92555	2318	457374	2680787	28.96
1959	55-59	0.00740	0.03639	2.67	90237	3284	443517	2223413	24.64
1959	60-64	0.01206	0.05861	2.62	86953	5096	422659	1779896	20.47
1959	65-69	0.01956	0.09363	2.73	81857	7664	391896	1357236	16.58
1959	70-74	0.03291	0.15289	2.68	74193	11343	344654	965341	13.01
1959	75-79	0.05626	0.24796	2.61	62849	15584	277018	620687	9.88
1959	80-84	0.09413	0.38245	2.55	47265	18077	192035	343669	7.27
1959	85-89	0.15760	0.55758	2.38	29189	16275	103268	151634	5.19
1959	90-94	0.24002	0.71832	2.21	12914	9276	38647	48366	3.75
1959	95-99	0.35858	0.85224	1.92	3638	3100	8645	9719	2.67
1959	100-104	0.49286	0.93015	1.65	537	500	1014	1074	2.00
1959	105-109	0.62916	0.96739	1.42	38	36	58	59	1.58
1959	110+	0.73340	1.00000	1.36	1	1	2	2	1.36
1960	0	0.02005	0.01969	0.11	100000	1969	98245	7480324	74.80
1960	1-4	0.00083	0.00330	1.57	98031	323	391337	7382079	75.30
1960	5-9	0.00040	0.00201	2.29	97707	197	488003	6990741	71.55
1960	10-14	0.00031	0.00154	2.59	97511	150	487192	6502738	66.69
1960	15-19	0.00053	0.00264	2.56	97361	257	486178	6015546	61.79
1960	20-24	0.00062	0.00311	2.41	97104	302	484737	5529368	56.94
1960	25-29	0.00074	0.00371	2.49	96802	359	483105	5044631	52.11
1960	30-34	0.00102	0.00511	2.69	96443	493	481075	4561525	47.30
1960	35-39	0.00148	0.00739	2.64	95950	709	478077	4080451	42.53
1960	40-44	0.00227	0.01129	2.6	95241	1075	473622	3602373	37.82
1960	45-49	0.00352	0.01745	2.66	94166	1643	466988	3128751	33.23
1960	50-54	0.00525	0.02593	2.62	92523	2400	456905	2661764	28.77
1960	55-59	0.00762	0.03743	2.65	90123	3373	442700	2204859	24.46
1960	60-64	0.01248	0.06066	2.69	86750	5262	421579	1762159	20.31
1960	65-69	0.01985	0.09491	2.7	81488	7734	389628	1340579	16.45
1960	70-74	0.03313	0.15378	2.67	73754	11342	342329	950951	12.89
1960	75-79	0.05723	0.25174	2.61	62412	15711	274547	608622	9.75
1960	80-84	0.09749	0.39289	2.53	46700	18348	188210	334075	7.15
1960	85-89	0.15901	0.56041	2.37	28352	15889	99923	145866	5.14
1960	90-94	0.24537	0.72479	2.18	12463	9033	36815	45943	3.69
1960	95-99	0.36039	0.85347	1.92	3430	2927	8123	9128	2.66
1960	100-104	0.49269	0.92992	1.65	503	467	949	1005	2.00
1960	105-109	0.62697	0.96690	1.42	35	34	54	56	1.59
1960	110+	0.72993	1.00000	1.37	1	1	2	2	1.37
1961	0	0.02009	0.01974	0.11	100000	1974	98242	7526983	75.27
1961	1-4	0.00082	0.00326	1.59	98026	320	391331	7428741	75.78
1961	5-9	0.00032	0.00161	2.27	97706	157	488101	7037410	72.03
1961	10-14	0.00032	0.00161	2.69	97549	157	487380	6549309	67.14
1961	15-19	0.00049	0.00247	2.77	97391	241	486421	6061929	62.24
1961	20-24	0.00061	0.00305	2.52	97151	297	485018	5575508	57.39
1961	25-29	0.00071	0.00356	2.53	96854	345	483419	5090490	52.56
1961	30-34	0.00104	0.00520	2.62	96509	502	481353	4607071	47.74
1961	35-39	0.00149	0.00744	2.74	96007	714	478425	4125718	42.97
1961	40-44	0.00221	0.01102	2.72	95293	1050	474071	3647293	38.27
1961	45-49	0.00341	0.01693	2.65	94243	1596	467468	3173221	33.67
1961	50-54	0.00524	0.02586	2.65	92648	2396	457606	2705753	29.20
1961	55-59	0.00745	0.03662	2.65	90252	3305	443501	2248147	24.91
1961	60-64	0.01184	0.05758	2.66	86947	5007	423023	1804646	20.76
1961	65-69	0.01848	0.08857	2.67	81941	7258	392780	1381623	16.86
1961	70-74	0.03136	0.14613	2.68	74683	10914	348053	988843	13.24
1961	75-79	0.05427	0.24042	2.63	63769	15332	282522	640790	10.05
1961	80-84	0.09054	0.36966	2.52	48438	17906	197774	358268	7.40
1961	85-89	0.15365	0.54837	2.39	30532	16743	108965	160494	5.26
1961	90-94	0.24042	0.71142	2.13	13789	9810	40803	51529	3.74
1961	95-99	0.35493	0.84939	1.93	3979	3380	9523	10726	2.70
1961	100-104	0.49034	0.92928	1.66	599	557	1136	1203	2.01
1961	105-109	0.62818	0.96727	1.42	42	41	65	67	1.58
1961	110+	0.73361	1.00000	1.36	1	1	2	2	1.36
1962	0	0.01888	0.01857	0.11	100000	1857	98340	7522841	75.23
1962	1-4	0.00081	0.00323	1.51	98143	317	391784	7424501	75.65
1962	5-9	0.00039	0.00195	2.3	97826	191	488616	7032717	71.89
1962	10-14	0.00030	0.00150	2.71	97635	146	487842	6544101	67.03
1962	15-19	0.00063	0.00315	2.74	97489	307	486752	6056259	62.12
1962	20-24	0.00065	0.00325	2.5	97183	316	485122	5569507	57.31
1962	25-29	0.00077	0.00384	2.55	96867	372	483420	5084384	52.49
1962	30-34	0.00098	0.00487	2.73	96494	470	481407	4600964	47.68
1962	35-39	0.00149	0.00741	2.65	96025	711	478456	4119557	42.90
1962	40-44	0.00221	0.01098	2.66	95314	1047	474120	3641101	38.20
1962	45-49	0.00317	0.01573	2.69	94267	1483	467909	3166981	33.60
1962	50-54	0.00517	0.02556	2.65	92784	2372	458350	2699072	29.09
1962	55-59	0.00754	0.03702	2.63	90412	3347	444142	2240722	24.78
1962	60-64	0.01164	0.05666	2.7	87066	4934	423969	1796580	20.63
1962	65-69	0.01842	0.08830	2.65	82132	7252	393616	1372611	16.71
1962	70-74	0.03196	0.14861	2.64	74880	11128	348191	978995	13.07
1962	75-79	0.05504	0.24336	2.62	63752	15515	281893	630804	9.89
1962	80-84	0.09580	0.38780	2.55	48237	18706	195268	348910	7.23
1962	85-89	0.15680	0.55482	2.37	29531	16385	104491	153643	5.20
1962	90-94	0.24047	0.71695	2.18	13146	9425	39195	49152	3.74
1962	95-99	0.35809	0.85169	1.92	3721	3169	8850	9957	2.68
1962	100-104	0.49106	0.92934	1.66	552	513	1044	1106	2.00
1962	105-109	0.62626	0.96681	1.43	39	38	60	62	1.59
1962	110+	0.72994	1.00000	1.37	1	1	2	2	1.37
1963	0	0.01910	0.01878	0.11	100000	1878	98322	7515756	75.16
1963	1-4	0.00083	0.00333	1.56	98122	327	391691	7417434	75.59
1963	5-9	0.00040	0.00198	2.28	97795	194	488447	7025743	71.84
1963	10-14	0.00031	0.00153	2.68	97601	149	487660	6537296	66.98
1963	15-19	0.00059	0.00293	2.72	97452	286	486610	6049636	62.08
1963	20-24	0.00067	0.00334	2.43	97166	324	484998	5563026	57.25
1963	25-29	0.00074	0.00370	2.67	96842	359	483373	5078028	52.44
1963	30-34	0.00090	0.00449	2.67	96483	434	481408	4594654	47.62
1963	35-39	0.00150	0.00750	2.72	96050	720	478608	4113247	42.82
1963	40-44	0.00228	0.01132	2.62	95330	1079	474083	3634638	38.13
1963	45-49	0.00345	0.01713	2.73	94250	1614	467592	3160555	33.53
