PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div4,f,1960-1964,0,0.01953,0.01919,0.11,100000,1919,98287,7515214,75.15
Div4,f,1960-1964,1-4,0.00082,0.00325,1.56,98081,319,391544,7416926,75.62
Div4,f,1960-1964,5-9,0.00037,0.00182,2.29,97762,178,488324,7025382,71.86
Div4,f,1960-1964,10-14,0.00030,0.00148,2.68,97583,145,487580,6537058,66.99
Div4,f,1960-1964,15-19,0.00058,0.00288,2.71,97438,280,486548,6049478,62.09
Div4,f,1960-1964,20-24,0.00065,0.00322,2.51,97158,313,485011,5562930,57.26
Div4,f,1960-1964,25-29,0.00074,0.00368,2.55,96845,357,483353,5077919,52.43
Div4,f,1960-1964,30-34,0.00101,0.00503,2.68,96488,485,481318,4594566,47.62
Div4,f,1960-1964,35-39,0.00150,0.00746,2.7,96003,716,478368,4113248,42.84
Div4,f,1960-1964,40-44,0.00227,0.01130,2.67,95287,1077,473928,3634880,38.15
Div4,f,1960-1964,45-49,0.00340,0.01687,2.67,94210,1590,467347,3160952,33.55
Div4,f,1960-1964,50-54,0.00522,0.02578,2.63,92621,2388,457437,2693605,29.08
Div4,f,1960-1964,55-59,0.00760,0.03732,2.66,90233,3368,443271,2236167,24.78
Div4,f,1960-1964,60-64,0.01189,0.05784,2.67,86865,5024,422641,1792896,20.64
Div4,f,1960-1964,65-69,0.01883,0.09016,2.65,81841,7379,391868,1370255,16.74
Div4,f,1960-1964,70-74,0.03188,0.14839,2.67,74462,11049,346557,978387,13.14
Div4,f,1960-1964,75-79,0.05418,0.23981,2.61,63413,15207,280665,631830,9.96
Div4,f,1960-1964,80-84,0.09370,0.38069,2.54,48206,18352,195848,351165,7.28
Div4,f,1960-1964,85-89,0.15557,0.55223,2.37,29854,16486,105974,155317,5.20
Div4,f,1960-1964,90-94,0.24466,0.72240,2.17,13368,9657,39470,49343,3.69
Div4,f,1960-1964,95-99,0.36026,0.85374,1.92,3711,3168,8794,9873,2.66
Div4,f,1960-1964,100-104,0.49577,0.93136,1.65,543,506,1020,1078,1.99
Div4,f,1960-1964,105-109,0.63294,0.96811,1.42,37,36,57,59,1.57
Div4,f,1960-1964,110+,0.73747,1.00000,1.36,1,1,2,2,1.36
Div4,f,1965-1969,0,0.01763,0.01736,0.1,100000,1736,98442,7561682,75.62
Div4,f,1965-1969,1-4,0.00075,0.00298,1.63,98264,293,392365,7463240,75.95
Div4,f,1965-1969,5-9,0.00034,0.00171,2.3,97972,167,489408,7070876,72.17
Div4,f,1965-1969,10-14,0.00030,0.00148,2.64,97805,145,488682,6581468,67.29
Div4,f,1965-1969,15-19,0.00062,0.00310,2.78,97660,303,487626,6092786,62.39
Div4,f,1965-1969,20-24,0.00070,0.00351,2.46,97357,342,485916,5605160,57.57
