PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Div4,m,1959,0,0.02676,0.02614,0.12,100000,2614,97691,6817456,68.17
Div4,m,1959,1,0.00164,0.00163,0.5,97386,159,97306,6719765,69.00
Div4,m,1959,2,0.00115,0.00115,0.5,97227,112,97171,6622459,68.11
Div4,m,1959,3,0.00082,0.00082,0.5,97115,80,97075,6525288,67.19
Div4,m,1959,4,0.00073,0.00073,0.5,97035,71,97000,6428213,66.25
Div4,m,1959,5,0.00070,0.00070,0.5,96965,68,96931,6331213,65.29
Div4,m,1959,6,0.00058,0.00058,0.5,96897,56,96869,6234283,64.34
Div4,m,1959,7,0.00052,0.00052,0.5,96841,50,96816,6137414,63.38
Div4,m,1959,8,0.00057,0.00057,0.5,96790,55,96763,6040598,62.41
Div4,m,1959,9,0.00053,0.00053,0.5,96736,51,96710,5943835,61.44
Div4,m,1959,10,0.00046,0.00046,0.5,96684,45,96662,5847125,60.48
Div4,m,1959,11,0.00048,0.00048,0.5,96640,46,96617,5750463,59.50
Div4,m,1959,12,0.00052,0.00052,0.5,96594,50,96569,5653847,58.53
Div4,m,1959,13,0.00069,0.00069,0.5,96544,67,96510,5557278,57.56
Div4,m,1959,14,0.00083,0.00083,0.5,96477,80,96437,5460768,56.60
Div4,m,1959,15,0.00098,0.00098,0.5,96397,94,96350,5364331,55.65
Div4,m,1959,16,0.00138,0.00138,0.5,96303,133,96236,5267981,54.70
Div4,m,1959,17,0.00159,0.00159,0.5,96170,153,96093,5171745,53.78
Div4,m,1959,18,0.00185,0.00185,0.5,96017,178,95928,5075651,52.86
Div4,m,1959,19,0.00188,0.00188,0.5,95839,180,95749,4979723,51.96
Div4,m,1959,20,0.00178,0.00178,0.5,95659,170,95574,4883974,51.06
Div4,m,1959,21,0.00205,0.00205,0.5,95489,196,95391,4788400,50.15
Div4,m,1959,22,0.00181,0.00181,0.5,95293,172,95207,4693009,49.25
Div4,m,1959,23,0.00171,0.00170,0.5,95121,162,95040,4597802,48.34
Div4,m,1959,24,0.00148,0.00148,0.5,94959,141,94888,4502762,47.42
Div4,m,1959,25,0.00175,0.00175,0.5,94818,166,94735,4407874,46.49
Div4,m,1959,26,0.00157,0.00157,0.5,94652,149,94578,4313139,45.57
Div4,m,1959,27,0.00163,0.00163,0.5,94504,154,94426,4218561,44.64
Div4,m,1959,28,0.00154,0.00154,0.5,94349,145,94277,4124134,43.71
Div4,m,1959,29,0.00175,0.00175,0.5,94205,165,94122,4029857,42.78
Div4,m,1959,30,0.00160,0.00160,0.5,94040,151,93964,3935735,41.85
Div4,m,1959,31,0.00179,0.00179,0.5,93889,168,93805,3841771,40.92
Div4,m,1959,32,0.00155,0.00155,0.5,93721,146,93648,3747966,39.99
Div4,m,1959,33,0.00215,0.00215,0.5,93575,201,93475,3654319,39.05
Div4,m,1959,34,0.00193,0.00193,0.5,93374,180,93284,3560844,38.14
Div4,m,1959,35,0.00218,0.00218,0.5,93194,203,93093,3467560,37.21
Div4,m,1959,36,0.00230,0.00230,0.5,92992,214,92885,3374467,36.29
Div4,m,1959,37,0.00225,0.00225,0.5,92778,209,92673,3281582,35.37
Div4,m,1959,38,0.00226,0.00225,0.5,92569,209,92464,3188909,34.45
Div4,m,1959,39,0.00292,0.00292,0.5,92360,269,92225,3096445,33.53
Div4,m,1959,40,0.00323,0.00323,0.5,92091,297,91942,3004219,32.62
Div4,m,1959,41,0.00356,0.00355,0.5,91794,326,91630,2912277,31.73
Div4,m,1959,42,0.00417,0.00416,0.5,91467,380,91277,2820646,30.84
Div4,m,1959,43,0.00443,0.00442,0.5,91087,403,90885,2729369,29.96
Div4,m,1959,44,0.00479,0.00478,0.5,90684,433,90468,2638484,29.10
Div4,m,1959,45,0.00548,0.00546,0.5,90251,493,90005,2548016,28.23
Div4,m,1959,46,0.00554,0.00553,0.5,89758,496,89510,2458012,27.38
Div4,m,1959,47,0.00644,0.00642,0.5,89262,573,88976,2368502,26.53
Div4,m,1959,48,0.00670,0.00667,0.5,88689,592,88393,2279526,25.70
Div4,m,1959,49,0.00788,0.00785,0.5,88097,692,87751,2191133,24.87
Div4,m,1959,50,0.00845,0.00842,0.5,87406,736,87038,2103382,24.06
Div4,m,1959,51,0.00927,0.00923,0.5,86670,800,86270,2016344,23.26
Div4,m,1959,52,0.01088,0.01082,0.5,85870,929,85405,1930074,22.48
Div4,m,1959,53,0.01191,0.01184,0.5,84941,1005,84438,1844669,21.72
Div4,m,1959,54,0.01264,0.01256,0.5,83935,1054,83408,1760231,20.97
Div4,m,1959,55,0.01351,0.01342,0.5,82881,1112,82325,1676823,20.23
Div4,m,1959,56,0.01445,0.01435,0.5,81769,1173,81182,1594497,19.50
Div4,m,1959,57,0.01523,0.01512,0.5,80596,1218,79987,1513315,18.78
Div4,m,1959,58,0.01694,0.01680,0.5,79377,1333,78711,1433329,18.06
Div4,m,1959,59,0.01934,0.01916,0.5,78044,1495,77297,1354618,17.36
Div4,m,1959,60,0.02096,0.02074,0.5,76549,1587,75755,1277321,16.69
Div4,m,1959,61,0.02224,0.02199,0.5,74962,1649,74137,1201566,16.03
Div4,m,1959,62,0.02417,0.02389,0.5,73313,1751,72437,1127428,15.38
Div4,m,1959,63,0.02580,0.02547,0.5,71562,1823,70650,1054991,14.74
Div4,m,1959,64,0.02827,0.02787,0.5,69739,1944,68767,984341,14.11
Div4,m,1959,65,0.03005,0.02961,0.5,67795,2007,66791,915574,13.51
Div4,m,1959,66,0.03318,0.03263,0.5,65788,2147,64714,848782,12.90
Div4,m,1959,67,0.03635,0.03570,0.5,63641,2272,62505,784068,12.32
Div4,m,1959,68,0.04022,0.03943,0.5,61369,2420,60159,721564,11.76
Div4,m,1959,69,0.04294,0.04204,0.5,58949,2478,57710,661405,11.22
Div4,m,1959,70,0.04493,0.04395,0.5,56471,2482,55230,603695,10.69
Div4,m,1959,71,0.04762,0.04651,0.5,53989,2511,52734,548465,10.16
Div4,m,1959,72,0.05266,0.05131,0.5,51478,2641,50157,495731,9.63
Div4,m,1959,73,0.05897,0.05728,0.5,48837,2797,47438,445574,9.12
Div4,m,1959,74,0.06526,0.06320,0.5,46039,2910,44585,398136,8.65
Div4,m,1959,75,0.06822,0.06597,0.5,43130,2845,41707,353551,8.20
Div4,m,1959,76,0.07554,0.07279,0.5,40284,2932,38818,311844,7.74
Div4,m,1959,77,0.08099,0.07783,0.5,37352,2907,35898,273026,7.31
Div4,m,1959,78,0.08989,0.08602,0.5,34445,2963,32963,237127,6.88
Div4,m,1959,79,0.10162,0.09670,0.5,31482,3044,29960,204164,6.49
Div4,m,1959,80,0.10818,0.10263,0.5,28437,2918,26978,174204,6.13
Div4,m,1959,81,0.11632,0.10993,0.5,25519,2805,24116,147226,5.77
Div4,m,1959,82,0.12994,0.12202,0.5,22714,2771,21328,123110,5.42
Div4,m,1959,83,0.14017,0.13099,0.5,19942,2612,18636,101782,5.10
Div4,m,1959,84,0.15117,0.14055,0.5,17330,2436,16112,83146,4.80
Div4,m,1959,85,0.16273,0.15049,0.5,14894,2241,13774,67034,4.50
Div4,m,1959,86,0.18023,0.16533,0.5,12653,2092,11607,53260,4.21
Div4,m,1959,87,0.20000,0.18182,0.5,10561,1920,9601,41653,3.94
Div4,m,1959,88,0.21720,0.19592,0.5,8641,1693,7794,32053,3.71
Div4,m,1959,89,0.24369,0.21722,0.5,6948,1509,6193,24258,3.49
Div4,m,1959,90,0.23361,0.20918,0.5,5439,1138,4870,18065,3.32
Div4,m,1959,91,0.29380,0.25617,0.5,4301,1102,3750,13195,3.07
Div4,m,1959,92,0.29498,0.25707,0.5,3199,822,2788,9445,2.95
Div4,m,1959,93,0.30343,0.26346,0.5,2377,626,2064,6657,2.80
Div4,m,1959,94,0.33714,0.28851,0.5,1751,505,1498,4593,2.62
Div4,m,1959,95,0.35953,0.30475,0.5,1246,380,1056,3095,2.49
Div4,m,1959,96,0.38355,0.32183,0.5,866,279,727,2040,2.36
Div4,m,1959,97,0.40814,0.33897,0.5,587,199,488,1313,2.24
Div4,m,1959,98,0.43321,0.35608,0.5,388,138,319,825,2.13
Div4,m,1959,99,0.45863,0.37308,0.5,250,93,203,506,2.02
Div4,m,1959,100,0.48426,0.38986,0.5,157,61,126,303,1.93
Div4,m,1959,101,0.50998,0.40636,0.5,96,39,76,177,1.85
Div4,m,1959,102,0.53564,0.42249,0.5,57,24,45,100,1.77
Div4,m,1959,103,0.56111,0.43818,0.5,33,14,26,56,1.70
Div4,m,1959,104,0.58627,0.45337,0.5,18,8,14,30,1.64
Div4,m,1959,105,0.61099,0.46801,0.5,10,5,8,16,1.58
Div4,m,1959,106,0.63514,0.48206,0.5,5,3,4,8,1.52
Div4,m,1959,107,0.65864,0.49547,0.5,3,1,2,4,1.48
Div4,m,1959,108,0.68138,0.50823,0.5,1,1,1,2,1.44
Div4,m,1959,109,0.70329,0.52032,0.5,1,0,1,1,1.40
Div4,m,1959,110+,0.72430,1.00000,1.38,0,0,0,0,1.38
Div4,m,1960,0,0.02696,0.02634,0.12,100000,2634,97675,6813604,68.14
Div4,m,1960,1,0.00158,0.00158,0.5,97366,154,97289,6715929,68.98
Div4,m,1960,2,0.00101,0.00101,0.5,97212,98,97163,6618640,68.08
Div4,m,1960,3,0.00088,0.00088,0.5,97114,85,97071,6521477,67.15
Div4,m,1960,4,0.00073,0.00073,0.5,97029,71,96993,6424406,66.21
Div4,m,1960,5,0.00061,0.00061,0.5,96958,59,96928,6327412,65.26
Div4,m,1960,6,0.00059,0.00059,0.5,96899,57,96870,6230484,64.30
Div4,m,1960,7,0.00062,0.00062,0.5,96842,60,96812,6133614,63.34
Div4,m,1960,8,0.00056,0.00056,0.5,96782,54,96755,6036802,62.38
Div4,m,1960,9,0.00047,0.00047,0.5,96728,46,96705,5940048,61.41
Div4,m,1960,10,0.00043,0.00043,0.5,96682,42,96661,5843343,60.44
Div4,m,1960,11,0.00053,0.00053,0.5,96640,51,96614,5746682,59.46
Div4,m,1960,12,0.00049,0.00049,0.5,96589,48,96565,5650067,58.50
Div4,m,1960,13,0.00071,0.00071,0.5,96541,69,96507,5553502,57.52
Div4,m,1960,14,0.00068,0.00068,0.5,96472,65,96440,5456996,56.57
Div4,m,1960,15,0.00068,0.00068,0.5,96407,66,96374,5360556,55.60
Div4,m,1960,16,0.00120,0.00120,0.5,96341,116,96283,5264182,54.64
Div4,m,1960,17,0.00160,0.00160,0.5,96225,154,96149,5167898,53.71
Div4,m,1960,18,0.00155,0.00154,0.5,96072,148,95998,5071750,52.79
Div4,m,1960,19,0.00179,0.00179,0.5,95923,172,95838,4975752,51.87
Div4,m,1960,20,0.00226,0.00226,0.5,95752,216,95644,4879915,50.96
Div4,m,1960,21,0.00189,0.00189,0.5,95536,181,95445,4784271,50.08
Div4,m,1960,22,0.00159,0.00159,0.5,95355,152,95279,4688826,49.17
Div4,m,1960,23,0.00177,0.00176,0.5,95203,168,95119,4593546,48.25
Div4,m,1960,24,0.00176,0.00176,0.5,95035,167,94952,4498427,47.33
Div4,m,1960,25,0.00179,0.00179,0.5,94868,169,94784,4403475,46.42
Div4,m,1960,26,0.00178,0.00178,0.5,94699,168,94615,4308692,45.50
Div4,m,1960,27,0.00151,0.00151,0.5,94531,142,94460,4214077,44.58
Div4,m,1960,28,0.00162,0.00162,0.5,94388,153,94312,4119617,43.65
Div4,m,1960,29,0.00162,0.00162,0.5,94235,153,94159,4025305,42.72
Div4,m,1960,30,0.00184,0.00183,0.5,94083,173,93996,3931146,41.78
Div4,m,1960,31,0.00170,0.00169,0.5,93910,159,93831,3837150,40.86
Div4,m,1960,32,0.00188,0.00188,0.5,93751,176,93663,3743319,39.93
Div4,m,1960,33,0.00178,0.00178,0.5,93575,167,93491,3649656,39.00
Div4,m,1960,34,0.00170,0.00170,0.5,93408,159,93329,3556165,38.07
Div4,m,1960,35,0.00215,0.00215,0.5,93249,200,93149,3462836,37.14
Div4,m,1960,36,0.00225,0.00225,0.5,93049,209,92944,3369687,36.21
