Div4: West North Central, Lifetables (period 5x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02588	0.02530	0.11	100000	2530	97760	6825214	68.25
1960-1964	1-4	0.00099	0.00397	1.64	97470	387	388967	6727454	69.02
1960-1964	5-9	0.00051	0.00254	2.39	97083	247	484773	6338488	65.29
1960-1964	10-14	0.00056	0.00277	2.71	96837	269	483568	5853715	60.45
1960-1964	15-19	0.00142	0.00708	2.8	96568	683	481338	5370147	55.61
1960-1964	20-24	0.00185	0.00919	2.43	95885	881	477160	4888809	50.99
1960-1964	25-29	0.00163	0.00814	2.48	95003	773	473072	4411649	46.44
1960-1964	30-34	0.00180	0.00895	2.58	94230	844	469111	3938577	41.80
1960-1964	35-39	0.00248	0.01233	2.67	93387	1151	464254	3469466	37.15
1960-1964	40-44	0.00382	0.01891	2.7	92235	1745	457157	3005211	32.58
1960-1964	45-49	0.00630	0.03103	2.68	90491	2808	445939	2548054	28.16
1960-1964	50-54	0.01054	0.05145	2.67	87683	4512	427920	2102116	23.97
1960-1964	55-59	0.01626	0.07827	2.64	83171	6510	400463	1674196	20.13
1960-1964	60-64	0.02454	0.11592	2.61	76661	8886	362093	1273733	16.62
1960-1964	65-69	0.03669	0.16840	2.57	67775	11413	311104	911640	13.45
1960-1964	70-74	0.05415	0.23901	2.55	56361	13471	248777	600536	10.66
1960-1964	75-79	0.08108	0.33693	2.49	42890	14451	178240	351759	8.20
1960-1964	80-84	0.12690	0.47869	2.44	28439	13614	107280	173519	6.10
1960-1964	85-89	0.19409	0.63500	2.28	14826	9414	48504	66239	4.47
1960-1964	90-94	0.28453	0.77684	2.08	5411	4204	14774	17735	3.28
1960-1964	95-99	0.39564	0.87830	1.83	1208	1061	2681	2961	2.45
1960-1964	100-104	0.51878	0.93860	1.6	147	138	266	280	1.90
1960-1964	105-109	0.64050	0.96886	1.4	9	9	14	14	1.56
1960-1964	110+	0.73339	1.00000	1.36	0	0	0	0	1.36
1965-1969	0	0.02312	0.02265	0.11	100000	2265	97977	6817415	68.17
1965-1969	1-4	0.00093	0.00371	1.67	97735	362	390096	6719437	68.75
1965-1969	5-9	0.00047	0.00236	2.38	97372	230	486261	6329341	65.00
1965-1969	10-14	0.00053	0.00265	2.74	97143	258	485132	5843080	60.15
1965-1969	15-19	0.00165	0.00821	2.87	96885	795	482735	5357947	55.30
1965-1969	20-24	0.00200	0.00997	2.46	96090	958	478016	4875213	50.74
1965-1969	25-29	0.00174	0.00865	2.47	95132	823	473579	4397197	46.22
1965-1969	30-34	0.00188	0.00938	2.57	94309	884	469393	3923618	41.60
1965-1969	35-39	0.00259	0.01287	2.68	93425	1203	464329	3454225	36.97
1965-1969	40-44	0.00398	0.01974	2.69	92222	1820	456907	2989896	32.42
1965-1969	45-49	0.00643	0.03166	2.67	90402	2862	445329	2532988	28.02
1965-1969	50-54	0.01054	0.05145	2.67	87539	4504	427219	2087660	23.85
1965-1969	55-59	0.01658	0.07978	2.65	83036	6625	399601	1660441	20.00
1965-1969	60-64	0.02521	0.11890	2.61	76411	9085	360330	1260840	16.50
1965-1969	65-69	0.03733	0.17114	2.58	67326	11522	308695	900510	13.38
1965-1969	70-74	0.05509	0.24279	2.56	55804	13549	245942	591815	10.61
1965-1969	75-79	0.08250	0.34184	2.49	42255	14445	175076	345873	8.19
1965-1969	80-84	0.12549	0.47425	2.43	27811	13189	105104	170796	6.14
1965-1969	85-89	0.19254	0.62973	2.25	14622	9208	47823	65692	4.49
1965-1969	90-94	0.28256	0.77273	2.07	5414	4183	14806	17869	3.30
1965-1969	95-99	0.38913	0.87365	1.85	1230	1075	2763	3063	2.49
1965-1969	100-104	0.51029	0.93550	1.61	155	145	285	301	1.94
1965-1969	105-109	0.63101	0.96710	1.41	10	10	15	16	1.58
1965-1969	110+	0.72382	1.00000	1.38	0	0	0	0	1.38
1970-1974	0	0.01961	0.01926	0.1	100000	1926	98262	6884268	68.84
1970-1974	1-4	0.00083	0.00330	1.66	98074	323	391538	6786006	69.19
1970-1974	5-9	0.00047	0.00233	2.39	97750	228	488156	6394468	65.42
1970-1974	10-14	0.00050	0.00249	2.79	97522	243	487075	5906312	60.56
1970-1974	15-19	0.00163	0.00813	2.86	97279	791	484707	5419237	55.71
1970-1974	20-24	0.00208	0.01034	2.48	96488	998	479924	4934531	51.14
1970-1974	25-29	0.00164	0.00818	2.46	95490	781	475466	4454607	46.65
1970-1974	30-34	0.00180	0.00896	2.55	94709	849	471463	3979141	42.01
1970-1974	35-39	0.00246	0.01223	2.62	93860	1148	466568	3507678	37.37
1970-1974	40-44	0.00374	0.01855	2.69	92713	1719	459588	3041110	32.80
1970-1974	45-49	0.00621	0.03060	2.67	90993	2785	448478	2581522	28.37
1970-1974	50-54	0.00972	0.04751	2.67	88209	4190	431281	2133044	24.18
1970-1974	55-59	0.01570	0.07573	2.66	84018	6363	405226	1701763	20.25
1970-1974	60-64	0.02451	0.11580	2.63	77655	8993	366968	1296537	16.70
1970-1974	65-69	0.03679	0.16892	2.58	68663	11598	315241	929569	13.54
1970-1974	70-74	0.05414	0.23903	2.55	57065	13640	251954	614328	10.77
1970-1974	75-79	0.08220	0.34078	2.49	43425	14798	180038	362374	8.34
1970-1974	80-84	0.12048	0.46013	2.43	28626	13172	109331	182336	6.37
1970-1974	85-89	0.18150	0.60882	2.3	15454	9409	51840	73005	4.72
1970-1974	90-94	0.26349	0.74846	2.11	6045	4525	17172	21165	3.50
1970-1974	95-99	0.36714	0.85694	1.89	1521	1303	3549	3993	2.63
1970-1974	100-104	0.48330	0.92476	1.66	218	201	416	443	2.04
1970-1974	105-109	0.60188	0.96112	1.46	16	16	26	27	1.65
1970-1974	110+	0.69487	1.00000	1.44	1	1	1	1	1.44
1975-1979	0	0.01503	0.01483	0.09	100000	1483	98644	7053560	70.54
1975-1979	1-4	0.00072	0.00286	1.7	98517	282	393421	6954916	70.60
1975-1979	5-9	0.00039	0.00196	2.37	98235	193	490669	6561496	66.79
1975-1979	10-14	0.00043	0.00214	2.84	98042	210	489759	6070826	61.92
1975-1979	15-19	0.00151	0.00752	2.9	97833	735	487623	5581067	57.05
1975-1979	20-24	0.00190	0.00944	2.41	97097	916	483113	5093444	52.46
1975-1979	25-29	0.00159	0.00793	2.46	96181	763	478968	4610331	47.93
1975-1979	30-34	0.00156	0.00779	2.54	95418	744	475259	4131363	43.30
1975-1979	35-39	0.00214	0.01063	2.66	94675	1007	471018	3656105	38.62
1975-1979	40-44	0.00325	0.01613	2.7	93668	1511	464864	3185087	34.00
1975-1979	45-49	0.00530	0.02619	2.69	92157	2414	455210	2720223	29.52
1975-1979	50-54	0.00864	0.04236	2.68	89743	3802	439887	2265012	25.24
1975-1979	55-59	0.01351	0.06548	2.66	85941	5627	416533	1825126	21.24
1975-1979	60-64	0.02179	0.10364	2.65	80314	8323	382003	1408592	17.54
1975-1979	65-69	0.03346	0.15484	2.6	71991	11147	333149	1026589	14.26
1975-1979	70-74	0.04940	0.22057	2.57	60844	13421	271653	693441	11.40
1975-1979	75-79	0.07392	0.31226	2.51	47423	14808	200313	421788	8.89
1975-1979	80-84	0.11026	0.43002	2.44	32615	14025	127197	221475	6.79
1975-1979	85-89	0.16450	0.57124	2.33	18590	10619	64553	94278	5.07
1975-1979	90-94	0.24476	0.72042	2.15	7970	5742	23461	29724	3.73
1975-1979	95-99	0.34027	0.83400	1.94	2228	1858	5462	6264	2.81
1975-1979	100-104	0.45256	0.91063	1.72	370	337	744	802	2.17
1975-1979	105-109	0.57030	0.95355	1.51	33	32	55	58	1.74
1975-1979	110+	0.66436	1.00000	1.51	2	2	2	2	1.51
1980-1984	0	0.01179	0.01166	0.08	100000	1166	98923	7190063	71.90
1980-1984	1-4	0.00062	0.00247	1.59	98834	244	394746	7091140	71.75
1980-1984	5-9	0.00030	0.00149	2.29	98589	147	492550	6696394	67.92
1980-1984	10-14	0.00036	0.00180	2.86	98443	177	491834	6203844	63.02
1980-1984	15-19	0.00121	0.00605	2.95	98266	595	490110	5712010	58.13
1980-1984	20-24	0.00163	0.00810	2.44	97671	791	486328	5221900	53.46
1980-1984	25-29	0.00142	0.00709	2.46	96880	687	482655	4735572	48.88
1980-1984	30-34	0.00142	0.00708	2.48	96193	681	479250	4252917	44.21
1980-1984	35-39	0.00182	0.00906	2.64	95512	865	475520	3773667	39.51
1980-1984	40-44	0.00272	0.01352	2.67	94647	1279	470258	3298147	34.85
1980-1984	45-49	0.00454	0.02245	2.72	93368	2096	462057	2827889	30.29
1980-1984	50-54	0.00771	0.03786	2.66	91271	3456	448287	2365831	25.92
1980-1984	55-59	0.01258	0.06109	2.67	87816	5365	426586	1917544	21.84
1980-1984	60-64	0.01962	0.09378	2.65	82451	7732	394053	1490959	18.08
1980-1984	65-69	0.03079	0.14340	2.61	74718	10715	348023	1096906	14.68
1980-1984	70-74	0.04691	0.21058	2.58	64003	13478	287339	748883	11.70
1980-1984	75-79	0.07037	0.29953	2.52	50526	15134	215080	461545	9.13
1980-1984	80-84	0.10631	0.41818	2.45	35392	14800	139213	246464	6.96
1980-1984	85-89	0.15977	0.55997	2.33	20591	11531	72170	107252	5.21
1980-1984	90-94	0.23382	0.70503	2.18	9061	6388	27321	35082	3.87
1980-1984	95-99	0.32810	0.82239	1.97	2673	2198	6699	7761	2.90
1980-1984	100-104	0.43766	0.90281	1.75	475	429	979	1062	2.24
1980-1984	105-109	0.55396	0.94904	1.54	46	44	79	83	1.79
1980-1984	110+	0.64768	1.00000	1.54	2	2	4	4	1.54
1985-1989	0	0.01034	0.01024	0.07	100000	1024	99051	7275376	72.75
1985-1989	1-4	0.00051	0.00204	1.69	98976	201	395441	7176325	72.51
1985-1989	5-9	0.00026	0.00131	2.37	98775	129	493534	6780885	68.65
1985-1989	10-14	0.00034	0.00171	2.85	98646	168	492866	6287351	63.74
1985-1989	15-19	0.00118	0.00590	2.87	98477	581	491148	5794485	58.84
1985-1989	20-24	0.00145	0.00723	2.46	97896	708	487687	5303336	54.17
1985-1989	25-29	0.00139	0.00695	2.54	97189	675	484285	4815649	49.55
1985-1989	30-34	0.00146	0.00727	2.53	96514	701	480834	4331364	44.88
1985-1989	35-39	0.00179	0.00893	2.59	95812	855	477001	3850530	40.19
1985-1989	40-44	0.00249	0.01238	2.68	94957	1175	472056	3373529	35.53
1985-1989	45-49	0.00408	0.02021	2.67	93782	1895	464497	2901473	30.94
1985-1989	50-54	0.00681	0.03350	2.69	91887	3079	452317	2436976	26.52
1985-1989	55-59	0.01141	0.05559	2.68	88808	4937	432578	1984659	22.35
1985-1989	60-64	0.01833	0.08784	2.64	83871	7367	401957	1552081	18.51
1985-1989	65-69	0.02826	0.13238	2.61	76504	10128	358346	1150125	15.03
1985-1989	70-74	0.04468	0.20179	2.6	66376	13394	299750	791779	11.93
1985-1989	75-79	0.06743	0.28920	2.54	52982	15322	227219	492029	9.29
1985-1989	80-84	0.10324	0.40891	2.46	37660	15400	149167	264809	7.03
1985-1989	85-89	0.15887	0.55970	2.36	22260	12459	78422	115642	5.20
1985-1989	90-94	0.23840	0.71345	2.19	9801	6993	29332	37220	3.80
1985-1989	95-99	0.34007	0.83451	1.95	2809	2344	6892	7888	2.81
1985-1989	100-104	0.45808	0.91385	1.71	465	425	927	996	2.14
1985-1989	105-109	0.58149	0.95667	1.49	40	38	66	68	1.71
1985-1989	110+	0.67944	1.00000	1.47	2	2	3	3	1.47
1990-1994	0	0.00946	0.00938	0.07	100000	938	99128	7346612	73.47
1990-1994	1-4	0.00046	0.00184	1.68	99062	182	395827	7247483	73.16
1990-1994	5-9	0.00024	0.00118	2.3	98880	117	494085	6851656	69.29
1990-1994	10-14	0.00029	0.00146	2.93	98763	144	493517	6357571	64.37
1990-1994	15-19	0.00121	0.00605	2.85	98619	596	491815	5864054	59.46
1990-1994	20-24	0.00147	0.00732	2.46	98023	718	488292	5372239	54.81
1990-1994	25-29	0.00142	0.00708	2.53	97305	689	484824	4883947	50.19
1990-1994	30-34	0.00167	0.00833	2.54	96616	804	481099	4399123	45.53
1990-1994	35-39	0.00197	0.00982	2.58	95811	941	476779	3918024	40.89
1990-1994	40-44	0.00257	0.01276	2.63	94871	1210	471482	3441246	36.27
1990-1994	45-49	0.00386	0.01912	2.68	93660	1790	464141	2969764	31.71
1990-1994	50-54	0.00624	0.03075	2.69	91870	2825	452816	2505623	27.27
1990-1994	55-59	0.01023	0.04998	2.7	89045	4451	434972	2052807	23.05
1990-1994	60-64	0.01665	0.08012	2.65	84594	6777	407042	1617834	19.12
1990-1994	65-69	0.02619	0.12328	2.63	77817	9593	366320	1210792	15.56
1990-1994	70-74	0.04055	0.18468	2.59	68223	12599	310740	844472	12.38
1990-1994	75-79	0.06224	0.27000	2.55	55624	15018	241281	533732	9.60
1990-1994	80-84	0.09953	0.39798	2.48	40606	16160	162361	292451	7.20
1990-1994	85-89	0.15276	0.54451	2.36	24446	13311	87135	130090	5.32
1990-1994	90-94	0.23373	0.70574	2.19	11135	7858	33620	42955	3.86
1990-1994	95-99	0.33446	0.82951	1.96	3277	2718	8126	9334	2.85
1990-1994	100-104	0.45334	0.91169	1.72	559	509	1123	1208	2.16
1990-1994	105-109	0.57829	0.95597	1.5	49	47	82	85	1.72
1990-1994	110+	0.67765	1.00000	1.48	2	2	3	3	1.48
1995-1999	0	0.00809	0.00802	0.07	100000	802	99251	7428848	74.29
1995-1999	1-4	0.00041	0.00163	1.69	99198	161	396418	7329597	73.89
1995-1999	5-9	0.00021	0.00105	2.32	99036	104	494903	6933179	70.01
1995-1999	10-14	0.00029	0.00143	2.83	98932	142	494354	6438277	65.08
1995-1999	15-19	0.00105	0.00525	2.87	98791	519	492848	5943923	60.17
1995-1999	20-24	0.00133	0.00661	2.5	98271	650	489732	5451075	55.47
1995-1999	25-29	0.00121	0.00605	2.48	97622	591	486621	4961343	50.82
1995-1999	30-34	0.00149	0.00741	2.6	97031	719	483431	4474722	46.12
1995-1999	35-39	0.00189	0.00942	2.62	96312	907	479401	3991291	41.44
1995-1999	40-44	0.00256	0.01274	2.66	95405	1215	474180	3511890	36.81
1995-1999	45-49	0.00378	0.01872	2.65	94190	1763	466814	3037710	32.25
1995-1999	50-54	0.00583	0.02877	2.68	92427	2659	455963	2570896	27.82
1995-1999	55-59	0.00946	0.04629	2.66	89768	4155	439125	2114932	23.56
1995-1999	60-64	0.01529	0.07378	2.65	85613	6317	413235	1675808	19.57
1995-1999	65-69	0.02401	0.11363	2.64	79296	9010	375215	1262572	15.92
1995-1999	70-74	0.03811	0.17451	2.59	70286	12266	321846	887357	12.62
1995-1999	75-79	0.05847	0.25612	2.58	58020	14860	254162	565511	9.75
1995-1999	80-84	0.09659	0.38911	2.5	43160	16794	173873	311349	7.21
1995-1999	85-89	0.15500	0.55040	2.37	26366	14512	93628	137475	5.21
1995-1999	90-94	0.24495	0.72632	2.2	11854	8610	35149	43848	3.70
1995-1999	95-99	0.35731	0.85094	1.92	3244	2761	7726	8699	2.68
1995-1999	100-104	0.48934	0.92859	1.66	484	449	918	973	2.01
1995-1999	105-109	0.62381	0.96631	1.43	35	33	53	55	1.60
1995-1999	110+	0.72716	1.00000	1.38	1	1	2	2	1.38
2000-2004	0	0.00740	0.00735	0.06	100000	735	99313	7529249	75.29
2000-2004	1-4	0.00036	0.00145	1.64	99265	144	396719	7429936	74.85
2000-2004	5-9	0.00017	0.00087	2.34	99121	86	495374	7033217	70.96
2000-2004	10-14	0.00024	0.00121	2.8	99034	120	494908	6537843	66.02
2000-2004	15-19	0.00091	0.00453	2.92	98914	448	493641	6042936	61.09
2000-2004	20-24	0.00129	0.00642	2.53	98466	633	490766	5549294	56.36
2000-2004	25-29	0.00119	0.00595	2.48	97834	582	487703	5058529	51.71
2000-2004	30-34	0.00129	0.00641	2.59	97251	623	484759	4570826	47.00
2000-2004	35-39	0.00175	0.00870	2.64	96628	840	481157	4086067	42.29
2000-2004	40-44	0.00256	0.01272	2.64	95788	1218	476061	3604910	37.63
2000-2004	45-49	0.00382	0.01892	2.65	94570	1790	468639	3128849	33.09
2000-2004	50-54	0.00566	0.02792	2.64	92780	2591	457792	2660210	28.67
2000-2004	55-59	0.00851	0.04173	2.67	90190	3764	442175	2202418	24.42
2000-2004	60-64	0.01365	0.06612	2.65	86426	5714	418688	1760243	20.37
2000-2004	65-69	0.02128	0.10131	2.63	80712	8177	384207	1341555	16.62
2000-2004	70-74	0.03383	0.15658	2.63	72534	11358	335718	957347	13.20
2000-2004	75-79	0.05318	0.23565	2.59	61177	14416	271069	621629	10.16
2000-2004	80-84	0.08860	0.36341	2.53	46761	16993	191794	350561	7.50
2000-2004	85-89	0.14907	0.53724	2.4	29767	15992	107281	158767	5.33
2000-2004	90-94	0.23999	0.71855	2.21	13775	9898	41243	51486	3.74
2000-2004	95-99	0.36264	0.85637	1.92	3877	3320	9156	10243	2.64
2000-2004	100-104	0.50444	0.93508	1.64	557	521	1032	1088	1.95
2000-2004	105-109	0.64679	0.97071	1.4	36	35	54	56	1.54
2000-2004	110+	0.75366	1.00000	1.33	1	1	1	1	1.33
2005-2009	0	0.00710	0.00706	0.06	100000	706	99340	7616977	76.17
2005-2009	1-4	0.00032	0.00126	1.62	99294	125	396880	7517637	75.71
