Div5: South Atlantic, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03264	0.03175	0.14	100000	3175	97266	6872918	68.73
1959	1-4	0.00130	0.00519	1.52	96825	502	386052	6775652	69.98
1959	5-9	0.00055	0.00275	2.35	96323	265	480912	6389601	66.34
1959	10-14	0.00049	0.00243	2.64	96058	234	479737	5908689	61.51
1959	15-19	0.00101	0.00503	2.74	95824	482	478029	5428952	56.66
1959	20-24	0.00146	0.00727	2.48	95342	693	474964	4950922	51.93
1959	25-29	0.00157	0.00780	2.5	94649	738	471401	4475959	47.29
1959	30-34	0.00206	0.01024	2.65	93911	961	467290	4004558	42.64
1959	35-39	0.00293	0.01457	2.68	92949	1355	461604	3537268	38.06
1959	40-44	0.00454	0.02247	2.67	91595	2059	453181	3075663	33.58
1959	45-49	0.00697	0.03431	2.68	89536	3072	440552	2622483	29.29
1959	50-54	0.01078	0.05254	2.64	86464	4543	421599	2181930	25.24
1959	55-59	0.01558	0.07512	2.65	81921	6154	395117	1760331	21.49
1959	60-64	0.02210	0.10487	2.57	75767	7946	359504	1365214	18.02
1959	65-69	0.03106	0.14444	2.58	67821	9796	315417	1005710	14.83
1959	70-74	0.04468	0.20144	2.56	58025	11688	261574	690293	11.90
1959	75-79	0.06745	0.28919	2.54	46337	13400	198676	428719	9.25
1959	80-84	0.10419	0.41253	2.48	32936	13587	130402	230043	6.98
1959	85-89	0.16452	0.57045	2.31	19349	11038	67092	99641	5.15
1959	90-94	0.23161	0.69672	2.14	8311	5791	25002	32548	3.92
1959	95-99	0.31718	0.81112	1.99	2521	2045	6446	7546	2.99
1959	100-104	0.42282	0.89428	1.77	476	426	1007	1100	2.31
1959	105-109	0.53689	0.94386	1.57	50	48	88	93	1.85
1959	110+	0.62999	1.00000	1.59	3	3	4	4	1.59
1960	0	0.03148	0.03065	0.14	100000	3065	97351	6847009	68.47
1960	1-4	0.00127	0.00506	1.56	96935	490	386544	6749658	69.63
1960	5-9	0.00055	0.00273	2.35	96445	263	481528	6363114	65.98
1960	10-14	0.00050	0.00252	2.66	96182	242	480345	5881586	61.15
1960	15-19	0.00100	0.00499	2.75	95940	479	478626	5401240	56.30
1960	20-24	0.00134	0.00667	2.51	95462	637	475724	4922614	51.57
1960	25-29	0.00166	0.00829	2.53	94825	786	472182	4446890	46.90
1960	30-34	0.00205	0.01022	2.62	94039	961	467908	3974708	42.27
1960	35-39	0.00299	0.01485	2.67	93078	1382	462178	3506800	37.68
1960	40-44	0.00471	0.02328	2.67	91697	2134	453504	3044621	33.20
1960	45-49	0.00717	0.03526	2.66	89562	3158	440435	2591117	28.93
1960	50-54	0.01103	0.05373	2.63	86404	4642	421008	2150682	24.89
1960	55-59	0.01591	0.07663	2.62	81761	6265	393918	1729675	21.16
1960	60-64	0.02355	0.11135	2.56	75496	8406	356971	1335757	17.69
1960	65-69	0.03240	0.15021	2.57	67090	10077	310990	978785	14.59
1960	70-74	0.04588	0.20616	2.54	57012	11754	256153	667796	11.71
1960	75-79	0.06902	0.29506	2.54	45259	13354	193491	411642	9.10
1960	80-84	0.10879	0.42698	2.48	31905	13623	125221	218151	6.84
1960	85-89	0.16746	0.57831	2.33	18282	10572	63135	92930	5.08
1960	90-94	0.23534	0.70745	2.18	7709	5454	23175	29795	3.86
1960	95-99	0.32443	0.81839	1.97	2255	1846	5689	6620	2.94
1960	100-104	0.43059	0.89868	1.76	410	368	855	930	2.27
1960	105-109	0.54444	0.94614	1.55	41	39	72	76	1.82
1960	110+	0.63700	1.00000	1.57	2	2	4	4	1.57
1961	0	0.03004	0.02928	0.13	100000	2928	97458	6907714	69.08
1961	1-4	0.00123	0.00492	1.6	97072	478	387139	6810256	70.16
1961	5-9	0.00050	0.00252	2.27	96594	243	482308	6423117	66.50
1961	10-14	0.00048	0.00240	2.7	96351	231	481225	5940808	61.66
1961	15-19	0.00096	0.00481	2.79	96120	462	479577	5459584	56.80
1961	20-24	0.00128	0.00637	2.52	95658	609	476777	4980006	52.06
1961	25-29	0.00151	0.00751	2.56	95049	713	473500	4503229	47.38
1961	30-34	0.00199	0.00991	2.6	94335	935	469431	4029729	42.72
1961	35-39	0.00288	0.01429	2.63	93400	1335	463842	3560298	38.12
1961	40-44	0.00448	0.02217	2.66	92065	2041	455543	3096456	33.63
1961	45-49	0.00677	0.03332	2.66	90024	2999	443099	2640914	29.34
1961	50-54	0.01069	0.05213	2.62	87025	4537	424310	2197814	25.26
1961	55-59	0.01507	0.07272	2.6	82488	5998	398054	1773504	21.50
1961	60-64	0.02222	0.10543	2.57	76490	8064	362876	1375450	17.98
1961	65-69	0.03160	0.14656	2.53	68426	10028	317362	1012574	14.80
1961	70-74	0.04492	0.20219	2.53	58397	11807	262871	695212	11.90
1961	75-79	0.06571	0.28323	2.56	46590	13196	200808	432341	9.28
1961	80-84	0.10716	0.42077	2.45	33394	14051	131125	231533	6.93
1961	85-89	0.16204	0.56486	2.32	19343	10926	67426	100408	5.19
