Div5: South Atlantic, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02829	0.02761	0.13	100000	2761	97604	7243991	72.44
1959	1-4	0.00119	0.00476	1.52	97239	463	387811	7146386	73.49
1959	5-9	0.00044	0.00218	2.24	96777	211	483299	6758575	69.84
1959	10-14	0.00033	0.00167	2.62	96565	161	482441	6275276	64.98
1959	15-19	0.00056	0.00278	2.64	96404	268	481385	5792835	60.09
1959	20-24	0.00086	0.00428	2.51	96135	412	479652	5311450	55.25
1959	25-29	0.00105	0.00524	2.6	95724	502	477412	4831798	50.48
1959	30-34	0.00153	0.00763	2.7	95222	726	474437	4354386	45.73
1959	35-39	0.00221	0.01102	2.71	94496	1041	470090	3879950	41.06
1959	40-44	0.00336	0.01665	2.64	93455	1556	463599	3409860	36.49
1959	45-49	0.00486	0.02401	2.68	91898	2206	454382	2946261	32.06
1959	50-54	0.00746	0.03664	2.65	89692	3286	440749	2491879	27.78
1959	55-59	0.01076	0.05251	2.68	86405	4537	421480	2051129	23.74
1959	60-64	0.01539	0.07419	2.6	81869	6074	394768	1629649	19.91
1959	65-69	0.02285	0.10833	2.61	75795	8211	359343	1234882	16.29
1959	70-74	0.03539	0.16310	2.6	67584	11023	311450	875539	12.95
1959	75-79	0.05775	0.25324	2.57	56561	14324	248019	564089	9.97
1959	80-84	0.09154	0.37310	2.52	42237	15759	172144	316070	7.48
1959	85-89	0.15212	0.54177	2.34	26479	14345	94304	143926	5.44
1959	90-94	0.21866	0.67619	2.18	12133	8204	37521	49622	4.09
1959	95-99	0.30645	0.80044	2.02	3929	3145	10262	12100	3.08
1959	100-104	0.41591	0.89068	1.79	784	698	1679	1838	2.34
1959	105-109	0.53455	0.94341	1.57	86	81	151	159	1.85
1959	110+	0.63117	1.00000	1.58	5	5	8	8	1.58
1960	0	0.02728	0.02665	0.13	100000	2665	97680	7224089	72.24
1960	1-4	0.00118	0.00470	1.55	97335	457	388222	7126409	73.22
1960	5-9	0.00047	0.00237	2.3	96878	230	483771	6738187	69.55
1960	10-14	0.00036	0.00179	2.56	96648	173	482820	6254417	64.71
1960	15-19	0.00059	0.00294	2.64	96475	284	481706	5771597	59.82
1960	20-24	0.00077	0.00386	2.55	96192	371	480048	5289891	54.99
1960	25-29	0.00116	0.00578	2.61	95820	554	477776	4809843	50.20
1960	30-34	0.00157	0.00782	2.63	95266	745	474564	4332067	45.47
1960	35-39	0.00230	0.01144	2.68	94521	1082	470097	3857503	40.81
1960	40-44	0.00355	0.01761	2.67	93439	1645	463356	3387407	36.25
1960	45-49	0.00500	0.02472	2.65	91794	2269	453637	2924051	31.85
1960	50-54	0.00747	0.03670	2.61	89525	3286	439763	2470413	27.59
1960	55-59	0.01076	0.05247	2.65	86239	4525	420558	2030650	23.55
1960	60-64	0.01636	0.07861	2.54	81714	6424	392740	1610091	19.70
1960	65-69	0.02311	0.10949	2.61	75290	8244	356736	1217352	16.17
1960	70-74	0.03571	0.16440	2.59	67047	11022	308692	860616	12.84
1960	75-79	0.05792	0.25390	2.57	56025	14225	245605	551924	9.85
1960	80-84	0.09622	0.38886	2.53	41800	16254	168932	306319	7.33
1960	85-89	0.15343	0.54666	2.37	25546	13965	91016	137387	5.38
1960	90-94	0.22467	0.68901	2.19	11581	7979	35516	46372	4.00
1960	95-99	0.31415	0.80866	2	3601	2912	9270	10855	3.01
1960	100-104	0.42458	0.89579	1.77	689	617	1454	1585	2.30
1960	105-109	0.54334	0.94611	1.56	72	68	125	131	1.83
1960	110+	0.63963	1.00000	1.56	4	4	6	6	1.56
1961	0	0.02582	0.02525	0.13	100000	2525	97792	7274727	72.75
1961	1-4	0.00115	0.00459	1.57	97475	447	388816	7176935	73.63
1961	5-9	0.00044	0.00220	2.19	97028	214	484541	6788120	69.96
1961	10-14	0.00036	0.00179	2.57	96814	174	483649	6303579	65.11
1961	15-19	0.00057	0.00286	2.75	96641	276	482582	5819930	60.22
1961	20-24	0.00075	0.00376	2.6	96365	363	480954	5337348	55.39
1961	25-29	0.00101	0.00506	2.66	96002	486	478870	4856394	50.59
1961	30-34	0.00156	0.00779	2.64	95516	744	475825	4377524	45.83
