Div5: South Atlantic, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03689	0.03576	0.14	100000	3576	96939	6529965	65.30
1959	1-4	0.00141	0.00560	1.51	96424	540	384351	6433025	66.72
1959	5-9	0.00066	0.00330	2.43	95884	316	478606	6048674	63.08
1959	10-14	0.00064	0.00317	2.65	95568	303	477126	5570068	58.28
1959	15-19	0.00144	0.00718	2.77	95264	684	474798	5092941	53.46
1959	20-24	0.00205	0.01022	2.47	94580	966	470459	4618144	48.83
1959	25-29	0.00210	0.01046	2.45	93614	979	465577	4147685	44.31
1959	30-34	0.00262	0.01300	2.62	92635	1204	460305	3682108	39.75
1959	35-39	0.00370	0.01834	2.66	91431	1677	453233	3221803	35.24
1959	40-44	0.00577	0.02846	2.69	89754	2554	442870	2768570	30.85
1959	45-49	0.00917	0.04488	2.68	87200	3914	426903	2325700	26.67
1959	50-54	0.01428	0.06904	2.63	83286	5750	402810	1898797	22.80
1959	55-59	0.02081	0.09917	2.63	77536	7689	369433	1495987	19.29
1959	60-64	0.02985	0.13903	2.54	69847	9711	325315	1126553	16.13
1959	65-69	0.04040	0.18388	2.56	60136	11058	273677	801238	13.32
1959	70-74	0.05549	0.24394	2.52	49078	11972	215736	527561	10.75
1959	75-79	0.07959	0.33207	2.51	37106	12322	154816	311825	8.40
1959	80-84	0.12241	0.46530	2.42	24785	11532	94213	157009	6.33
1959	85-89	0.18389	0.61213	2.27	13252	8112	44114	62796	4.74
1959	90-94	0.25475	0.73061	2.08	5140	3755	14742	18682	3.63
1959	95-99	0.33683	0.82937	1.94	1385	1148	3410	3940	2.85
1959	100-104	0.43659	0.90118	1.74	236	213	488	530	2.25
1959	105-109	0.54198	0.94482	1.55	23	22	41	43	1.83
1959	110+	0.62721	1.00000	1.59	1	1	2	2	1.59
1960	0	0.03556	0.03450	0.14	100000	3450	97034	6500511	65.01
1960	1-4	0.00136	0.00541	1.56	96550	522	384928	6403477	66.32
1960	5-9	0.00062	0.00307	2.39	96028	295	479368	6018549	62.68
1960	10-14	0.00065	0.00322	2.72	95733	308	477962	5539181	57.86
1960	15-19	0.00140	0.00695	2.8	95425	664	475663	5061219	53.04
1960	20-24	0.00189	0.00941	2.5	94761	892	471575	4585556	48.39
1960	25-29	0.00219	0.01088	2.48	93869	1021	466773	4113981	43.83
1960	30-34	0.00256	0.01275	2.61	92847	1183	461413	3647208	39.28
1960	35-39	0.00372	0.01846	2.67	91664	1692	454372	3185795	34.76
1960	40-44	0.00591	0.02914	2.67	89972	2622	443740	2731423	30.36
1960	45-49	0.00943	0.04612	2.67	87350	4028	427371	2287683	26.19
1960	50-54	0.01479	0.07143	2.64	83322	5952	402548	1860312	22.33
1960	55-59	0.02153	0.10236	2.61	77370	7919	367897	1457765	18.84
1960	60-64	0.03190	0.14802	2.57	69450	10280	322270	1089867	15.69
1960	65-69	0.04314	0.19503	2.54	59170	11540	267495	767598	12.97
1960	70-74	0.05791	0.25289	2.5	47630	12045	208003	500103	10.50
1960	75-79	0.08292	0.34380	2.52	35585	12234	147536	292100	8.21
1960	80-84	0.12717	0.47869	2.42	23351	11178	87900	144563	6.19
1960	85-89	0.18980	0.62447	2.26	12173	7602	40051	56663	4.65
1960	90-94	0.25453	0.73885	2.16	4571	3377	13269	16613	3.63
1960	95-99	0.34295	0.83484	1.93	1194	997	2906	3343	2.80
1960	100-104	0.44230	0.90414	1.73	197	178	403	437	2.22
1960	105-109	0.54672	0.94619	1.54	19	18	33	34	1.82
1960	110+	0.63099	1.00000	1.58	1	1	2	2	1.58
1961	0	0.03409	0.03311	0.14	100000	3311	97141	6566395	65.66
1961	1-4	0.00131	0.00524	1.61	96689	507	385547	6469254	66.91
1961	5-9	0.00057	0.00282	2.33	96182	271	480186	6083707	63.25
1961	10-14	0.00060	0.00299	2.78	95911	287	478917	5603522	58.42
1961	15-19	0.00134	0.00670	2.8	95624	641	476711	5124605	53.59
1961	20-24	0.00179	0.00891	2.49	94983	847	472788	4647894	48.93
1961	25-29	0.00201	0.01002	2.51	94137	943	468334	4175106	44.35
1961	30-34	0.00244	0.01214	2.57	93193	1131	463219	3706773	39.78
1961	35-39	0.00362	0.01793	2.64	92062	1651	456414	3243554	35.23
1961	40-44	0.00568	0.02802	2.68	90411	2533	446191	2787140	30.83
1961	45-49	0.00892	0.04370	2.68	87878	3841	430492	2340948	26.64
1961	50-54	0.01417	0.06856	2.63	84038	5761	406553	1910456	22.73
1961	55-59	0.02047	0.09754	2.59	78276	7635	372977	1503902	19.21
1961	60-64	0.02982	0.13907	2.58	70641	9824	329471	1130925	16.01
1961	65-69	0.04192	0.18963	2.49	60817	11533	275109	801454	13.18
