Div6: East South Central, Lifetables (period 1x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03032	0.02954	0.13	100000	2954	97437	6900541	69.01
1960-1969	1	0.00210	0.00210	0.5	97046	203	96944	6803104	70.10
1960-1969	2	0.00121	0.00121	0.5	96843	117	96784	6706160	69.25
1960-1969	3	0.00090	0.00090	0.5	96725	87	96682	6609376	68.33
1960-1969	4	0.00072	0.00072	0.5	96639	70	96604	6512694	67.39
1960-1969	5	0.00063	0.00063	0.5	96569	61	96539	6416090	66.44
1960-1969	6	0.00055	0.00055	0.5	96508	53	96482	6319551	65.48
1960-1969	7	0.00052	0.00052	0.5	96455	50	96430	6223070	64.52
1960-1969	8	0.00048	0.00048	0.5	96405	46	96381	6126640	63.55
1960-1969	9	0.00045	0.00045	0.5	96358	43	96337	6030258	62.58
1960-1969	10	0.00042	0.00042	0.5	96315	41	96295	5933922	61.61
1960-1969	11	0.00045	0.00045	0.5	96274	43	96253	5837627	60.64
1960-1969	12	0.00046	0.00046	0.5	96231	45	96209	5741374	59.66
1960-1969	13	0.00054	0.00054	0.5	96186	52	96160	5645165	58.69
1960-1969	14	0.00067	0.00067	0.5	96134	64	96102	5549005	57.72
1960-1969	15	0.00079	0.00079	0.5	96070	76	96032	5452903	56.76
1960-1969	16	0.00104	0.00104	0.5	95994	100	95944	5356871	55.80
1960-1969	17	0.00125	0.00125	0.5	95893	120	95833	5260927	54.86
1960-1969	18	0.00140	0.00140	0.5	95774	134	95707	5165094	53.93
1960-1969	19	0.00145	0.00145	0.5	95640	138	95571	5069387	53.00
1960-1969	20	0.00143	0.00143	0.5	95501	137	95433	4973817	52.08
1960-1969	21	0.00155	0.00155	0.5	95365	148	95291	4878383	51.15
1960-1969	22	0.00159	0.00159	0.5	95217	151	95142	4783092	50.23
1960-1969	23	0.00153	0.00153	0.5	95066	146	94993	4687951	49.31
1960-1969	24	0.00155	0.00155	0.5	94920	147	94847	4592958	48.39
1960-1969	25	0.00162	0.00161	0.5	94774	153	94697	4498111	47.46
1960-1969	26	0.00162	0.00161	0.5	94621	153	94544	4403414	46.54
1960-1969	27	0.00163	0.00163	0.5	94468	154	94391	4308869	45.61
1960-1969	28	0.00180	0.00180	0.5	94314	170	94229	4214479	44.69
1960-1969	29	0.00177	0.00177	0.5	94144	166	94060	4120250	43.77
1960-1969	30	0.00179	0.00179	0.5	93977	168	93893	4026189	42.84
1960-1969	31	0.00189	0.00188	0.5	93809	177	93721	3932296	41.92
1960-1969	32	0.00208	0.00208	0.5	93632	194	93535	3838575	41.00
1960-1969	33	0.00220	0.00220	0.5	93438	206	93335	3745040	40.08
1960-1969	34	0.00239	0.00239	0.5	93233	223	93121	3651705	39.17
1960-1969	35	0.00253	0.00252	0.5	93010	235	92892	3558584	38.26
1960-1969	36	0.00264	0.00264	0.5	92775	245	92652	3465691	37.36
1960-1969	37	0.00291	0.00290	0.5	92530	269	92396	3373039	36.45
1960-1969	38	0.00316	0.00316	0.5	92261	291	92116	3280643	35.56
1960-1969	39	0.00341	0.00340	0.5	91970	313	91814	3188527	34.67
1960-1969	40	0.00373	0.00372	0.5	91657	341	91487	3096714	33.79
1960-1969	41	0.00399	0.00398	0.5	91316	364	91134	3005227	32.91
1960-1969	42	0.00450	0.00449	0.5	90952	409	90748	2914093	32.04
1960-1969	43	0.00484	0.00483	0.5	90544	437	90325	2823345	31.18
1960-1969	44	0.00515	0.00514	0.5	90107	463	89875	2733020	30.33
1960-1969	45	0.00556	0.00554	0.5	89643	497	89395	2643145	29.49
1960-1969	46	0.00588	0.00587	0.5	89147	523	88885	2553750	28.65
1960-1969	47	0.00661	0.00659	0.5	88624	584	88332	2464865	27.81
1960-1969	48	0.00710	0.00707	0.5	88040	623	87729	2376533	26.99
1960-1969	49	0.00773	0.00770	0.5	87417	673	87081	2288804	26.18
1960-1969	50	0.00835	0.00832	0.5	86744	721	86383	2201724	25.38
1960-1969	51	0.00896	0.00892	0.5	86023	768	85639	2115340	24.59
1960-1969	52	0.01016	0.01010	0.5	85255	862	84824	2029701	23.81
1960-1969	53	0.01056	0.01051	0.5	84394	887	83950	1944877	23.05
1960-1969	54	0.01141	0.01134	0.5	83507	947	83033	1860927	22.28
1960-1969	55	0.01244	0.01237	0.5	82559	1021	82049	1777894	21.53
1960-1969	56	0.01309	0.01300	0.5	81539	1060	81008	1695845	20.80
1960-1969	57	0.01402	0.01392	0.5	80478	1121	79918	1614836	20.07
1960-1969	58	0.01545	0.01533	0.5	79358	1217	78749	1534918	19.34
1960-1969	59	0.01670	0.01656	0.5	78141	1294	77494	1456169	18.64
1960-1969	60	0.01772	0.01757	0.5	76847	1350	76172	1378675	17.94
1960-1969	61	0.01834	0.01818	0.5	75497	1372	74811	1302502	17.25
1960-1969	62	0.02156	0.02133	0.5	74125	1581	73334	1227691	16.56
1960-1969	63	0.02261	0.02236	0.5	72544	1622	71733	1154357	15.91
