Div6: East South Central, Lifetables (period 1x10), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02659	0.02599	0.13	100000	2599	97733	7282013	72.82
1960-1969	1	0.00202	0.00202	0.5	97401	196	97303	7184281	73.76
1960-1969	2	0.00113	0.00113	0.5	97205	110	97150	7086977	72.91
1960-1969	3	0.00083	0.00083	0.5	97095	80	97055	6989827	71.99
1960-1969	4	0.00066	0.00066	0.5	97015	64	96983	6892772	71.05
1960-1969	5	0.00058	0.00058	0.5	96951	56	96923	6795789	70.10
1960-1969	6	0.00045	0.00045	0.5	96895	43	96873	6698866	69.14
1960-1969	7	0.00046	0.00046	0.5	96851	45	96829	6601993	68.17
1960-1969	8	0.00038	0.00038	0.5	96806	37	96788	6505165	67.20
1960-1969	9	0.00038	0.00038	0.5	96769	37	96751	6408377	66.22
1960-1969	10	0.00033	0.00033	0.5	96732	32	96716	6311626	65.25
1960-1969	11	0.00037	0.00037	0.5	96700	36	96682	6214910	64.27
1960-1969	12	0.00034	0.00034	0.5	96664	33	96648	6118227	63.29
1960-1969	13	0.00038	0.00038	0.5	96631	36	96613	6021579	62.32
1960-1969	14	0.00045	0.00045	0.5	96595	43	96573	5924966	61.34
1960-1969	15	0.00052	0.00052	0.5	96551	50	96526	5828393	60.37
1960-1969	16	0.00057	0.00057	0.5	96501	55	96474	5731867	59.40
1960-1969	17	0.00072	0.00072	0.5	96446	70	96411	5635394	58.43
1960-1969	18	0.00075	0.00075	0.5	96376	72	96340	5538982	57.47
1960-1969	19	0.00080	0.00080	0.5	96304	77	96265	5442642	56.52
1960-1969	20	0.00080	0.00080	0.5	96227	77	96188	5346377	55.56
1960-1969	21	0.00087	0.00087	0.5	96150	84	96108	5250189	54.60
1960-1969	22	0.00085	0.00085	0.5	96066	82	96025	5154081	53.65
1960-1969	23	0.00084	0.00084	0.5	95984	81	95944	5058056	52.70
1960-1969	24	0.00091	0.00091	0.5	95903	87	95860	4962113	51.74
1960-1969	25	0.00099	0.00099	0.5	95816	94	95769	4866253	50.79
1960-1969	26	0.00098	0.00098	0.5	95722	94	95675	4770484	49.84
1960-1969	27	0.00105	0.00105	0.5	95628	100	95578	4674809	48.89
1960-1969	28	0.00118	0.00118	0.5	95527	112	95471	4579231	47.94
1960-1969	29	0.00120	0.00120	0.5	95415	114	95358	4483760	46.99
1960-1969	30	0.00123	0.00123	0.5	95300	117	95242	4388402	46.05
1960-1969	31	0.00132	0.00132	0.5	95183	126	95120	4293161	45.10
1960-1969	32	0.00157	0.00157	0.5	95057	149	94983	4198040	44.16
1960-1969	33	0.00159	0.00159	0.5	94908	151	94833	4103058	43.23
1960-1969	34	0.00172	0.00172	0.5	94758	163	94676	4008225	42.30
1960-1969	35	0.00182	0.00182	0.5	94595	172	94509	3913548	41.37
1960-1969	36	0.00199	0.00199	0.5	94423	188	94329	3819040	40.45
1960-1969	37	0.00219	0.00219	0.5	94235	206	94132	3724711	39.53
1960-1969	38	0.00234	0.00234	0.5	94029	220	93919	3630579	38.61
1960-1969	39	0.00253	0.00253	0.5	93809	237	93690	3536660	37.70
1960-1969	40	0.00276	0.00275	0.5	93572	258	93443	3442970	36.79
1960-1969	41	0.00298	0.00298	0.5	93314	278	93175	3349527	35.90
1960-1969	42	0.00338	0.00337	0.5	93036	314	92880	3256352	35.00
1960-1969	43	0.00351	0.00350	0.5	92723	325	92560	3163472	34.12
1960-1969	44	0.00369	0.00368	0.5	92398	340	92228	3070912	33.24
1960-1969	45	0.00391	0.00390	0.5	92058	359	91878	2978684	32.36
1960-1969	46	0.00413	0.00412	0.5	91699	378	91510	2886806	31.48
1960-1969	47	0.00466	0.00465	0.5	91321	424	91109	2795296	30.61
1960-1969	48	0.00506	0.00505	0.5	90896	459	90667	2704187	29.75
1960-1969	49	0.00543	0.00542	0.5	90438	490	90193	2613520	28.90
1960-1969	50	0.00574	0.00573	0.5	89948	515	89690	2523328	28.05
1960-1969	51	0.00597	0.00595	0.5	89433	532	89166	2433638	27.21
