Div6: East South Central, Lifetables (period 1x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03651	0.03541	0.14	100000	3541	96966	6581963	65.82
1959	1	0.00229	0.00229	0.5	96459	221	96349	6484997	67.23
1959	2	0.00133	0.00133	0.5	96239	128	96175	6388648	66.38
1959	3	0.00100	0.00100	0.5	96111	96	96062	6292473	65.47
1959	4	0.00082	0.00082	0.5	96014	79	95975	6196411	64.54
1959	5	0.00063	0.00063	0.5	95935	61	95905	6100436	63.59
1959	6	0.00056	0.00056	0.5	95874	54	95848	6004531	62.63
1959	7	0.00052	0.00052	0.5	95821	49	95796	5908684	61.66
1959	8	0.00061	0.00061	0.5	95771	59	95742	5812888	60.70
1959	9	0.00053	0.00053	0.5	95712	51	95687	5717146	59.73
1959	10	0.00062	0.00062	0.5	95662	59	95632	5621459	58.76
1959	11	0.00056	0.00056	0.5	95603	54	95576	5525826	57.80
1959	12	0.00064	0.00064	0.5	95549	61	95519	5430250	56.83
1959	13	0.00067	0.00067	0.5	95488	64	95456	5334731	55.87
1959	14	0.00082	0.00082	0.5	95424	78	95385	5239275	54.91
1959	15	0.00116	0.00116	0.5	95346	111	95291	5143890	53.95
1959	16	0.00150	0.00150	0.5	95235	142	95164	5048599	53.01
1959	17	0.00169	0.00169	0.5	95093	161	95013	4953435	52.09
1959	18	0.00181	0.00181	0.5	94932	172	94846	4858423	51.18
1959	19	0.00224	0.00224	0.5	94760	212	94654	4763576	50.27
1959	20	0.00239	0.00239	0.5	94548	226	94435	4668922	49.38
1959	21	0.00256	0.00256	0.5	94323	241	94202	4574487	48.50
1959	22	0.00241	0.00241	0.5	94081	226	93968	4480285	47.62
1959	23	0.00247	0.00247	0.5	93855	232	93739	4386317	46.74
1959	24	0.00225	0.00225	0.5	93623	211	93518	4292578	45.85
1959	25	0.00203	0.00203	0.5	93412	190	93318	4199060	44.95
1959	26	0.00236	0.00236	0.5	93223	220	93113	4105743	44.04
1959	27	0.00232	0.00231	0.5	93003	215	92895	4012630	43.15
1959	28	0.00275	0.00275	0.5	92788	255	92660	3919735	42.24
1959	29	0.00230	0.00230	0.5	92532	212	92426	3827075	41.36
1959	30	0.00232	0.00231	0.5	92320	214	92213	3734648	40.45
1959	31	0.00240	0.00239	0.5	92106	220	91996	3642435	39.55
1959	32	0.00258	0.00257	0.5	91886	236	91768	3550439	38.64
1959	33	0.00306	0.00306	0.5	91650	280	91510	3458671	37.74
1959	34	0.00269	0.00268	0.5	91369	245	91247	3367162	36.85
1959	35	0.00307	0.00307	0.5	91124	280	90984	3275915	35.95
1959	36	0.00332	0.00332	0.5	90845	302	90694	3184930	35.06
1959	37	0.00368	0.00367	0.5	90543	332	90377	3094237	34.17
1959	38	0.00422	0.00421	0.5	90211	380	90021	3003860	33.30
1959	39	0.00466	0.00465	0.5	89831	418	89622	2913839	32.44
1959	40	0.00460	0.00459	0.5	89413	410	89207	2824217	31.59
1959	41	0.00425	0.00425	0.5	89002	378	88813	2735010	30.73
1959	42	0.00556	0.00555	0.5	88624	492	88378	2646197	29.86
1959	43	0.00589	0.00587	0.5	88133	518	87874	2557818	29.02
1959	44	0.00585	0.00583	0.5	87615	511	87359	2469945	28.19
1959	45	0.00684	0.00681	0.5	87104	594	86807	2382585	27.35
1959	46	0.00758	0.00755	0.5	86510	653	86184	2295778	26.54
1959	47	0.00794	0.00791	0.5	85857	679	85517	2209594	25.74
1959	48	0.00855	0.00852	0.5	85178	725	84815	2124077	24.94
1959	49	0.00941	0.00937	0.5	84452	791	84057	2039262	24.15
1959	50	0.01038	0.01033	0.5	83661	864	83229	1955205	23.37
1959	51	0.01098	0.01092	0.5	82797	904	82345	1871976	22.61
1959	52	0.01370	0.01361	0.5	81893	1115	81335	1789631	21.85
1959	53	0.01406	0.01396	0.5	80778	1127	80214	1708296	21.15
1959	54	0.01499	0.01488	0.5	79651	1185	79058	1628081	20.44
1959	55	0.01543	0.01531	0.5	78466	1201	77865	1549023	19.74
1959	56	0.01693	0.01679	0.5	77265	1297	76616	1471158	19.04
1959	57	0.01741	0.01726	0.5	75967	1311	75311	1394542	18.36
1959	58	0.02100	0.02078	0.5	74656	1551	73880	1319230	17.67
1959	59	0.02300	0.02274	0.5	73104	1663	72273	1245350	17.04
1959	60	0.02281	0.02255	0.5	71442	1611	70636	1173077	16.42
1959	61	0.02379	0.02351	0.5	69831	1642	69010	1102441	15.79
1959	62	0.02777	0.02739	0.5	68189	1868	67255	1033431	15.16
1959	63	0.02946	0.02903	0.5	66321	1926	65358	966176	14.57
1959	64	0.02896	0.02854	0.5	64396	1838	63477	900817	13.99
1959	65	0.03456	0.03397	0.5	62557	2125	61495	837341	13.39
1959	66	0.03590	0.03527	0.5	60432	2132	59367	775846	12.84
1959	67	0.04101	0.04019	0.5	58301	2343	57129	716479	12.29
1959	68	0.04146	0.04061	0.5	55958	2273	54821	659350	11.78
1959	69	0.04545	0.04444	0.5	53685	2386	52492	604529	11.26
1959	70	0.05205	0.05073	0.5	51299	2602	49998	552037	10.76
1959	71	0.04898	0.04781	0.5	48697	2328	47533	502039	10.31
1959	72	0.05443	0.05298	0.5	46369	2457	45140	454506	9.80
1959	73	0.05814	0.05650	0.5	43912	2481	42671	409366	9.32
1959	74	0.06444	0.06243	0.5	41431	2586	40138	366694	8.85
1959	75	0.06954	0.06721	0.5	38845	2611	37539	326557	8.41
1959	76	0.07121	0.06876	0.5	36234	2492	34988	289017	7.98
