Div6: East South Central, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03586	0.03479	0.14	100000	3479	97013	6556307	65.56
1960-1964	1	0.00231	0.00230	0.5	96521	222	96410	6459295	66.92
1960-1964	2	0.00136	0.00136	0.5	96299	131	96233	6362885	66.07
1960-1964	3	0.00098	0.00098	0.5	96167	95	96120	6266652	65.16
1960-1964	4	0.00080	0.00080	0.5	96073	77	96034	6170532	64.23
1960-1964	5	0.00065	0.00064	0.5	95996	62	95965	6074497	63.28
1960-1964	6	0.00067	0.00067	0.5	95934	65	95902	5978532	62.32
1960-1964	7	0.00056	0.00056	0.5	95869	54	95843	5882630	61.36
1960-1964	8	0.00056	0.00056	0.5	95816	54	95789	5786788	60.39
1960-1964	9	0.00049	0.00049	0.5	95762	47	95738	5690999	59.43
1960-1964	10	0.00051	0.00051	0.5	95715	49	95690	5595261	58.46
1960-1964	11	0.00055	0.00055	0.5	95666	53	95639	5499570	57.49
1960-1964	12	0.00059	0.00058	0.5	95613	56	95585	5403931	56.52
1960-1964	13	0.00071	0.00071	0.5	95557	68	95523	5308347	55.55
1960-1964	14	0.00090	0.00090	0.5	95489	86	95446	5212824	54.59
1960-1964	15	0.00104	0.00104	0.5	95403	99	95354	5117378	53.64
1960-1964	16	0.00137	0.00136	0.5	95304	130	95239	5022024	52.69
1960-1964	17	0.00165	0.00165	0.5	95174	157	95096	4926785	51.77
1960-1964	18	0.00179	0.00178	0.5	95018	170	94933	4831689	50.85
1960-1964	19	0.00186	0.00185	0.5	94848	176	94760	4736756	49.94
1960-1964	20	0.00191	0.00191	0.5	94672	181	94582	4641996	49.03
1960-1964	21	0.00210	0.00210	0.5	94491	198	94392	4547415	48.13
1960-1964	22	0.00213	0.00212	0.5	94293	200	94193	4453023	47.23
1960-1964	23	0.00210	0.00210	0.5	94092	197	93994	4358830	46.32
