Div7: West South Central, Lifetables (period 5x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03009	0.02932	0.13	100000	2932	97454	7007303	70.07
1959	1-4	0.00128	0.00509	1.5	97068	494	387036	6909850	71.19
1959	5-9	0.00050	0.00252	2.34	96573	243	482219	6522813	67.54
1959	10-14	0.00054	0.00272	2.74	96330	262	481059	6040594	62.71
1959	15-19	0.00109	0.00544	2.66	96068	522	479118	5559535	57.87
1959	20-24	0.00146	0.00728	2.44	95546	696	475945	5080416	53.17
1959	25-29	0.00153	0.00761	2.5	94850	722	472446	4604472	48.54
1959	30-34	0.00182	0.00908	2.6	94128	855	468586	4132026	43.90
1959	35-39	0.00251	0.01248	2.67	93273	1164	463657	3663440	39.28
1959	40-44	0.00367	0.01821	2.69	92109	1678	456675	3199783	34.74
1959	45-49	0.00571	0.02819	2.68	90432	2549	446242	2743108	30.33
1959	50-54	0.00908	0.04446	2.66	87882	3907	430281	2296867	26.14
1959	55-59	0.01312	0.06362	2.65	83975	5343	407322	1866585	22.23
1959	60-64	0.01932	0.09233	2.62	78633	7260	375867	1459263	18.56
1959	65-69	0.02880	0.13467	2.6	71372	9612	333747	1083396	15.18
1959	70-74	0.04215	0.19115	2.57	61760	11806	280095	749649	12.14
1959	75-79	0.06491	0.28041	2.58	49955	14008	215810	469554	9.40
1959	80-84	0.10401	0.41293	2.51	35947	14844	142716	253745	7.06
1959	85-89	0.15958	0.56092	2.35	21104	11837	74177	111029	5.26
1959	90-94	0.22865	0.69226	2.15	9266	6415	28055	36851	3.98
1959	95-99	0.30686	0.79978	2.01	2852	2281	7432	8797	3.08
1959	100-104	0.40786	0.88482	1.8	571	505	1239	1364	2.39
1959	105-109	0.51795	0.93736	1.6	66	62	119	126	1.91
1959	110+	0.60832	1.00000	1.64	4	4	7	7	1.64
1960	0	0.03002	0.02925	0.13	100000	2925	97459	6979751	69.80
1960	1-4	0.00137	0.00545	1.54	97075	529	386999	6882292	70.90
1960	5-9	0.00053	0.00266	2.35	96546	257	482048	6495293	67.28
1960	10-14	0.00051	0.00256	2.71	96289	246	480880	6013245	62.45
1960	15-19	0.00105	0.00526	2.71	96042	505	479054	5532364	57.60
1960	20-24	0.00138	0.00689	2.56	95538	658	476084	5053310	52.89
1960	25-29	0.00141	0.00705	2.52	94880	669	472740	4577227	48.24
1960	30-34	0.00178	0.00887	2.59	94211	836	469043	4104486	43.57
1960	35-39	0.00244	0.01215	2.65	93375	1135	464207	3635443	38.93
1960	40-44	0.00378	0.01871	2.69	92240	1726	457221	3171236	34.38
1960	45-49	0.00581	0.02866	2.68	90514	2594	446547	2714015	29.98
1960	50-54	0.00922	0.04515	2.66	87920	3969	430303	2267468	25.79
1960	55-59	0.01335	0.06476	2.68	83951	5437	407140	1837165	21.88
1960	60-64	0.02069	0.09867	2.65	78514	7747	374334	1430025	18.21
1960	65-69	0.02980	0.13901	2.59	70767	9838	330088	1055691	14.92
1960	70-74	0.04416	0.19936	2.56	60929	12147	275044	725602	11.91
1960	75-79	0.06596	0.28393	2.55	48783	13851	210000	450558	9.24
1960	80-84	0.10731	0.42227	2.48	34932	14751	137462	240558	6.89
1960	85-89	0.16528	0.57365	2.33	20181	11577	70043	103095	5.11
1960	90-94	0.23749	0.70752	2.14	8604	6088	25634	33053	3.84
1960	95-99	0.32285	0.81681	1.98	2517	2056	6367	7419	2.95
1960	100-104	0.42870	0.89760	1.76	461	414	965	1052	2.28
1960	105-109	0.54224	0.94545	1.56	47	45	82	86	1.83
1960	110+	0.63451	1.00000	1.58	3	3	4	4	1.58
1961	0	0.02779	0.02713	0.13	100000	2713	97627	7041883	70.42
1961	1-4	0.00117	0.00465	1.55	97287	453	388041	6944255	71.38
1961	5-9	0.00050	0.00250	2.3	96834	242	483518	6556215	67.71
1961	10-14	0.00047	0.00235	2.66	96592	227	482431	6072696	62.87
1961	15-19	0.00102	0.00507	2.76	96366	488	480734	5590265	58.01
1961	20-24	0.00134	0.00669	2.6	95877	642	477849	5109532	53.29
1961	25-29	0.00143	0.00714	2.59	95236	680	474540	4631682	48.63
1961	30-34	0.00176	0.00874	2.64	94556	827	470830	4157143	43.96
1961	35-39	0.00246	0.01222	2.68	93729	1145	465989	3686313	39.33
1961	40-44	0.00377	0.01868	2.68	92584	1729	458910	3220324	34.78
1961	45-49	0.00558	0.02756	2.68	90855	2504	448465	2761414	30.39
1961	50-54	0.00885	0.04333	2.63	88351	3828	432663	2312949	26.18
1961	55-59	0.01255	0.06092	2.58	84523	5149	410159	1880286	22.25
1961	60-64	0.01993	0.09515	2.63	79374	7553	378952	1470127	18.52
1961	65-69	0.02879	0.13457	2.57	71821	9665	335660	1091175	15.19
1961	70-74	0.04250	0.19252	2.56	62156	11966	281541	755515	12.16
1961	75-79	0.06357	0.27503	2.55	50190	13804	217159	473974	9.44
1961	80-84	0.10290	0.40842	2.48	36386	14861	144413	256815	7.06
1961	85-89	0.16041	0.56133	2.33	21525	12083	75325	112402	5.22
1961	90-94	0.23129	0.69962	2.18	9442	6606	28562	37077	3.93
1961	95-99	0.31612	0.81009	1.99	2836	2298	7268	8515	3.00
1961	100-104	0.42217	0.89394	1.78	539	482	1141	1246	2.31
1961	105-109	0.53664	0.94380	1.57	57	54	100	106	1.85
1961	110+	0.62992	1.00000	1.59	3	3	5	5	1.59
1962	0	0.02838	0.02769	0.13	100000	2769	97583	7001060	70.01
1962	1-4	0.00131	0.00521	1.51	97231	507	387665	6903477	71.00
1962	5-9	0.00049	0.00246	2.27	96724	238	482973	6515812	67.36
1962	10-14	0.00047	0.00237	2.69	96487	229	481905	6032840	62.53
1962	15-19	0.00098	0.00487	2.82	96258	469	480270	5550935	57.67
1962	20-24	0.00139	0.00691	2.52	95789	662	477301	5070665	52.94
1962	25-29	0.00143	0.00711	2.49	95127	676	473938	4593364	48.29
1962	30-34	0.00176	0.00874	2.56	94450	826	470240	4119426	43.61
1962	35-39	0.00252	0.01254	2.65	93625	1174	465358	3649186	38.98
1962	40-44	0.00377	0.01868	2.67	92450	1727	458221	3183828	34.44
1962	45-49	0.00574	0.02834	2.67	90723	2572	447632	2725607	30.04
