Div7: West South Central, Lifetables (period 5x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02641	0.02581	0.13	100000	2581	97747	7372851	73.73
1959	1-4	0.00119	0.00476	1.48	97419	463	388508	7275104	74.68
1959	5-9	0.00046	0.00229	2.26	96956	222	484170	6886596	71.03
1959	10-14	0.00038	0.00191	2.65	96734	185	483234	6402426	66.19
1959	15-19	0.00068	0.00341	2.69	96549	330	481981	5919192	61.31
1959	20-24	0.00082	0.00411	2.5	96219	395	480109	5437211	56.51
1959	25-29	0.00098	0.00489	2.58	95824	468	477989	4957102	51.73
1959	30-34	0.00137	0.00685	2.62	95356	653	475226	4479113	46.97
1959	35-39	0.00188	0.00934	2.66	94702	885	471442	4003887	42.28
1959	40-44	0.00269	0.01339	2.68	93818	1256	466171	3532444	37.65
1959	45-49	0.00405	0.02008	2.69	92562	1858	458514	3066273	33.13
1959	50-54	0.00622	0.03066	2.69	90704	2781	447104	2607759	28.75
1959	55-59	0.00892	0.04369	2.68	87923	3842	430714	2160655	24.57
1959	60-64	0.01315	0.06378	2.62	84081	5362	407649	1729941	20.57
1959	65-69	0.02019	0.09635	2.64	78719	7585	375663	1322293	16.80
1959	70-74	0.03229	0.14991	2.62	71134	10664	330274	946630	13.31
1959	75-79	0.05404	0.23947	2.62	60470	14481	267956	616356	10.19
1959	80-84	0.09098	0.37170	2.54	45989	17094	187888	348400	7.58
1959	85-89	0.14636	0.52971	2.39	28895	15306	104578	160512	5.56
1959	90-94	0.21787	0.67143	2.14	13589	9124	41877	55934	4.12
1959	95-99	0.29893	0.79189	2.03	4465	3536	11828	14057	3.15
1959	100-104	0.40577	0.88421	1.81	929	822	2025	2229	2.40
1959	105-109	0.52247	0.93937	1.59	108	101	193	204	1.90
1959	110+	0.61804	1.00000	1.62	7	7	11	11	1.62
1960	0	0.02633	0.02574	0.13	100000	2574	97752	7351583	73.52
1960	1-4	0.00128	0.00512	1.54	97426	498	388481	7253831	74.45
1960	5-9	0.00046	0.00230	2.26	96928	223	484028	6865350	70.83
1960	10-14	0.00035	0.00174	2.66	96705	169	483127	6381322	65.99
1960	15-19	0.00064	0.00317	2.7	96536	306	481976	5898195	61.10
1960	20-24	0.00079	0.00394	2.67	96230	379	480267	5416219	56.28
1960	25-29	0.00091	0.00454	2.52	95851	435	478174	4935953	51.50
1960	30-34	0.00132	0.00658	2.57	95416	628	475551	4457778	46.72
1960	35-39	0.00183	0.00913	2.63	94788	865	471888	3982227	42.01
1960	40-44	0.00288	0.01429	2.69	93923	1342	466506	3510339	37.37
1960	45-49	0.00404	0.02001	2.66	92580	1853	458567	3043833	32.88
1960	50-54	0.00627	0.03090	2.65	90728	2803	447057	2585266	28.49
1960	55-59	0.00923	0.04520	2.71	87924	3974	430518	2138209	24.32
1960	60-64	0.01395	0.06754	2.67	83950	5670	406538	1707690	20.34
1960	65-69	0.02075	0.09890	2.64	78280	7742	373132	1301152	16.62
1960	70-74	0.03323	0.15400	2.63	70539	10863	326939	928020	13.16
1960	75-79	0.05447	0.24085	2.6	59676	14373	263856	601081	10.07
1960	80-84	0.09303	0.37791	2.52	45302	17120	184030	337225	7.44
1960	85-89	0.15176	0.54275	2.38	28182	15296	100786	153195	5.44
1960	90-94	0.21958	0.67576	2.15	12886	8708	39657	52409	4.07
1960	95-99	0.30964	0.80394	2.01	4178	3359	10848	12752	3.05
1960	100-104	0.41990	0.89310	1.78	819	732	1742	1904	2.32
1960	105-109	0.53900	0.94482	1.56	88	83	154	161	1.84
1960	110+	0.63579	1.00000	1.57	5	5	8	8	1.57
1961	0	0.02407	0.02357	0.12	100000	2357	97926	7419523	74.20
1961	1-4	0.00108	0.00432	1.57	97643	422	389544	7321597	74.98
1961	5-9	0.00042	0.00209	2.27	97221	203	485549	6932052	71.30
1961	10-14	0.00033	0.00165	2.55	97017	160	484694	6446503	66.45
1961	15-19	0.00063	0.00312	2.6	96857	302	483561	5961809	61.55
1961	20-24	0.00077	0.00384	2.75	96555	371	481942	5478248	56.74
1961	25-29	0.00094	0.00469	2.66	96184	451	479864	4996306	51.95
1961	30-34	0.00123	0.00611	2.64	95733	585	477283	4516442	47.18
1961	35-39	0.00187	0.00930	2.69	95147	885	473692	4039159	42.45
1961	40-44	0.00277	0.01377	2.71	94262	1298	468345	3565467	37.82
1961	45-49	0.00400	0.01981	2.69	92965	1842	460563	3097122	33.32
1961	50-54	0.00601	0.02965	2.65	91123	2702	449251	2636559	28.93
1961	55-59	0.00811	0.03978	2.59	88421	3517	433615	2187308	24.74
1961	60-64	0.01372	0.06643	2.62	84904	5640	411099	1753693	20.66
1961	65-69	0.01998	0.09539	2.63	79264	7561	378413	1342594	16.94
1961	70-74	0.03178	0.14769	2.61	71703	10590	333198	964181	13.45
1961	75-79	0.05153	0.22929	2.6	61113	14012	271939	630983	10.32
1961	80-84	0.08927	0.36546	2.52	47101	17214	192817	359044	7.62
1961	85-89	0.14493	0.52435	2.36	29887	15671	108134	166228	5.56
1961	90-94	0.21936	0.67840	2.19	14216	9644	43964	58093	4.09
1961	95-99	0.30497	0.79911	2.02	4572	3653	11980	14129	3.09
1961	100-104	0.41651	0.89128	1.79	918	819	1965	2150	2.34
1961	105-109	0.53752	0.94450	1.57	100	94	175	184	1.84
1961	110+	0.63600	1.00000	1.57	6	6	9	9	1.57
1962	0	0.02439	0.02388	0.12	100000	2388	97902	7375676	73.76
1962	1-4	0.00121	0.00484	1.49	97612	473	389260	7277774	74.56
1962	5-9	0.00048	0.00239	2.17	97139	233	485038	6888514	70.91
1962	10-14	0.00034	0.00168	2.58	96906	163	484138	6403476	66.08
