Div7: West South Central, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03194	0.03107	0.13	100000	3107	97299	6657836	66.58
1960-1964	1	0.00231	0.00230	0.5	96893	223	96781	6560537	67.71
1960-1964	2	0.00132	0.00132	0.5	96669	128	96605	6463756	66.86
1960-1964	3	0.00092	0.00092	0.5	96542	89	96497	6367151	65.95
1960-1964	4	0.00076	0.00076	0.5	96453	73	96416	6270654	65.01
1960-1964	5	0.00062	0.00062	0.5	96380	60	96350	6174237	64.06
1960-1964	6	0.00062	0.00062	0.5	96319	59	96290	6077888	63.10
1960-1964	7	0.00051	0.00051	0.5	96260	49	96236	5981598	62.14
1960-1964	8	0.00053	0.00053	0.5	96211	51	96186	5885363	61.17
1960-1964	9	0.00048	0.00048	0.5	96161	46	96137	5789177	60.20
1960-1964	10	0.00051	0.00051	0.5	96114	49	96090	5693039	59.23
1960-1964	11	0.00050	0.00050	0.5	96065	48	96041	5596950	58.26
1960-1964	12	0.00054	0.00054	0.5	96017	52	95991	5500909	57.29
1960-1964	13	0.00067	0.00067	0.5	95965	64	95933	5404918	56.32
1960-1964	14	0.00083	0.00083	0.5	95901	79	95861	5308986	55.36
1960-1964	15	0.00101	0.00101	0.5	95822	97	95773	5213124	54.40
1960-1964	16	0.00126	0.00126	0.5	95725	120	95664	5117351	53.46
1960-1964	17	0.00142	0.00142	0.5	95604	135	95537	5021687	52.53
1960-1964	18	0.00159	0.00159	0.5	95469	152	95393	4926150	51.60
1960-1964	19	0.00195	0.00195	0.5	95317	186	95224	4830757	50.68
1960-1964	20	0.00187	0.00187	0.5	95131	178	95042	4735534	49.78
1960-1964	21	0.00209	0.00209	0.5	94953	198	94854	4640492	48.87
1960-1964	22	0.00205	0.00205	0.5	94755	194	94658	4545638	47.97
1960-1964	23	0.00206	0.00206	0.5	94561	194	94463	4450980	47.07
1960-1964	24	0.00200	0.00200	0.5	94366	189	94272	4356517	46.17
1960-1964	25	0.00194	0.00194	0.5	94177	182	94086	4262245	45.26
1960-1964	26	0.00199	0.00199	0.5	93995	187	93902	4168159	44.34
1960-1964	27	0.00199	0.00199	0.5	93808	186	93715	4074257	43.43
1960-1964	28	0.00194	0.00194	0.5	93622	182	93531	3980542	42.52
1960-1964	29	0.00198	0.00198	0.5	93440	185	93348	3887011	41.60
1960-1964	30	0.00222	0.00222	0.5	93255	207	93152	3793664	40.68
1960-1964	31	0.00202	0.00201	0.5	93048	187	92954	3700512	39.77
1960-1964	32	0.00229	0.00229	0.5	92861	213	92754	3607557	38.85
1960-1964	33	0.00239	0.00238	0.5	92648	221	92538	3514803	37.94
1960-1964	34	0.00266	0.00266	0.5	92427	246	92304	3422265	37.03
1960-1964	35	0.00277	0.00276	0.5	92181	255	92054	3329961	36.12
1960-1964	36	0.00289	0.00288	0.5	91927	265	91794	3237907	35.22
1960-1964	37	0.00312	0.00311	0.5	91662	285	91519	3146113	34.32
1960-1964	38	0.00348	0.00347	0.5	91377	317	91218	3054594	33.43
1960-1964	39	0.00374	0.00374	0.5	91059	340	90889	2963376	32.54
1960-1964	40	0.00412	0.00411	0.5	90719	373	90533	2872486	31.66
1960-1964	41	0.00421	0.00420	0.5	90347	380	90157	2781954	30.79
1960-1964	42	0.00473	0.00472	0.5	89967	424	89754	2691797	29.92
1960-1964	43	0.00515	0.00513	0.5	89542	460	89312	2602043	29.06
1960-1964	44	0.00573	0.00571	0.5	89083	509	88828	2512730	28.21
1960-1964	45	0.00621	0.00619	0.5	88574	549	88299	2423902	27.37
1960-1964	46	0.00665	0.00663	0.5	88025	583	87733	2335603	26.53
1960-1964	47	0.00750	0.00747	0.5	87442	653	87115	2247870	25.71
1960-1964	48	0.00829	0.00826	0.5	86789	716	86430	2160754	24.90
1960-1964	49	0.00923	0.00918	0.5	86072	790	85677	2074324	24.10
1960-1964	50	0.01012	0.01007	0.5	85282	859	84852	1988647	23.32
1960-1964	51	0.01078	0.01072	0.5	84423	905	83970	1903795	22.55
1960-1964	52	0.01214	0.01207	0.5	83517	1008	83014	1819825	21.79
1960-1964	53	0.01328	0.01319	0.5	82510	1088	81965	1736812	21.05
1960-1964	54	0.01429	0.01419	0.5	81421	1156	80843	1654846	20.32
1960-1964	55	0.01549	0.01537	0.5	80266	1234	79649	1574003	19.61
1960-1964	56	0.01669	0.01655	0.5	79032	1308	78378	1494354	18.91
1960-1964	57	0.01784	0.01768	0.5	77724	1375	77037	1415976	18.22
1960-1964	58	0.01917	0.01899	0.5	76349	1450	75624	1338940	17.54
1960-1964	59	0.02081	0.02060	0.5	74900	1543	74128	1263315	16.87
1960-1964	60	0.02322	0.02295	0.5	73357	1684	72515	1189187	16.21
1960-1964	61	0.02429	0.02399	0.5	71673	1720	70813	1116672	15.58
1960-1964	62	0.02748	0.02711	0.5	69953	1896	69005	1045859	14.95
1960-1964	63	0.02929	0.02886	0.5	68057	1964	67075	976854	14.35
1960-1964	64	0.03235	0.03184	0.5	66093	2104	65040	909779	13.77
1960-1964	65	0.03627	0.03562	0.5	63988	2279	62849	844739	13.20
1960-1964	66	0.03771	0.03701	0.5	61709	2284	60567	781890	12.67
1960-1964	67	0.04098	0.04015	0.5	59425	2386	58232	721323	12.14
1960-1964	68	0.04340	0.04248	0.5	57039	2423	55827	663091	11.63
1960-1964	69	0.04563	0.04461	0.5	54616	2436	53397	607264	11.12
1960-1964	70	0.04955	0.04835	0.5	52179	2523	50918	553866	10.61
1960-1964	71	0.05246	0.05112	0.5	49656	2538	48387	502948	10.13
1960-1964	72	0.05955	0.05783	0.5	47118	2725	45755	454561	9.65
1960-1964	73	0.06211	0.06024	0.5	44393	2674	43056	408806	9.21
1960-1964	74	0.06623	0.06411	0.5	41719	2674	40382	365750	8.77
1960-1964	75	0.07070	0.06829	0.5	39044	2666	37711	325369	8.33
1960-1964	76	0.07370	0.07108	0.5	36378	2586	35085	287657	7.91
1960-1964	77	0.07784	0.07492	0.5	33792	2532	32526	252572	7.47
1960-1964	78	0.08579	0.08226	0.5	31260	2572	29975	220046	7.04
1960-1964	79	0.09106	0.08710	0.5	28689	2499	27440	190071	6.63
1960-1964	80	0.10962	0.10392	0.5	26190	2722	24829	162632	6.21
1960-1964	81	0.11392	0.10778	0.5	23468	2529	22204	137802	5.87
1960-1964	82	0.12840	0.12065	0.5	20939	2526	19676	115599	5.52
1960-1964	83	0.13874	0.12974	0.5	18413	2389	17218	95923	5.21
1960-1964	84	0.15170	0.14100	0.5	16024	2259	14894	78704	4.91
1960-1964	85	0.16422	0.15175	0.5	13765	2089	12720	63810	4.64
1960-1964	86	0.17925	0.16450	0.5	11676	1921	10715	51090	4.38
1960-1964	87	0.19615	0.17863	0.5	9755	1743	8884	40375	4.14
1960-1964	88	0.20640	0.18709	0.5	8013	1499	7263	31491	3.93
1960-1964	89	0.23008	0.20634	0.5	6513	1344	5841	24228	3.72
1960-1964	90	0.23802	0.21271	0.5	5169	1100	4620	18386	3.56
1960-1964	91	0.24350	0.21707	0.5	4070	883	3628	13767	3.38
1960-1964	92	0.26714	0.23566	0.5	3186	751	2811	10139	3.18
1960-1964	93	0.29777	0.25918	0.5	2436	631	2120	7328	3.01
1960-1964	94	0.30767	0.26665	0.5	1804	481	1564	5208	2.89
1960-1964	95	0.32230	0.27757	0.5	1323	367	1140	3644	2.75
1960-1964	96	0.34221	0.29221	0.5	956	279	816	2504	2.62
1960-1964	97	0.36270	0.30702	0.5	677	208	573	1688	2.50
1960-1964	98	0.38369	0.32193	0.5	469	151	393	1116	2.38
1960-1964	99	0.40512	0.33688	0.5	318	107	264	722	2.27
1960-1964	100	0.42693	0.35182	0.5	211	74	174	458	2.17
1960-1964	101	0.44902	0.36669	0.5	137	50	112	284	2.08
1960-1964	102	0.47131	0.38143	0.5	87	33	70	172	1.99
1960-1964	103	0.49372	0.39597	0.5	54	21	43	102	1.91
1960-1964	104	0.51615	0.41027	0.5	32	13	26	60	1.84
1960-1964	105	0.53852	0.42428	0.5	19	8	15	34	1.77
1960-1964	106	0.56074	0.43795	0.5	11	5	9	19	1.71
1960-1964	107	0.58271	0.45124	0.5	6	3	5	10	1.66
1960-1964	108	0.60436	0.46412	0.5	3	2	3	5	1.61
1960-1964	109	0.62561	0.47655	0.5	2	1	1	3	1.57
1960-1964	110+	0.64639	1.00000	1.55	1	1	1	1	1.55
1965-1969	0	0.02756	0.02691	0.12	100000	2691	97629	6644466	66.44
1965-1969	1	0.00186	0.00186	0.5	97309	181	97219	6546837	67.28
1965-1969	2	0.00113	0.00113	0.5	97129	110	97074	6449618	66.40
1965-1969	3	0.00091	0.00091	0.5	97018	88	96974	6352544	65.48
1965-1969	4	0.00083	0.00083	0.5	96930	80	96890	6255570	64.54
1965-1969	5	0.00066	0.00066	0.5	96850	64	96818	6158680	63.59
1965-1969	6	0.00061	0.00061	0.5	96786	59	96756	6061862	62.63
1965-1969	7	0.00052	0.00052	0.5	96727	50	96702	5965105	61.67
1965-1969	8	0.00048	0.00048	0.5	96677	46	96653	5868403	60.70
1965-1969	9	0.00046	0.00046	0.5	96630	45	96608	5771750	59.73
1965-1969	10	0.00048	0.00048	0.5	96586	47	96562	5675142	58.76
1965-1969	11	0.00046	0.00046	0.5	96539	45	96516	5578580	57.79
1965-1969	12	0.00052	0.00052	0.5	96494	50	96469	5482063	56.81
1965-1969	13	0.00068	0.00068	0.5	96444	66	96411	5385595	55.84
1965-1969	14	0.00083	0.00083	0.5	96378	80	96338	5289184	54.88
1965-1969	15	0.00112	0.00112	0.5	96298	108	96244	5192846	53.92
1965-1969	16	0.00142	0.00142	0.5	96189	136	96121	5096602	52.99
1965-1969	17	0.00177	0.00177	0.5	96053	170	95968	5000481	52.06
1965-1969	18	0.00215	0.00215	0.5	95883	206	95780	4904513	51.15
1965-1969	19	0.00223	0.00223	0.5	95677	213	95571	4808733	50.26
1965-1969	20	0.00226	0.00226	0.5	95464	216	95356	4713162	49.37
1965-1969	21	0.00228	0.00228	0.5	95249	217	95140	4617805	48.48
1965-1969	22	0.00228	0.00228	0.5	95031	217	94923	4522665	47.59
1965-1969	23	0.00225	0.00225	0.5	94815	213	94708	4427742	46.70
1965-1969	24	0.00214	0.00214	0.5	94601	203	94500	4333034	45.80
1965-1969	25	0.00224	0.00224	0.5	94399	211	94293	4238534	44.90
1965-1969	26	0.00217	0.00217	0.5	94188	204	94085	4144241	44.00
1965-1969	27	0.00215	0.00215	0.5	93983	202	93882	4050156	43.09
1965-1969	28	0.00223	0.00223	0.5	93781	209	93677	3956274	42.19
1965-1969	29	0.00227	0.00227	0.5	93572	212	93466	3862597	41.28
1965-1969	30	0.00225	0.00225	0.5	93360	210	93255	3769131	40.37
1965-1969	31	0.00240	0.00240	0.5	93150	223	93038	3675876	39.46
1965-1969	32	0.00245	0.00245	0.5	92927	227	92813	3582838	38.56
1965-1969	33	0.00257	0.00257	0.5	92699	238	92580	3490025	37.65
1965-1969	34	0.00274	0.00273	0.5	92461	253	92335	3397444	36.74
1965-1969	35	0.00285	0.00284	0.5	92208	262	92077	3305110	35.84
1965-1969	36	0.00308	0.00308	0.5	91946	283	91805	3213032	34.94
