Div7: West South Central, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03365	0.03270	0.14	100000	3270	97172	6674375	66.74
1959	1-4	0.00136	0.00542	1.52	96730	524	385620	6577203	68.00
1959	5-9	0.00055	0.00274	2.4	96206	264	480343	6191582	64.36
1959	10-14	0.00070	0.00350	2.79	95942	336	478967	5711240	59.53
1959	15-19	0.00149	0.00743	2.66	95606	711	476365	5232273	54.73
1959	20-24	0.00212	0.01054	2.41	94895	1000	471889	4755907	50.12
1959	25-29	0.00211	0.01047	2.46	93895	984	466979	4284018	45.63
1959	30-34	0.00230	0.01144	2.58	92912	1063	461989	3817039	41.08
1959	35-39	0.00318	0.01576	2.68	91849	1448	455885	3355050	36.53
1959	40-44	0.00469	0.02320	2.7	90401	2098	447183	2899165	32.07
1959	45-49	0.00743	0.03651	2.67	88304	3224	434010	2451982	27.77
1959	50-54	0.01203	0.05850	2.65	85080	4977	413683	2017972	23.72
1959	55-59	0.01750	0.08403	2.63	80103	6731	384557	1604289	20.03
1959	60-64	0.02598	0.12230	2.61	73371	8974	345413	1219731	16.62
1959	65-69	0.03845	0.17579	2.57	64398	11321	294453	874318	13.58
1959	70-74	0.05344	0.23603	2.53	53077	12528	234408	579866	10.92
1959	75-79	0.07815	0.32758	2.53	40549	13283	169966	345457	8.52
1959	80-84	0.12152	0.46453	2.47	27266	12666	104231	175491	6.44
1959	85-89	0.17834	0.60178	2.3	14600	8786	49266	71260	4.88
1959	90-94	0.24463	0.72140	2.16	5814	4194	17145	21994	3.78
1959	95-99	0.31880	0.81113	1.97	1620	1314	4121	4848	2.99
1959	100-104	0.41115	0.88577	1.79	306	271	659	727	2.38
1959	105-109	0.51030	0.93381	1.61	35	33	64	68	1.94
1959	110+	0.59129	1.00000	1.69	2	2	4	4	1.69
1960	0	0.03357	0.03263	0.14	100000	3263	97178	6642393	66.42
1960	1-4	0.00145	0.00577	1.54	96737	559	385576	6545215	67.66
1960	5-9	0.00060	0.00301	2.42	96179	289	480146	6159638	64.04
1960	10-14	0.00067	0.00335	2.74	95890	321	478721	5679492	59.23
1960	15-19	0.00146	0.00729	2.71	95569	697	476248	5200771	54.42
1960	20-24	0.00199	0.00991	2.51	94872	940	472023	4724523	49.80
1960	25-29	0.00195	0.00968	2.52	93932	909	467405	4252500	45.27
1960	30-34	0.00227	0.01130	2.61	93023	1051	462598	3785095	40.69
1960	35-39	0.00309	0.01534	2.66	91972	1411	456556	3322497	36.13
1960	40-44	0.00471	0.02330	2.7	90561	2110	447949	2865942	31.65
1960	45-49	0.00765	0.03757	2.69	88451	3323	434562	2417992	27.34
1960	50-54	0.01228	0.05968	2.66	85128	5081	413747	1983430	23.30
1960	55-59	0.01770	0.08497	2.66	80047	6801	384333	1569684	19.61
1960	60-64	0.02804	0.13147	2.63	73246	9629	343408	1185350	16.18
1960	65-69	0.04004	0.18231	2.55	63616	11598	289689	841942	13.23
1960	70-74	0.05693	0.24928	2.51	52018	12967	227792	552253	10.62
1960	75-79	0.08007	0.33382	2.51	39051	13036	162800	324461	8.31
1960	80-84	0.12689	0.47846	2.43	26015	12447	98092	161661	6.21
1960	85-89	0.18499	0.61513	2.28	13568	8346	45115	63569	4.69
1960	90-94	0.26485	0.75158	2.12	5222	3925	14819	18453	3.53
1960	95-99	0.34272	0.83470	1.93	1297	1083	3159	3635	2.80
1960	100-104	0.44260	0.90436	1.73	214	194	438	475	2.22
1960	105-109	0.54759	0.94648	1.54	21	19	35	37	1.81
1960	110+	0.63229	1.00000	1.58	1	1	2	2	1.58
1961	0	0.03136	0.03053	0.13	100000	3053	97341	6697072	66.97
1961	1-4	0.00125	0.00497	1.54	96947	482	386602	6599730	68.08
1961	5-9	0.00058	0.00290	2.32	96465	280	481575	6213128	64.41
1961	10-14	0.00061	0.00303	2.72	96185	291	480264	5731553	59.59
1961	15-19	0.00140	0.00695	2.83	95894	667	478023	5251289	54.76
1961	20-24	0.00193	0.00960	2.54	95227	914	473890	4773267	50.12
1961	25-29	0.00195	0.00970	2.56	94313	915	469327	4299377	45.59
1961	30-34	0.00232	0.01152	2.64	93398	1076	464450	3830050	41.01
1961	35-39	0.00308	0.01529	2.67	92322	1411	458322	3365600	36.46
1961	40-44	0.00481	0.02378	2.66	90911	2162	449489	2907278	31.98
1961	45-49	0.00724	0.03559	2.67	88749	3159	436396	2457789	27.69
1961	50-54	0.01179	0.05734	2.61	85590	4908	416233	2021393	23.62
1961	55-59	0.01726	0.08284	2.58	80682	6684	387216	1605160	19.89
1961	60-64	0.02673	0.12571	2.63	73998	9302	347958	1217944	16.46
1961	65-69	0.03880	0.17707	2.54	64696	11456	295265	869986	13.45
1961	70-74	0.05526	0.24290	2.51	53240	12932	234017	574721	10.79
1961	75-79	0.07855	0.32845	2.51	40309	13239	168550	340704	8.45
1961	80-84	0.12197	0.46404	2.42	27069	12561	102981	172154	6.36
1961	85-89	0.18358	0.61182	2.27	14508	8876	48351	69173	4.77
1961	90-94	0.25007	0.73128	2.16	5632	4118	16469	20822	3.70
1961	95-99	0.33287	0.82551	1.95	1513	1249	3753	4353	2.88
1961	100-104	0.43104	0.89800	1.75	264	237	550	600	2.27
1961	105-109	0.53514	0.94260	1.56	27	25	47	50	1.85
1961	110+	0.61954	1.00000	1.61	2	2	2	2	1.61
1962	0	0.03221	0.03133	0.13	100000	3133	97279	6657948	66.58
1962	1-4	0.00140	0.00556	1.54	96867	539	386139	6560669	67.73
1962	5-9	0.00050	0.00252	2.35	96328	242	480998	6174530	64.10
1962	10-14	0.00061	0.00304	2.74	96086	292	479768	5693532	59.25
1962	15-19	0.00136	0.00678	2.85	95793	650	477568	5213764	54.43
1962	20-24	0.00202	0.01004	2.49	95143	955	473320	4736196	49.78
1962	25-29	0.00199	0.00990	2.43	94188	932	468542	4262876	45.26
1962	30-34	0.00228	0.01136	2.49	93256	1059	463617	3794334	40.69
1962	35-39	0.00317	0.01571	2.66	92197	1449	457588	3330716	36.13
1962	40-44	0.00468	0.02314	2.65	90748	2100	448801	2873128	31.66
1962	45-49	0.00739	0.03633	2.7	88648	3220	435824	2424327	27.35
1962	50-54	0.01194	0.05808	2.64	85428	4962	415453	1988503	23.28
1962	55-59	0.01821	0.08722	2.6	80466	7018	385458	1573049	19.55
1962	60-64	0.02701	0.12695	2.63	73448	9324	345167	1187591	16.17
1962	65-69	0.04063	0.18450	2.51	64124	11831	291212	842424	13.14
1962	70-74	0.05724	0.25113	2.56	52293	13132	229424	551211	10.54
1962	75-79	0.08060	0.33581	2.52	39161	13150	163155	321788	8.22
1962	80-84	0.12816	0.48110	2.41	26010	12514	97637	158633	6.10
1962	85-89	0.19581	0.63758	2.26	13497	8605	43947	60996	4.52
1962	90-94	0.26644	0.75211	2.11	4891	3679	13807	17049	3.49
1962	95-99	0.36062	0.85062	1.89	1213	1031	2860	3242	2.67
1962	100-104	0.46687	0.91676	1.69	181	166	356	382	2.11
1962	105-109	0.57661	0.95472	1.5	15	14	25	26	1.72
1962	110+	0.66399	1.00000	1.51	1	1	1	1	1.51
1963	0	0.03153	0.03069	0.13	100000	3069	97329	6644270	66.44
1963	1-4	0.00123	0.00489	1.52	96931	474	386550	6546941	67.54
1963	5-9	0.00054	0.00267	2.38	96457	258	481610	6160391	63.87
1963	10-14	0.00055	0.00276	2.77	96199	266	480404	5678781	59.03
1963	15-19	0.00145	0.00720	2.8	95934	691	478148	5198377	54.19
1963	20-24	0.00197	0.00979	2.51	95242	932	473891	4720228	49.56
1963	25-29	0.00203	0.01010	2.52	94310	953	469190	4246337	45.03
1963	30-34	0.00227	0.01130	2.63	93358	1055	464288	3777147	40.46
1963	35-39	0.00334	0.01658	2.62	92303	1530	457872	3312859	35.89
1963	40-44	0.00468	0.02316	2.68	90773	2102	448980	2854987	31.45
1963	45-49	0.00791	0.03886	2.7	88671	3446	435441	2406007	27.13
1963	50-54	0.01226	0.05961	2.66	85225	5080	414260	1970566	23.12
1963	55-59	0.01828	0.08755	2.6	80144	7016	383901	1556307	19.42
1963	60-64	0.02716	0.12749	2.6	73128	9323	343241	1172406	16.03
1963	65-69	0.04215	0.19083	2.52	63805	12176	288858	829165	13.00
1963	70-74	0.05934	0.25882	2.53	51629	13363	225191	540307	10.47
1963	75-79	0.07817	0.32537	2.42	38267	12451	159271	315116	8.23
1963	80-84	0.12874	0.48176	2.39	25816	12437	96604	155845	6.04
1963	85-89	0.20186	0.64776	2.24	13379	8666	42932	59241	4.43
1963	90-94	0.26714	0.74771	2.06	4713	3524	13190	16308	3.46
1963	95-99	0.36823	0.85690	1.88	1189	1019	2767	3118	2.62
1963	100-104	0.47669	0.92129	1.67	170	157	329	351	2.07
1963	105-109	0.58783	0.95754	1.48	13	13	22	23	1.69
1963	110+	0.67581	1.00000	1.48	1	1	1	1	1.48
1964	0	0.03098	0.03017	0.13	100000	3017	97370	6648976	66.49
1964	1-4	0.00132	0.00528	1.47	96983	512	386641	6551606	67.55
1964	5-9	0.00054	0.00269	2.34	96472	259	481669	6164965	63.90
1964	10-14	0.00061	0.00305	2.81	96212	294	480418	5683297	59.07
1964	15-19	0.00155	0.00774	2.83	95919	742	477980	5202879	54.24
1964	20-24	0.00215	0.01070	2.54	95176	1019	473377	4724899	49.64
1964	25-29	0.00192	0.00956	2.48	94158	900	468517	4251522	45.15
1964	30-34	0.00244	0.01213	2.65	93258	1131	463629	3783005	40.57
1964	35-39	0.00331	0.01641	2.66	92127	1512	457093	3319375	36.03
1964	40-44	0.00503	0.02486	2.64	90615	2252	447764	2862283	31.59
1964	45-49	0.00763	0.03750	2.68	88363	3313	434112	2414518	27.33
1964	50-54	0.01220	0.05931	2.69	85049	5044	413588	1980406	23.29
1964	55-59	0.01826	0.08746	2.61	80005	6997	383307	1566819	19.58
1964	60-64	0.02711	0.12724	2.59	73008	9289	342645	1183511	16.21
1964	65-69	0.04143	0.18815	2.56	63718	11988	289362	840866	13.20
1964	70-74	0.05853	0.25592	2.55	51730	13239	226199	551504	10.66
1964	75-79	0.07814	0.32507	2.42	38491	12512	160124	325305	8.45
1964	80-84	0.12286	0.46647	2.42	25979	12118	98639	165181	6.36
1964	85-89	0.17974	0.60793	2.34	13860	8426	46880	66542	4.80
1964	90-94	0.25628	0.73772	2.12	5434	4009	15643	19663	3.62
1964	95-99	0.33998	0.83250	1.94	1425	1187	3490	4020	2.82
1964	100-104	0.44191	0.90421	1.73	239	216	489	530	2.22
1964	105-109	0.54923	0.94711	1.54	23	22	39	41	1.81
1964	110+	0.63578	1.00000	1.57	1	1	2	2	1.57
1965	0	0.02917	0.02845	0.12	100000	2845	97506	6666066	66.66
1965	1-4	0.00125	0.00497	1.66	97155	483	387491	6568560	67.61
1965	5-9	0.00060	0.00298	2.38	96672	288	482605	6181068	63.94
1965	10-14	0.00056	0.00280	2.81	96384	269	481327	5698464	59.12
1965	15-19	0.00156	0.00779	2.78	96114	749	478907	5217137	54.28
1965	20-24	0.00203	0.01008	2.5	95365	961	474426	4738229	49.69
1965	25-29	0.00215	0.01069	2.6	94404	1009	469599	4263803	45.17
1965	30-34	0.00234	0.01166	2.56	93394	1089	464317	3794204	40.63
1965	35-39	0.00328	0.01625	2.64	92305	1500	457985	3329887	36.07
1965	40-44	0.00480	0.02375	2.61	90805	2157	448877	2871901	31.63
1965	45-49	0.00761	0.03739	2.7	88649	3315	435631	2423024	27.33
1965	50-54	0.01206	0.05865	2.68	85334	5005	415075	1987393	23.29
1965	55-59	0.01801	0.08638	2.63	80329	6938	385230	1572318	19.57
1965	60-64	0.02704	0.12701	2.62	73391	9322	344747	1187089	16.17
1965	65-69	0.04053	0.18471	2.6	64069	11834	291953	842342	13.15
1965	70-74	0.05759	0.25221	2.54	52235	13174	228738	550389	10.54
1965	75-79	0.08267	0.34065	2.42	39061	13306	160953	321651	8.23
1965	80-84	0.12544	0.47518	2.45	25755	12238	97560	160698	6.24
1965	85-89	0.18898	0.62208	2.25	13516	8408	44492	63138	4.67
1965	90-94	0.25126	0.72388	2.07	5108	3698	14716	18646	3.65
1965	95-99	0.34475	0.83668	1.92	1410	1180	3423	3930	2.79
1965	100-104	0.44615	0.90633	1.72	230	209	468	507	2.20
1965	105-109	0.55250	0.94800	1.54	22	20	37	39	1.80
1965	110+	0.63813	1.00000	1.57	1	1	2	2	1.57
1966	0	0.02880	0.02809	0.12	100000	2809	97535	6643866	66.44
1966	1-4	0.00121	0.00483	1.61	97191	469	387641	6546331	67.36
1966	5-9	0.00051	0.00253	2.28	96722	245	482944	6158690	63.67
1966	10-14	0.00058	0.00289	2.75	96477	279	481759	5675746	58.83
1966	15-19	0.00175	0.00870	2.79	96199	837	479142	5193987	53.99
1966	20-24	0.00210	0.01045	2.48	95362	997	474292	4714845	49.44
1966	25-29	0.00219	0.01091	2.49	94365	1029	469243	4240553	44.94
1966	30-34	0.00244	0.01211	2.61	93336	1130	463975	3771310	40.41
1966	35-39	0.00335	0.01660	2.65	92206	1530	457439	3307335	35.87
1966	40-44	0.00520	0.02569	2.67	90675	2329	447941	2849897	31.43
1966	45-49	0.00783	0.03844	2.68	88346	3396	433843	2401956	27.19
1966	50-54	0.01218	0.05923	2.67	84950	5031	413040	1968113	23.17
1966	55-59	0.01870	0.08949	2.61	79919	7152	382472	1555073	19.46
1966	60-64	0.02700	0.12677	2.59	72767	9225	341618	1172601	16.11
1966	65-69	0.04066	0.18509	2.58	63542	11761	289263	830983	13.08
1966	70-74	0.05911	0.25807	2.54	51781	13363	226085	541720	10.46
1966	75-79	0.08411	0.34629	2.45	38418	13304	158179	315635	8.22
1966	80-84	0.12574	0.47484	2.42	25114	11925	94844	157456	6.27
1966	85-89	0.18329	0.61199	2.29	13189	8071	44035	62612	4.75
1966	90-94	0.25546	0.73571	2.12	5117	3765	14738	18576	3.63
1966	95-99	0.33791	0.83022	1.94	1352	1123	3323	3839	2.84
1966	100-104	0.43649	0.90100	1.74	230	207	474	516	2.25
1966	105-109	0.54056	0.94430	1.55	23	21	40	42	1.84
1966	110+	0.62475	1.00000	1.6	1	1	2	2	1.60
1967	0	0.02709	0.02646	0.12	100000	2646	97666	6667225	66.67
1967	1-4	0.00120	0.00480	1.66	97354	467	388323	6569560	67.48
1967	5-9	0.00053	0.00265	2.33	96887	257	483749	6181236	63.80
1967	10-14	0.00060	0.00300	2.85	96630	290	482526	5697487	58.96
1967	15-19	0.00168	0.00838	2.92	96340	807	480022	5214961	54.13
1967	20-24	0.00220	0.01096	2.43	95533	1047	474979	4734939	49.56
1967	25-29	0.00225	0.01118	2.49	94486	1056	469778	4259960	45.09
1967	30-34	0.00239	0.01188	2.61	93430	1110	464498	3790182	40.57
1967	35-39	0.00345	0.01709	2.65	92320	1578	457888	3325684	36.02
1967	40-44	0.00494	0.02441	2.69	90742	2215	448588	2867796	31.60
1967	45-49	0.00769	0.03779	2.66	88527	3345	434815	2419209	27.33
1967	50-54	0.01214	0.05905	2.69	85182	5030	414267	1984393	23.30
1967	55-59	0.01810	0.08678	2.64	80151	6956	384355	1570127	19.59
1967	60-64	0.02682	0.12602	2.61	73196	9224	343889	1185772	16.20
1967	65-69	0.04038	0.18384	2.56	63972	11760	291208	841882	13.16
1967	70-74	0.05784	0.25288	2.52	52211	13203	228264	550674	10.55
1967	75-79	0.08435	0.34749	2.47	39008	13555	160697	322411	8.27
1967	80-84	0.12151	0.46309	2.43	25453	11787	97008	161713	6.35
1967	85-89	0.18309	0.61196	2.29	13666	8363	45676	64706	4.73
1967	90-94	0.25782	0.73548	2.08	5303	3900	15128	19029	3.59
1967	95-99	0.34510	0.83736	1.93	1403	1175	3404	3902	2.78
1967	100-104	0.44964	0.90841	1.72	228	207	461	498	2.18
1967	105-109	0.55913	0.95007	1.53	21	20	36	37	1.78
1967	110+	0.64706	1.00000	1.55	1	1	2	2	1.55
1968	0	0.02622	0.02562	0.12	100000	2562	97733	6617865	66.18
1968	1-4	0.00111	0.00443	1.63	97438	431	388730	6520132	66.92
1968	5-9	0.00055	0.00273	2.17	97006	265	484281	6131402	63.21
1968	10-14	0.00062	0.00308	2.84	96741	298	483065	5647121	58.37
1968	15-19	0.00183	0.00913	2.8	96443	881	480281	5164057	53.54
1968	20-24	0.00246	0.01220	2.48	95563	1166	474877	4683775	49.01
1968	25-29	0.00224	0.01113	2.51	94396	1051	469366	4208898	44.59
1968	30-34	0.00262	0.01300	2.55	93346	1214	463759	3739532	40.06
1968	35-39	0.00346	0.01714	2.66	92132	1579	456965	3275772	35.56
1968	40-44	0.00515	0.02546	2.63	90553	2305	447297	2818807	31.13
1968	45-49	0.00816	0.04000	2.6	88248	3530	432777	2371510	26.87
1968	50-54	0.01262	0.06129	2.64	84718	5193	411353	1938734	22.88
1968	55-59	0.01906	0.09119	2.62	79525	7252	380397	1527380	19.21
1968	60-64	0.02778	0.13021	2.6	72273	9411	338799	1146983	15.87
