Div8: Mountain, Lifetables (period 5x5), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02690	0.02628	0.12	100000	2628	97695	7033276	70.33
1960-1964	1-4	0.00125	0.00500	1.57	97372	487	388304	6935581	71.23
1960-1964	5-9	0.00050	0.00249	2.26	96885	241	483764	6547276	67.58
1960-1964	10-14	0.00049	0.00245	2.7	96644	237	482674	6063512	62.74
1960-1964	15-19	0.00119	0.00592	2.79	96407	571	480773	5580838	57.89
1960-1964	20-24	0.00160	0.00796	2.43	95836	763	477220	5100065	53.22
1960-1964	25-29	0.00155	0.00773	2.51	95074	735	473533	4622845	48.62
1960-1964	30-34	0.00179	0.00893	2.63	94338	842	469696	4149312	43.98
1960-1964	35-39	0.00247	0.01227	2.64	93496	1148	464777	3679616	39.36
1960-1964	40-44	0.00363	0.01802	2.68	92348	1664	457886	3214839	34.81
1960-1964	45-49	0.00562	0.02774	2.68	90684	2515	447598	2756953	30.40
1960-1964	50-54	0.00862	0.04223	2.65	88169	3723	432078	2309355	26.19
1960-1964	55-59	0.01269	0.06158	2.62	84446	5200	409835	1877277	22.23
1960-1964	60-64	0.01888	0.09038	2.63	79246	7162	379288	1467443	18.52
1960-1964	65-69	0.02830	0.13247	2.59	72084	9549	337449	1088155	15.10
1960-1964	70-74	0.04334	0.19622	2.59	62535	12270	283148	750706	12.00
1960-1964	75-79	0.06577	0.28316	2.55	50265	14233	216399	467558	9.30
1960-1964	80-84	0.10326	0.40958	2.48	36032	14758	142923	251159	6.97
1960-1964	85-89	0.16444	0.57197	2.34	21274	12168	73996	108236	5.09
1960-1964	90-94	0.24133	0.71502	2.15	9106	6511	26979	34240	3.76
1960-1964	95-99	0.34148	0.83576	1.95	2595	2169	6351	7261	2.80
1960-1964	100-104	0.45962	0.91461	1.71	426	390	848	910	2.14
1960-1964	105-109	0.58348	0.95719	1.49	36	35	60	62	1.70
1960-1964	110+	0.68193	1.00000	1.47	2	2	2	2	1.47
1965-1969	0	0.02257	0.02213	0.11	100000	2213	98033	7104004	71.04
1965-1969	1-4	0.00110	0.00438	1.57	97787	429	390107	7005971	71.65
1965-1969	5-9	0.00045	0.00225	2.29	97358	219	486197	6615864	67.95
1965-1969	10-14	0.00045	0.00225	2.81	97139	219	485218	6129667	63.10
1965-1969	15-19	0.00121	0.00606	2.79	96920	587	483305	5644449	58.24
1965-1969	20-24	0.00159	0.00791	2.49	96333	762	479757	5161144	53.58
1965-1969	25-29	0.00155	0.00774	2.49	95571	740	475995	4681387	48.98
1965-1969	30-34	0.00177	0.00879	2.56	94831	834	472120	4205392	44.35
1965-1969	35-39	0.00239	0.01188	2.64	93997	1117	467354	3733272	39.72
1965-1969	40-44	0.00356	0.01764	2.67	92880	1639	460580	3265918	35.16
1965-1969	45-49	0.00534	0.02638	2.68	91241	2407	450623	2805338	30.75
1965-1969	50-54	0.00838	0.04107	2.66	88834	3649	435639	2354715	26.51
1965-1969	55-59	0.01239	0.06019	2.65	85185	5128	413852	1919076	22.53
1965-1969	60-64	0.01847	0.08842	2.61	80058	7079	383350	1505224	18.80
1965-1969	65-69	0.02746	0.12882	2.6	72979	9401	342379	1121874	15.37
1965-1969	70-74	0.04177	0.18967	2.58	63578	12059	288715	779494	12.26
1965-1969	75-79	0.06408	0.27673	2.54	51519	14257	222494	490779	9.53
1965-1969	80-84	0.09727	0.39137	2.5	37262	14583	149923	268285	7.20
1965-1969	85-89	0.15679	0.55503	2.37	22679	12587	80284	118362	5.22
1965-1969	90-94	0.23952	0.71331	2.17	10091	7198	30053	38078	3.77
1965-1969	95-99	0.34423	0.83908	1.95	2893	2428	7052	8025	2.77
1965-1969	100-104	0.46986	0.91998	1.69	466	428	912	973	2.09
1965-1969	105-109	0.60078	0.96149	1.46	37	36	60	62	1.66
1965-1969	110+	0.70356	1.00000	1.42	1	1	2	2	1.42
1970-1974	0	0.01776	0.01748	0.1	100000	1748	98423	7195942	71.96
1970-1974	1-4	0.00094	0.00375	1.62	98252	369	392130	7097520	72.24
1970-1974	5-9	0.00045	0.00226	2.26	97883	222	488810	6705390	68.50
1970-1974	10-14	0.00046	0.00228	2.77	97662	223	487811	6216581	63.65
1970-1974	15-19	0.00134	0.00669	2.81	97439	652	485765	5728770	58.79
1970-1974	20-24	0.00166	0.00828	2.47	96787	801	481909	5243005	54.17
1970-1974	25-29	0.00155	0.00771	2.5	95986	740	478082	4761096	49.60
1970-1974	30-34	0.00176	0.00875	2.55	95246	833	474192	4283014	44.97
1970-1974	35-39	0.00242	0.01203	2.58	94413	1135	469314	3808822	40.34
1970-1974	40-44	0.00348	0.01727	2.67	93277	1611	462627	3339508	35.80
1970-1974	45-49	0.00521	0.02572	2.64	91666	2358	452775	2876880	31.38
1970-1974	50-54	0.00774	0.03802	2.65	89309	3396	438557	2424105	27.14
1970-1974	55-59	0.01187	0.05772	2.63	85913	4959	417833	1985549	23.11
1970-1974	60-64	0.01772	0.08503	2.62	80953	6883	388385	1567716	19.37
1970-1974	65-69	0.02563	0.12074	2.61	74070	8943	348975	1179331	15.92
1970-1974	70-74	0.03897	0.17806	2.58	65127	11597	297544	830356	12.75
1970-1974	75-79	0.06018	0.26231	2.56	53530	14042	233323	532812	9.95
1970-1974	80-84	0.09047	0.36929	2.51	39488	14583	161184	299488	7.58
1970-1974	85-89	0.14291	0.52042	2.39	24906	12961	90699	138305	5.55
1970-1974	90-94	0.22431	0.68851	2.2	11944	8224	36663	47606	3.99
1970-1974	95-99	0.32198	0.81798	1.99	3721	3043	9452	10943	2.94
1970-1974	100-104	0.44439	0.90773	1.74	677	615	1383	1491	2.20
1970-1974	105-109	0.57540	0.95562	1.51	62	60	104	108	1.73
1970-1974	110+	0.68024	1.00000	1.47	3	3	4	4	1.47
1975-1979	0	0.01351	0.01335	0.09	100000	1335	98780	7399087	73.99
1975-1979	1-4	0.00079	0.00316	1.58	98665	311	393909	7300307	73.99
1975-1979	5-9	0.00036	0.00179	2.32	98354	176	491299	6906398	70.22
1975-1979	10-14	0.00040	0.00197	2.76	98178	194	490457	6415100	65.34
1975-1979	15-19	0.00123	0.00612	2.85	97985	600	488633	5924643	60.47
1975-1979	20-24	0.00155	0.00770	2.51	97385	750	485054	5436010	55.82
1975-1979	25-29	0.00146	0.00728	2.5	96634	704	481411	4950956	51.23
1975-1979	30-34	0.00153	0.00763	2.58	95931	732	477879	4469545	46.59
1975-1979	35-39	0.00204	0.01013	2.61	95199	965	473689	3991666	41.93
1975-1979	40-44	0.00285	0.01415	2.64	94234	1334	468025	3517977	37.33
1975-1979	45-49	0.00436	0.02159	2.67	92901	2005	459827	3049952	32.83
1975-1979	50-54	0.00667	0.03283	2.64	90895	2984	447448	2590125	28.50
1975-1979	55-59	0.01013	0.04945	2.64	87911	4347	429315	2142677	24.37
1975-1979	60-64	0.01551	0.07479	2.64	83564	6250	403053	1713362	20.50
1975-1979	65-69	0.02279	0.10807	2.62	77314	8355	366679	1310309	16.95
1975-1979	70-74	0.03392	0.15681	2.6	68958	10813	318810	943631	13.68
1975-1979	75-79	0.05206	0.23111	2.57	58145	13438	258122	624821	10.75
1975-1979	80-84	0.07988	0.33380	2.54	44707	14923	186821	366699	8.20
1975-1979	85-89	0.12716	0.47972	2.44	29784	14288	112363	179879	6.04
1975-1979	90-94	0.19930	0.64496	2.27	15496	9994	50148	67515	4.36
1975-1979	95-99	0.29640	0.79068	2.05	5502	4350	14677	17368	3.16
1975-1979	100-104	0.41654	0.89244	1.8	1152	1028	2467	2691	2.34
