Div8: Mountain, Lifetables (period 5x10), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02847	0.02777	0.12	100000	2777	97560	6732063	67.32
1960-1969	1-4	0.00131	0.00524	1.58	97223	509	387657	6634503	68.24
1960-1969	5-9	0.00055	0.00274	2.34	96714	265	482863	6246846	64.59
1960-1969	10-14	0.00060	0.00299	2.83	96449	289	481616	5763983	59.76
1960-1969	15-19	0.00172	0.00855	2.82	96160	823	479010	5282367	54.93
1960-1969	20-24	0.00234	0.01163	2.45	95337	1108	473866	4803356	50.38
1960-1969	25-29	0.00217	0.01080	2.47	94229	1018	468572	4329490	45.95
1960-1969	30-34	0.00234	0.01164	2.57	93211	1085	463424	3860918	41.42
1960-1969	35-39	0.00310	0.01537	2.64	92126	1416	457296	3397494	36.88
1960-1969	40-44	0.00459	0.02272	2.68	90710	2061	448767	2940198	32.41
1960-1969	45-49	0.00703	0.03461	2.69	88649	3068	436167	2491430	28.10
1960-1969	50-54	0.01113	0.05423	2.65	85581	4641	416988	2055263	24.02
1960-1969	55-59	0.01676	0.08059	2.63	80939	6523	389243	1638275	20.24
1960-1969	60-64	0.02505	0.11812	2.6	74417	8790	350965	1249033	16.78
1960-1969	65-69	0.03656	0.16789	2.57	65626	11018	301390	898068	13.68
1960-1969	70-74	0.05348	0.23633	2.54	54608	12905	241330	596678	10.93
1960-1969	75-79	0.07704	0.32276	2.49	41703	13460	174708	355348	8.52
1960-1969	80-84	0.11904	0.45595	2.43	28243	12877	108175	180639	6.40
1960-1969	85-89	0.18174	0.61026	2.31	15366	9377	51595	72465	4.72
1960-1969	90-94	0.26595	0.74883	2.08	5989	4484	16862	20869	3.48
1960-1969	95-99	0.36133	0.85210	1.9	1504	1282	3547	4008	2.66
1960-1969	100-104	0.47540	0.92125	1.68	222	205	431	460	2.07
1960-1969	105-109	0.59262	0.95898	1.47	18	17	28	29	1.68
1960-1969	110+	0.68508	1.00000	1.46	1	1	1	1	1.46
1970-1979	0	0.01739	0.01712	0.09	100000	1712	98445	6927363	69.27
1970-1979	1-4	0.00097	0.00388	1.64	98288	382	392251	6828917	69.48
1970-1979	5-9	0.00047	0.00236	2.35	97907	231	488920	6436666	65.74
1970-1979	10-14	0.00055	0.00274	2.78	97675	268	487783	5947746	60.89
1970-1979	15-19	0.00183	0.00912	2.87	97408	889	485147	5459963	56.05
