Div9: Pacific, Lifetables (period 1x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02434	0.02382	0.12	100000	2382	97894	7106355	71.06
1959	1	0.00145	0.00144	0.5	97618	141	97547	7008461	71.80
1959	2	0.00095	0.00095	0.5	97477	93	97430	6910914	70.90
1959	3	0.00077	0.00077	0.5	97384	75	97346	6813483	69.97
1959	4	0.00071	0.00071	0.5	97308	69	97274	6716137	69.02
1959	5	0.00057	0.00057	0.5	97239	55	97211	6618864	68.07
1959	6	0.00051	0.00051	0.5	97184	49	97159	6521652	67.11
1959	7	0.00040	0.00040	0.5	97134	38	97115	6424493	66.14
1959	8	0.00038	0.00038	0.5	97096	37	97078	6327378	65.17
1959	9	0.00034	0.00034	0.5	97059	33	97043	6230300	64.19
1959	10	0.00033	0.00033	0.5	97026	32	97011	6133257	63.21
1959	11	0.00034	0.00034	0.5	96995	33	96978	6036247	62.23
1959	12	0.00038	0.00038	0.5	96962	37	96943	5939269	61.25
1959	13	0.00047	0.00047	0.5	96925	46	96902	5842326	60.28
1959	14	0.00049	0.00049	0.5	96879	48	96855	5745424	59.31
1959	15	0.00068	0.00068	0.5	96831	66	96798	5648569	58.33
1959	16	0.00069	0.00069	0.5	96765	67	96732	5551771	57.37
1959	17	0.00083	0.00083	0.5	96698	80	96658	5455040	56.41
1959	18	0.00095	0.00094	0.5	96618	91	96572	5358382	55.46
1959	19	0.00107	0.00107	0.5	96527	104	96475	5261810	54.51
1959	20	0.00113	0.00113	0.5	96423	109	96369	5165335	53.57
1959	21	0.00118	0.00118	0.5	96314	113	96258	5068966	52.63
1959	22	0.00103	0.00103	0.5	96201	99	96151	4972709	51.69
1959	23	0.00119	0.00119	0.5	96102	115	96044	4876557	50.74
1959	24	0.00108	0.00108	0.5	95987	104	95935	4780513	49.80
1959	25	0.00113	0.00112	0.5	95883	108	95829	4684578	48.86
1959	26	0.00116	0.00116	0.5	95775	111	95720	4588748	47.91
1959	27	0.00120	0.00120	0.5	95664	114	95607	4493028	46.97
1959	28	0.00125	0.00125	0.5	95550	119	95490	4397421	46.02
1959	29	0.00127	0.00127	0.5	95431	121	95370	4301931	45.08
1959	30	0.00134	0.00134	0.5	95310	128	95246	4206561	44.14
1959	31	0.00137	0.00137	0.5	95182	130	95117	4111315	43.19
1959	32	0.00150	0.00150	0.5	95052	142	94981	4016198	42.25
1959	33	0.00163	0.00163	0.5	94910	154	94833	3921217	41.32
1959	34	0.00150	0.00149	0.5	94755	142	94685	3826384	40.38
1959	35	0.00172	0.00172	0.5	94614	163	94532	3731700	39.44
1959	36	0.00192	0.00192	0.5	94451	181	94360	3637167	38.51
1959	37	0.00197	0.00197	0.5	94270	185	94177	3542807	37.58
1959	38	0.00216	0.00216	0.5	94084	203	93983	3448630	36.65
1959	39	0.00248	0.00248	0.5	93881	233	93765	3354648	35.73
1959	40	0.00268	0.00268	0.5	93649	251	93523	3260883	34.82
1959	41	0.00312	0.00312	0.5	93398	291	93252	3167360	33.91
1959	42	0.00336	0.00336	0.5	93106	313	92950	3074108	33.02
1959	43	0.00354	0.00353	0.5	92794	328	92630	2981157	32.13
1959	44	0.00407	0.00406	0.5	92466	376	92278	2888527	31.24
1959	45	0.00450	0.00449	0.5	92090	414	91883	2796249	30.36
1959	46	0.00490	0.00489	0.5	91676	448	91452	2704366	29.50
1959	47	0.00556	0.00554	0.5	91228	505	90976	2612914	28.64
1959	48	0.00584	0.00582	0.5	90723	528	90459	2521938	27.80
1959	49	0.00687	0.00685	0.5	90195	618	89886	2431479	26.96
1959	50	0.00722	0.00719	0.5	89577	644	89255	2341593	26.14
1959	51	0.00780	0.00777	0.5	88933	691	88587	2252338	25.33
1959	52	0.00891	0.00887	0.5	88242	783	87851	2163751	24.52
1959	53	0.00957	0.00952	0.5	87459	833	87043	2075900	23.74
1959	54	0.01037	0.01032	0.5	86626	894	86180	1988857	22.96
1959	55	0.01110	0.01104	0.5	85733	946	85260	1902678	22.19
1959	56	0.01186	0.01179	0.5	84787	1000	84287	1817418	21.44
1959	57	0.01282	0.01274	0.5	83787	1067	83253	1733131	20.68
1959	58	0.01395	0.01385	0.5	82720	1146	82147	1649878	19.95
1959	59	0.01534	0.01522	0.5	81574	1242	80953	1567731	19.22
1959	60	0.01615	0.01602	0.5	80332	1287	79689	1486778	18.51
1959	61	0.01695	0.01681	0.5	79045	1329	78380	1407089	17.80
1959	62	0.01960	0.01941	0.5	77716	1509	76962	1328709	17.10
1959	63	0.02115	0.02093	0.5	76207	1595	75410	1251747	16.43
1959	64	0.02232	0.02208	0.5	74612	1647	73789	1176337	15.77
1959	65	0.02454	0.02424	0.5	72965	1769	72081	1102549	15.11
1959	66	0.02559	0.02526	0.5	71197	1799	70297	1030468	14.47
1959	67	0.02867	0.02826	0.5	69398	1961	68417	960171	13.84
1959	68	0.03058	0.03012	0.5	67436	2031	66421	891754	13.22
1959	69	0.03338	0.03283	0.5	65406	2147	64332	825332	12.62
1959	70	0.03520	0.03460	0.5	63258	2188	62164	761000	12.03
1959	71	0.03781	0.03711	0.5	61070	2266	59937	698836	11.44
1959	72	0.04400	0.04305	0.5	58804	2531	57538	638899	10.86
1959	73	0.04603	0.04500	0.5	56272	2532	55006	581361	10.33
1959	74	0.05135	0.05006	0.5	53740	2690	52395	526355	9.79
1959	75	0.05647	0.05491	0.5	51050	2803	49648	473960	9.28
1959	76	0.06067	0.05889	0.5	48246	2841	46826	424312	8.79
1959	77	0.06642	0.06429	0.5	45405	2919	43946	377487	8.31
1959	78	0.07350	0.07089	0.5	42486	3012	40980	333541	7.85
1959	79	0.08368	0.08032	0.5	39474	3171	37889	292561	7.41
1959	80	0.08623	0.08267	0.5	36303	3001	34803	254672	7.02
1959	81	0.09234	0.08827	0.5	33302	2939	31833	219869	6.60
1959	82	0.10224	0.09727	0.5	30363	2953	28886	188036	6.19
1959	83	0.11528	0.10899	0.5	27410	2988	25916	159150	5.81
1959	84	0.12369	0.11648	0.5	24422	2845	23000	133234	5.46
1959	85	0.13792	0.12902	0.5	21577	2784	20185	110235	5.11
1959	86	0.15290	0.14204	0.5	18793	2669	17459	90049	4.79
1959	87	0.16535	0.15272	0.5	16124	2462	14893	72591	4.50
1959	88	0.18346	0.16805	0.5	13661	2296	12514	57698	4.22
1959	89	0.19662	0.17902	0.5	11366	2035	10348	45185	3.98
1959	90	0.21572	0.19472	0.5	9331	1817	8423	34836	3.73
1959	91	0.22645	0.20342	0.5	7514	1529	6750	26414	3.52
1959	92	0.24933	0.22170	0.5	5986	1327	5322	19664	3.29
1959	93	0.28466	0.24919	0.5	4659	1161	4078	14342	3.08
1959	94	0.28694	0.25094	0.5	3498	878	3059	10264	2.93
1959	95	0.31588	0.27279	0.5	2620	715	2263	7205	2.75
1959	96	0.33950	0.29023	0.5	1905	553	1629	4942	2.59
1959	97	0.36398	0.30794	0.5	1352	416	1144	3313	2.45
1959	98	0.38922	0.32581	0.5	936	305	783	2169	2.32
1959	99	0.41511	0.34376	0.5	631	217	523	1386	2.20
1959	100	0.44152	0.36167	0.5	414	150	339	863	2.09
1959	101	0.46829	0.37945	0.5	264	100	214	524	1.98
1959	102	0.49529	0.39698	0.5	164	65	131	310	1.89
1959	103	0.52234	0.41417	0.5	99	41	78	179	1.81
1959	104	0.54930	0.43094	0.5	58	25	45	100	1.73
1959	105	0.57600	0.44721	0.5	33	15	26	55	1.66
1959	106	0.60229	0.46289	0.5	18	8	14	29	1.60
1959	107	0.62803	0.47795	0.5	10	5	7	15	1.54
1959	108	0.65308	0.49232	0.5	5	3	4	8	1.49
1959	109	0.67734	0.50598	0.5	3	1	2	4	1.45
1959	110+	0.70069	1.00000	1.43	1	1	2	2	1.43
1960	0	0.02433	0.02382	0.12	100000	2382	97895	7084945	70.85
1960	1	0.00154	0.00154	0.5	97618	151	97543	6987051	71.58
1960	2	0.00097	0.00097	0.5	97468	95	97420	6889507	70.68
1960	3	0.00080	0.00080	0.5	97373	78	97334	6792087	69.75
1960	4	0.00060	0.00060	0.5	97295	59	97266	6694753	68.81
1960	5	0.00051	0.00051	0.5	97236	49	97212	6597487	67.85
1960	6	0.00041	0.00040	0.5	97187	39	97167	6500276	66.88
1960	7	0.00045	0.00045	0.5	97148	43	97126	6403108	65.91
1960	8	0.00042	0.00042	0.5	97104	41	97084	6305982	64.94
1960	9	0.00036	0.00036	0.5	97063	35	97046	6208899	63.97
1960	10	0.00035	0.00035	0.5	97028	34	97012	6111853	62.99
1960	11	0.00029	0.00029	0.5	96995	28	96981	6014841	62.01
1960	12	0.00037	0.00037	0.5	96967	36	96949	5917860	61.03
1960	13	0.00045	0.00045	0.5	96931	43	96909	5820912	60.05
1960	14	0.00046	0.00046	0.5	96887	45	96865	5724003	59.08
1960	15	0.00054	0.00054	0.5	96842	52	96816	5627138	58.11
1960	16	0.00080	0.00080	0.5	96790	77	96752	5530322	57.14
1960	17	0.00096	0.00096	0.5	96713	93	96667	5433570	56.18
1960	18	0.00107	0.00107	0.5	96620	103	96568	5336903	55.24
1960	19	0.00115	0.00115	0.5	96516	111	96461	5240335	54.29
1960	20	0.00117	0.00116	0.5	96405	112	96349	5143874	53.36
1960	21	0.00138	0.00137	0.5	96293	132	96227	5047525	52.42
1960	22	0.00113	0.00113	0.5	96160	108	96106	4951299	51.49
1960	23	0.00127	0.00127	0.5	96052	122	95991	4855192	50.55
1960	24	0.00113	0.00113	0.5	95930	109	95876	4759201	49.61
1960	25	0.00121	0.00121	0.5	95822	116	95764	4663325	48.67
1960	26	0.00124	0.00124	0.5	95706	118	95647	4567561	47.72
1960	27	0.00116	0.00116	0.5	95588	111	95532	4471914	46.78
1960	28	0.00118	0.00118	0.5	95477	112	95421	4376382	45.84
1960	29	0.00124	0.00124	0.5	95365	118	95305	4280961	44.89
1960	30	0.00126	0.00126	0.5	95246	120	95186	4185655	43.95
1960	31	0.00141	0.00141	0.5	95127	134	95060	4090469	43.00
1960	32	0.00148	0.00148	0.5	94992	141	94922	3995409	42.06
1960	33	0.00169	0.00168	0.5	94852	160	94772	3900487	41.12
1960	34	0.00163	0.00163	0.5	94692	154	94615	3805716	40.19
1960	35	0.00176	0.00176	0.5	94537	166	94454	3711101	39.26
1960	36	0.00197	0.00197	0.5	94371	186	94278	3616647	38.32
1960	37	0.00216	0.00215	0.5	94185	203	94084	3522369	37.40
1960	38	0.00230	0.00230	0.5	93982	216	93874	3428285	36.48
1960	39	0.00273	0.00272	0.5	93766	255	93638	3334410	35.56
1960	40	0.00283	0.00283	0.5	93511	264	93378	3240772	34.66
1960	41	0.00297	0.00296	0.5	93246	276	93108	3147394	33.75
1960	42	0.00347	0.00347	0.5	92970	322	92809	3054286	32.85
1960	43	0.00382	0.00381	0.5	92648	353	92471	2961477	31.96
1960	44	0.00421	0.00420	0.5	92295	388	92101	2869005	31.09
1960	45	0.00470	0.00468	0.5	91907	430	91692	2776904	30.21
1960	46	0.00504	0.00503	0.5	91476	460	91246	2685213	29.35
1960	47	0.00528	0.00526	0.5	91016	479	90777	2593966	28.50
1960	48	0.00618	0.00617	0.5	90537	558	90258	2503190	27.65
1960	49	0.00679	0.00676	0.5	89979	609	89675	2412932	26.82
1960	50	0.00760	0.00757	0.5	89370	677	89032	2323257	26.00
1960	51	0.00802	0.00799	0.5	88694	708	88339	2234225	25.19
1960	52	0.00869	0.00865	0.5	87985	761	87605	2145886	24.39
1960	53	0.00961	0.00956	0.5	87224	834	86807	2058281	23.60
1960	54	0.01024	0.01019	0.5	86390	880	85950	1971474	22.82
1960	55	0.01121	0.01115	0.5	85510	953	85033	1885524	22.05
1960	56	0.01221	0.01214	0.5	84557	1026	84044	1800490	21.29
1960	57	0.01322	0.01313	0.5	83530	1097	82982	1716447	20.55
1960	58	0.01428	0.01418	0.5	82434	1169	81849	1633465	19.82
1960	59	0.01503	0.01492	0.5	81265	1213	80658	1551616	19.09
1960	60	0.01611	0.01598	0.5	80052	1279	79412	1470957	18.38
1960	61	0.01696	0.01682	0.5	78773	1325	78110	1391545	17.67
1960	62	0.02017	0.01997	0.5	77448	1546	76675	1313434	16.96
1960	63	0.02046	0.02026	0.5	75902	1537	75133	1236759	16.29
1960	64	0.02347	0.02320	0.5	74364	1725	73502	1161626	15.62
1960	65	0.02580	0.02547	0.5	72639	1850	71714	1088124	14.98
1960	66	0.02585	0.02552	0.5	70789	1807	69886	1016410	14.36
1960	67	0.02897	0.02856	0.5	68983	1970	67997	946524	13.72
1960	68	0.03091	0.03044	0.5	67012	2040	65993	878527	13.11
1960	69	0.03374	0.03318	0.5	64973	2156	63895	812534	12.51
1960	70	0.03675	0.03609	0.5	62817	2267	61683	748639	11.92
1960	71	0.03904	0.03829	0.5	60550	2319	59390	686956	11.35
1960	72	0.04268	0.04179	0.5	58231	2433	57014	627566	10.78
1960	73	0.04769	0.04658	0.5	55798	2599	54498	570552	10.23
1960	74	0.05265	0.05130	0.5	53199	2729	51834	516053	9.70
1960	75	0.05685	0.05528	0.5	50470	2790	49075	464219	9.20
1960	76	0.05961	0.05788	0.5	47680	2760	46300	415145	8.71
1960	77	0.06708	0.06491	0.5	44920	2916	43462	368845	8.21
1960	78	0.07550	0.07275	0.5	42004	3056	40476	325383	7.75
1960	79	0.08475	0.08130	0.5	38948	3167	37365	284906	7.31
1960	80	0.09091	0.08696	0.5	35782	3111	34226	247541	6.92
1960	81	0.09333	0.08917	0.5	32670	2913	31214	213315	6.53
1960	82	0.10519	0.09994	0.5	29757	2974	28270	182102	6.12
1960	83	0.11799	0.11142	0.5	26783	2984	25291	153832	5.74
1960	84	0.12692	0.11935	0.5	23799	2840	22379	128541	5.40
1960	85	0.13836	0.12941	0.5	20959	2712	19603	106162	5.07
1960	86	0.14775	0.13759	0.5	18247	2510	16991	86559	4.74
1960	87	0.17147	0.15793	0.5	15736	2485	14493	69568	4.42
1960	88	0.18959	0.17317	0.5	13251	2295	12104	55074	4.16
1960	89	0.19172	0.17495	0.5	10956	1917	9998	42971	3.92
1960	90	0.22721	0.20403	0.5	9039	1844	8117	32973	3.65
1960	91	0.23715	0.21201	0.5	7195	1525	6432	24856	3.45
1960	92	0.26075	0.23068	0.5	5670	1308	5016	18423	3.25
1960	93	0.27401	0.24099	0.5	4362	1051	3836	13408	3.07
1960	94	0.28987	0.25318	0.5	3311	838	2892	9571	2.89
1960	95	0.32243	0.27767	0.5	2472	687	2129	6680	2.70
1960	96	0.34655	0.29537	0.5	1786	528	1522	4551	2.55
1960	97	0.37153	0.31332	0.5	1258	394	1061	3028	2.41
1960	98	0.39728	0.33144	0.5	864	286	721	1967	2.28
1960	99	0.42366	0.34960	0.5	578	202	477	1246	2.16
1960	100	0.45053	0.36770	0.5	376	138	307	770	2.05
1960	101	0.47774	0.38563	0.5	238	92	192	463	1.95
1960	102	0.50513	0.40328	0.5	146	59	117	271	1.86
1960	103	0.53252	0.42055	0.5	87	37	69	155	1.77
1960	104	0.55976	0.43735	0.5	50	22	39	86	1.70
1960	105	0.58667	0.45361	0.5	28	13	22	46	1.63
1960	106	0.61311	0.46925	0.5	16	7	12	24	1.57
1960	107	0.63891	0.48422	0.5	8	4	6	12	1.52
1960	108	0.66396	0.49848	0.5	4	2	3	6	1.47
1960	109	0.68814	0.51198	0.5	2	1	2	3	1.43
1960	110+	0.71136	1.00000	1.41	1	1	1	1	1.41
1961	0	0.02396	0.02347	0.11	100000	2347	97923	7113301	71.13
1961	1	0.00150	0.00150	0.5	97653	146	97580	7015378	71.84
1961	2	0.00098	0.00098	0.5	97507	96	97460	6917797	70.95
1961	3	0.00068	0.00068	0.5	97412	66	97378	6820338	70.02
1961	4	0.00065	0.00065	0.5	97345	64	97313	6722960	69.06
1961	5	0.00052	0.00052	0.5	97281	50	97256	6625646	68.11
1961	6	0.00048	0.00048	0.5	97231	46	97208	6528390	67.14
1961	7	0.00044	0.00044	0.5	97185	43	97163	6431182	66.17
1961	8	0.00035	0.00035	0.5	97142	34	97125	6334019	65.20
1961	9	0.00033	0.00033	0.5	97108	32	97092	6236893	64.23
1961	10	0.00034	0.00034	0.5	97077	33	97060	6139801	63.25
1961	11	0.00038	0.00038	0.5	97044	37	97025	6042741	62.27
1961	12	0.00035	0.00035	0.5	97007	34	96990	5945715	61.29
1961	13	0.00041	0.00041	0.5	96973	40	96953	5848725	60.31
1961	14	0.00048	0.00048	0.5	96933	47	96910	5751772	59.34
1961	15	0.00048	0.00048	0.5	96887	46	96864	5654862	58.37
1961	16	0.00078	0.00078	0.5	96840	75	96803	5557998	57.39
1961	17	0.00083	0.00082	0.5	96765	80	96725	5461195	56.44
1961	18	0.00098	0.00098	0.5	96685	95	96638	5364470	55.48
1961	19	0.00117	0.00117	0.5	96590	113	96534	5267832	54.54
1961	20	0.00116	0.00115	0.5	96477	111	96421	5171298	53.60
1961	21	0.00133	0.00133	0.5	96366	128	96302	5074877	52.66
1961	22	0.00115	0.00115	0.5	96238	111	96182	4978575	51.73
1961	23	0.00124	0.00123	0.5	96127	119	96067	4882393	50.79
1961	24	0.00109	0.00109	0.5	96008	105	95956	4786326	49.85
1961	25	0.00107	0.00107	0.5	95903	103	95852	4690370	48.91
1961	26	0.00114	0.00114	0.5	95800	109	95746	4594518	47.96
1961	27	0.00113	0.00113	0.5	95691	108	95637	4498773	47.01
1961	28	0.00126	0.00126	0.5	95583	120	95523	4403136	46.07
1961	29	0.00128	0.00128	0.5	95463	122	95401	4307613	45.12
1961	30	0.00134	0.00134	0.5	95340	127	95277	4212212	44.18
1961	31	0.00147	0.00147	0.5	95213	140	95143	4116935	43.24
1961	32	0.00141	0.00141	0.5	95073	134	95006	4021792	42.30
1961	33	0.00154	0.00154	0.5	94939	146	94866	3926786	41.36
1961	34	0.00161	0.00161	0.5	94793	153	94716	3831920	40.42
1961	35	0.00177	0.00177	0.5	94640	168	94556	3737203	39.49
1961	36	0.00185	0.00185	0.5	94472	175	94385	3642647	38.56
1961	37	0.00210	0.00210	0.5	94297	198	94198	3548263	37.63
1961	38	0.00226	0.00226	0.5	94099	213	93993	3454065	36.71
1961	39	0.00258	0.00258	0.5	93886	242	93765	3360072	35.79
1961	40	0.00265	0.00264	0.5	93644	247	93520	3266307	34.88
1961	41	0.00300	0.00300	0.5	93397	280	93257	3172787	33.97
1961	42	0.00322	0.00321	0.5	93117	299	92967	3079530	33.07
1961	43	0.00362	0.00362	0.5	92817	336	92649	2986563	32.18
1961	44	0.00429	0.00428	0.5	92482	396	92284	2893914	31.29
1961	45	0.00444	0.00443	0.5	92086	408	91882	2801630	30.42
1961	46	0.00497	0.00496	0.5	91678	454	91451	2709748	29.56
1961	47	0.00527	0.00525	0.5	91224	479	90984	2618297	28.70
1961	48	0.00592	0.00590	0.5	90745	536	90477	2527313	27.85
1961	49	0.00646	0.00644	0.5	90209	581	89918	2436836	27.01
1961	50	0.00721	0.00719	0.5	89628	644	89306	2346918	26.19
1961	51	0.00802	0.00799	0.5	88984	711	88628	2257612	25.37
