Div9: Pacific, Lifetables (period 1x5), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.01980	0.01945	0.11	100000	1945	98266	7476820	74.77
1960-1964	1	0.00133	0.00133	0.5	98055	130	97990	7378555	75.25
1960-1964	2	0.00083	0.00083	0.5	97924	82	97884	7280565	74.35
1960-1964	3	0.00063	0.00063	0.5	97843	61	97812	7182681	73.41
1960-1964	4	0.00055	0.00055	0.5	97782	54	97755	7084869	72.46
1960-1964	5	0.00046	0.00046	0.5	97728	45	97705	6987115	71.50
1960-1964	6	0.00038	0.00038	0.5	97683	37	97664	6889409	70.53
1960-1964	7	0.00035	0.00035	0.5	97646	34	97629	6791745	69.55
1960-1964	8	0.00030	0.00030	0.5	97612	29	97597	6694116	68.58
1960-1964	9	0.00026	0.00026	0.5	97582	25	97570	6596519	67.60
1960-1964	10	0.00026	0.00026	0.5	97557	26	97544	6498950	66.62
1960-1964	11	0.00027	0.00027	0.5	97532	26	97519	6401405	65.63
1960-1964	12	0.00027	0.00027	0.5	97506	26	97493	6303887	64.65
1960-1964	13	0.00028	0.00028	0.5	97480	28	97466	6206394	63.67
1960-1964	14	0.00032	0.00032	0.5	97452	31	97437	6108928	62.69
1960-1964	15	0.00035	0.00035	0.5	97421	34	97404	6011492	61.71
1960-1964	16	0.00046	0.00046	0.5	97387	45	97364	5914088	60.73
1960-1964	17	0.00055	0.00055	0.5	97342	54	97315	5816724	59.76
1960-1964	18	0.00059	0.00059	0.5	97288	58	97259	5719409	58.79
1960-1964	19	0.00063	0.00063	0.5	97230	62	97199	5622149	57.82
1960-1964	20	0.00063	0.00062	0.5	97169	61	97138	5524950	56.86
1960-1964	21	0.00074	0.00074	0.5	97108	72	97072	5427812	55.89
1960-1964	22	0.00070	0.00070	0.5	97036	68	97002	5330740	54.94
1960-1964	23	0.00077	0.00077	0.5	96968	75	96931	5233738	53.97
1960-1964	24	0.00074	0.00074	0.5	96894	71	96858	5136807	53.01
1960-1964	25	0.00078	0.00078	0.5	96822	76	96784	5039949	52.05
1960-1964	26	0.00072	0.00072	0.5	96746	70	96711	4943165	51.09
1960-1964	27	0.00089	0.00089	0.5	96676	86	96634	4846453	50.13
1960-1964	28	0.00081	0.00081	0.5	96591	78	96552	4749820	49.17
1960-1964	29	0.00084	0.00084	0.5	96513	81	96472	4653268	48.21
1960-1964	30	0.00103	0.00103	0.5	96431	99	96382	4556796	47.25
1960-1964	31	0.00106	0.00106	0.5	96332	102	96281	4460414	46.30
1960-1964	32	0.00113	0.00112	0.5	96230	108	96176	4364133	45.35
1960-1964	33	0.00123	0.00123	0.5	96122	118	96063	4267957	44.40
1960-1964	34	0.00126	0.00126	0.5	96004	121	95943	4171895	43.46
1960-1964	35	0.00143	0.00143	0.5	95883	137	95814	4075952	42.51
1960-1964	36	0.00147	0.00147	0.5	95745	140	95675	3980138	41.57
1960-1964	37	0.00174	0.00173	0.5	95605	166	95522	3884463	40.63
1960-1964	38	0.00179	0.00178	0.5	95439	170	95354	3788941	39.70
1960-1964	39	0.00204	0.00204	0.5	95269	194	95172	3693587	38.77
1960-1964	40	0.00214	0.00214	0.5	95074	203	94973	3598415	37.85
1960-1964	41	0.00222	0.00221	0.5	94871	210	94766	3503442	36.93
1960-1964	42	0.00264	0.00264	0.5	94661	250	94536	3408676	36.01
1960-1964	43	0.00289	0.00289	0.5	94411	273	94275	3314140	35.10
1960-1964	44	0.00312	0.00311	0.5	94139	293	93992	3219865	34.20
1960-1964	45	0.00339	0.00338	0.5	93846	318	93687	3125872	33.31
1960-1964	46	0.00370	0.00369	0.5	93528	345	93356	3032185	32.42
1960-1964	47	0.00410	0.00409	0.5	93183	381	92993	2938829	31.54
1960-1964	48	0.00445	0.00444	0.5	92802	412	92596	2845837	30.67
1960-1964	49	0.00478	0.00476	0.5	92390	440	92170	2753240	29.80
1960-1964	50	0.00516	0.00514	0.5	91950	473	91714	2661070	28.94
1960-1964	51	0.00557	0.00556	0.5	91477	508	91223	2569356	28.09
1960-1964	52	0.00594	0.00592	0.5	90969	538	90700	2478133	27.24
1960-1964	53	0.00673	0.00671	0.5	90431	607	90127	2387433	26.40
1960-1964	54	0.00693	0.00690	0.5	89824	620	89514	2297306	25.58
1960-1964	55	0.00718	0.00715	0.5	89204	638	88885	2207792	24.75
1960-1964	56	0.00790	0.00787	0.5	88566	697	88217	2118908	23.92
1960-1964	57	0.00853	0.00850	0.5	87869	747	87495	2030690	23.11
1960-1964	58	0.00899	0.00895	0.5	87122	779	86732	1943195	22.30
1960-1964	59	0.00982	0.00978	0.5	86343	844	85921	1856463	21.50
1960-1964	60	0.01047	0.01041	0.5	85499	890	85054	1770542	20.71
1960-1964	61	0.01118	0.01112	0.5	84608	941	84138	1685488	19.92
1960-1964	62	0.01279	0.01271	0.5	83667	1063	83136	1601350	19.14
1960-1964	63	0.01363	0.01354	0.5	82604	1119	82045	1518215	18.38
1960-1964	64	0.01501	0.01490	0.5	81485	1214	80878	1436170	17.62
1960-1964	65	0.01665	0.01651	0.5	80271	1325	79609	1355292	16.88
1960-1964	66	0.01762	0.01746	0.5	78946	1379	78257	1275683	16.16
1960-1964	67	0.01943	0.01924	0.5	77567	1493	76821	1197426	15.44
1960-1964	68	0.02134	0.02112	0.5	76075	1606	75271	1120605	14.73
1960-1964	69	0.02295	0.02269	0.5	74468	1690	73623	1045334	14.04
1960-1964	70	0.02601	0.02568	0.5	72778	1869	71844	971711	13.35
1960-1964	71	0.02765	0.02727	0.5	70909	1934	69943	899867	12.69
1960-1964	72	0.03194	0.03143	0.5	68976	2168	67892	829924	12.03
1960-1964	73	0.03507	0.03447	0.5	66808	2303	65656	762033	11.41
1960-1964	74	0.03890	0.03816	0.5	64505	2462	63274	696377	10.80
1960-1964	75	0.04435	0.04338	0.5	62043	2692	60697	633103	10.20
1960-1964	76	0.04790	0.04678	0.5	59352	2776	57963	572405	9.64
1960-1964	77	0.05193	0.05061	0.5	56575	2863	55143	514442	9.09
1960-1964	78	0.05924	0.05754	0.5	53712	3091	52166	459298	8.55
1960-1964	79	0.06473	0.06270	0.5	50621	3174	49034	407132	8.04
1960-1964	80	0.07313	0.07055	0.5	47447	3347	45773	358098	7.55
1960-1964	81	0.07732	0.07444	0.5	44100	3283	42458	312325	7.08
1960-1964	82	0.08905	0.08525	0.5	40817	3480	39077	269866	6.61
1960-1964	83	0.10090	0.09605	0.5	37337	3586	35544	230790	6.18
1960-1964	84	0.11328	0.10721	0.5	33751	3618	31941	195246	5.78
1960-1964	85	0.12186	0.11486	0.5	30132	3461	28402	163304	5.42
1960-1964	86	0.13625	0.12756	0.5	26671	3402	24970	134903	5.06
1960-1964	87	0.15541	0.14420	0.5	23269	3355	21591	109932	4.72
1960-1964	88	0.16751	0.15457	0.5	19914	3078	18375	88341	4.44
1960-1964	89	0.17919	0.16445	0.5	16836	2769	15451	69967	4.16
1960-1964	90	0.20400	0.18512	0.5	14067	2604	12765	54515	3.88
1960-1964	91	0.21566	0.19467	0.5	11463	2231	10347	41750	3.64
1960-1964	92	0.23970	0.21405	0.5	9231	1976	8243	31403	3.40
1960-1964	93	0.25709	0.22781	0.5	7255	1653	6429	23160	3.19
1960-1964	94	0.27751	0.24370	0.5	5603	1365	4920	16731	2.99
1960-1964	95	0.30746	0.26649	0.5	4237	1129	3673	11811	2.79
1960-1964	96	0.33260	0.28518	0.5	3108	886	2665	8138	2.62
1960-1964	97	0.35874	0.30418	0.5	2222	676	1884	5473	2.46
1960-1964	98	0.38574	0.32337	0.5	1546	500	1296	3589	2.32
1960-1964	99	0.41347	0.34263	0.5	1046	358	867	2293	2.19
1960-1964	100	0.44175	0.36183	0.5	688	249	563	1427	2.07
1960-1964	101	0.47042	0.38084	0.5	439	167	355	863	1.97
1960-1964	102	0.49929	0.39954	0.5	272	109	217	508	1.87
1960-1964	103	0.52815	0.41782	0.5	163	68	129	291	1.78
1960-1964	104	0.55684	0.43557	0.5	95	41	74	162	1.70
1960-1964	105	0.58514	0.45270	0.5	54	24	41	87	1.63
1960-1964	106	0.61290	0.46913	0.5	29	14	22	46	1.57
1960-1964	107	0.63994	0.48482	0.5	16	8	12	24	1.51
1960-1964	108	0.66613	0.49970	0.5	8	4	6	12	1.46
1960-1964	109	0.69132	0.51374	0.5	4	2	3	6	1.42
