Div9: Pacific, Lifetables (period 5x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02790	0.02724	0.12	100000	2724	97603	6779160	67.79
1959	1-4	0.00106	0.00423	1.68	97276	411	388151	6681557	68.69
1959	5-9	0.00049	0.00246	2.15	96865	239	483645	6293406	64.97
1959	10-14	0.00054	0.00269	2.81	96627	260	482563	5809761	60.13
1959	15-19	0.00117	0.00586	2.76	96367	564	480570	5327198	55.28
1959	20-24	0.00158	0.00789	2.45	95802	756	477081	4846628	50.59
1959	25-29	0.00157	0.00782	2.56	95046	743	473418	4369548	45.97
1959	30-34	0.00186	0.00927	2.56	94303	874	469382	3896130	41.31
1959	35-39	0.00256	0.01275	2.65	93429	1191	464347	3426748	36.68
1959	40-44	0.00408	0.02019	2.7	92239	1862	456902	2962402	32.12
1959	45-49	0.00699	0.03441	2.71	90376	3110	444761	2505499	27.72
1959	50-54	0.01150	0.05601	2.68	87267	4888	425004	2060738	23.61
1959	55-59	0.01750	0.08401	2.64	82379	6921	395555	1635735	19.86
1959	60-64	0.02653	0.12475	2.62	75458	9414	354852	1240180	16.44
1959	65-69	0.03847	0.17588	2.57	66044	11616	301952	885328	13.41
1959	70-74	0.05498	0.24239	2.56	54428	13193	239972	583375	10.72
1959	75-79	0.08194	0.34112	2.55	41235	14066	171659	343403	8.33
1959	80-84	0.12060	0.45945	2.41	27169	12483	103504	171745	6.32
1959	85-89	0.18663	0.61940	2.29	14686	9097	48741	68241	4.65
1959	90-94	0.26474	0.74976	2.11	5590	4191	15830	19499	3.49
1959	95-99	0.36760	0.85719	1.89	1399	1199	3262	3669	2.62
1959	100-104	0.48290	0.92452	1.66	200	185	382	407	2.04
1959	105-109	0.60063	0.96080	1.46	15	14	24	25	1.66
1959	110+	0.69304	1.00000	1.44	1	1	1	1	1.44
1960	0	0.02778	0.02711	0.12	100000	2711	97613	6754342	67.54
1960	1-4	0.00111	0.00442	1.62	97289	430	388130	6656729	68.42
1960	5-9	0.00052	0.00258	2.36	96859	250	483635	6268599	64.72
1960	10-14	0.00047	0.00234	2.76	96609	226	482537	5784964	59.88
1960	15-19	0.00126	0.00627	2.86	96383	604	480618	5302427	55.01
1960	20-24	0.00172	0.00858	2.46	95778	822	476803	4821809	50.34
1960	25-29	0.00162	0.00804	2.47	94957	764	472853	4345006	45.76
1960	30-34	0.00186	0.00927	2.66	94193	873	468918	3872153	41.11
1960	35-39	0.00271	0.01349	2.72	93320	1259	463726	3403235	36.47
1960	40-44	0.00426	0.02111	2.7	92062	1943	455836	2939509	31.93
