PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,f,1959,0,0.02354,0.02306,0.12,100000,2306,97968,7333992,73.34
USA,f,1959,1-4,0.00097,0.00386,1.58,97694,377,389865,7236024,74.07
USA,f,1959,5-9,0.00041,0.00204,2.24,97317,199,486038,6846159,70.35
USA,f,1959,10-14,0.00033,0.00164,2.61,97118,159,485211,6360121,65.49
USA,f,1959,15-19,0.00055,0.00276,2.65,96959,268,484165,5874910,60.59
USA,f,1959,20-24,0.00071,0.00352,2.54,96691,341,482620,5390745,55.75
USA,f,1959,25-29,0.00087,0.00436,2.58,96351,420,480737,4908125,50.94
USA,f,1959,30-34,0.00124,0.00619,2.65,95931,594,478256,4427388,46.15
USA,f,1959,35-39,0.00178,0.00888,2.69,95337,846,474730,3949132,41.42
USA,f,1959,40-44,0.00272,0.01354,2.66,94491,1279,469457,3474401,36.77
USA,f,1959,45-49,0.00423,0.02093,2.68,93212,1951,461537,3004945,32.24
USA,f,1959,50-54,0.00639,0.03150,2.65,91261,2874,449538,2543408,27.87
USA,f,1959,55-59,0.00942,0.04611,2.68,88387,4076,432466,2093870,23.69
USA,f,1959,60-64,0.01434,0.06937,2.64,84311,5849,407770,1661404,19.71
USA,f,1959,65-69,0.02278,0.10810,2.64,78462,8482,372314,1253634,15.98
USA,f,1959,70-74,0.03649,0.16791,2.62,69980,11750,321973,881320,12.59
USA,f,1959,75-79,0.06119,0.26644,2.58,58230,15515,253566,559347,9.61
USA,f,1959,80-84,0.09878,0.39635,2.51,42715,16930,171388,305781,7.16
USA,f,1959,85-89,0.15831,0.55788,2.35,25785,14385,90867,134393,5.21
USA,f,1959,90-94,0.23720,0.71057,2.18,11400,8100,34150,43526,3.82
USA,f,1959,95-99,0.33548,0.83044,1.96,3300,2740,8168,9375,2.84
USA,f,1959,100-104,0.45426,0.91212,1.72,559,510,1123,1208,2.16
USA,f,1959,105-109,0.57900,0.95613,1.5,49,47,81,84,1.72
USA,f,1959,110+,0.67814,1.00000,1.47,2,2,3,3,1.47
USA,f,1960,0,0.02308,0.02262,0.12,100000,2262,98004,7331655,73.32
USA,f,1960,1-4,0.00098,0.00390,1.58,97738,382,390030,7233651,74.01
USA,f,1960,5-9,0.00041,0.00204,2.27,97357,199,486240,6843621,70.29
USA,f,1960,10-14,0.00032,0.00161,2.62,97158,157,485417,6357381,65.43
USA,f,1960,15-19,0.00054,0.00269,2.71,97001,261,484407,5871964,60.53
USA,f,1960,20-24,0.00070,0.00348,2.55,96740,336,482875,5387557,55.69
USA,f,1960,25-29,0.00089,0.00444,2.6,96403,428,480989,4904682,50.88
USA,f,1960,30-34,0.00123,0.00611,2.64,95975,586,478489,4423693,46.09
USA,f,1960,35-39,0.00181,0.00901,2.66,95389,860,474934,3945204,41.36
USA,f,1960,40-44,0.00282,0.01398,2.66,94529,1322,469552,3470270,36.71
USA,f,1960,45-49,0.00426,0.02108,2.66,93207,1965,461434,3000718,32.19
USA,f,1960,50-54,0.00640,0.03152,2.62,91242,2876,449380,2539284,27.83
USA,f,1960,55-59,0.00940,0.04599,2.67,88367,4064,432360,2089905,23.65
USA,f,1960,60-64,0.01478,0.07141,2.64,84303,6020,407329,1657544,19.66
USA,f,1960,65-69,0.02266,0.10753,2.64,78282,8418,371523,1250215,15.97
USA,f,1960,70-74,0.03669,0.16875,2.62,69865,11789,321290,878692,12.58
USA,f,1960,75-79,0.06077,0.26504,2.59,58075,15392,253286,557402,9.60
USA,f,1960,80-84,0.09925,0.39772,2.5,42683,16976,171045,304116,7.13
USA,f,1960,85-89,0.15878,0.55928,2.36,25707,14377,90548,133071,5.18
USA,f,1960,90-94,0.24188,0.71626,2.15,11330,8115,33549,42524,3.75
USA,f,1960,95-99,0.34206,0.83672,1.95,3215,2690,7864,8975,2.79
USA,f,1960,100-104,0.46370,0.91681,1.7,525,481,1038,1111,2.12
USA,f,1960,105-109,0.59043,0.95896,1.48,44,42,71,74,1.68
USA,f,1960,110+,0.69040,1.00000,1.45,2,2,3,3,1.45
USA,f,1961,0,0.02248,0.02204,0.12,100000,2204,98052,7369411,73.69
USA,f,1961,1-4,0.00092,0.00368,1.58,97796,360,390314,7271359,74.35
USA,f,1961,5-9,0.00038,0.00192,2.25,97436,187,486665,6881045,70.62
USA,f,1961,10-14,0.00031,0.00157,2.6,97249,152,485879,6394381,65.75
USA,f,1961,15-19,0.00051,0.00256,2.7,97097,248,484912,5908501,60.85
USA,f,1961,20-24,0.00068,0.00339,2.6,96848,328,483453,5423589,56.00
USA,f,1961,25-29,0.00086,0.00428,2.6,96520,413,481612,4940136,51.18
USA,f,1961,30-34,0.00122,0.00606,2.62,96107,582,479152,4458525,46.39
USA,f,1961,35-39,0.00179,0.00890,2.66,95525,851,475632,3979373,41.66
USA,f,1961,40-44,0.00269,0.01338,2.67,94675,1267,470415,3503741,37.01
USA,f,1961,45-49,0.00415,0.02053,2.66,93408,1918,462558,3033325,32.47
USA,f,1961,50-54,0.00632,0.03112,2.63,91490,2847,450715,2570767,28.10
USA,f,1961,55-59,0.00903,0.04418,2.62,88643,3916,433901,2120052,23.92
USA,f,1961,60-64,0.01426,0.06895,2.63,84727,5842,409779,1686151,19.90
USA,f,1961,65-69,0.02202,0.10465,2.63,78884,8256,374830,1276372,16.18
USA,f,1961,70-74,0.03575,0.16470,2.62,70629,11633,325437,901542,12.76
USA,f,1961,75-79,0.05862,0.25695,2.6,58996,15159,258600,576105,9.77
USA,f,1961,80-84,0.09679,0.38971,2.5,43837,17084,176505,317505,7.24
USA,f,1961,85-89,0.15551,0.55057,2.35,26753,14730,94718,141000,5.27
USA,f,1961,90-94,0.23438,0.70243,2.15,12024,8446,36035,46282,3.85
USA,f,1961,95-99,0.33240,0.82760,1.97,3578,2961,8908,10248,2.86
USA,f,1961,100-104,0.45134,0.91073,1.73,617,562,1245,1340,2.17
USA,f,1961,105-109,0.57660,0.95557,1.5,55,53,91,95,1.72
USA,f,1961,110+,0.67631,1.00000,1.48,2,2,4,4,1.48
USA,f,1962,0,0.02202,0.02160,0.11,100000,2160,98088,7359806,73.60
USA,f,1962,1-4,0.00092,0.00366,1.56,97840,358,390487,7261718,74.22
USA,f,1962,5-9,0.00039,0.00196,2.2,97482,191,486878,6871231,70.49
USA,f,1962,10-14,0.00031,0.00153,2.59,97292,148,486100,6384353,65.62
USA,f,1962,15-19,0.00053,0.00266,2.73,97143,258,485129,5898253,60.72
USA,f,1962,20-24,0.00071,0.00353,2.54,96885,342,483584,5413123,55.87
USA,f,1962,25-29,0.00088,0.00440,2.59,96543,425,481690,4929539,51.06
USA,f,1962,30-34,0.00122,0.00606,2.65,96118,583,479219,4447849,46.28
USA,f,1962,35-39,0.00185,0.00920,2.66,95535,879,475621,3968630,41.54
USA,f,1962,40-44,0.00274,0.01363,2.66,94656,1290,470265,3493009,36.90
USA,f,1962,45-49,0.00420,0.02079,2.68,93366,1941,462327,3022744,32.38
USA,f,1962,50-54,0.00635,0.03130,2.63,91425,2862,450343,2560417,28.01
USA,f,1962,55-59,0.00920,0.04502,2.64,88563,3987,433425,2110074,23.83
USA,f,1962,60-64,0.01429,0.06912,2.65,84577,5846,409163,1676648,19.82
USA,f,1962,65-69,0.02227,0.10574,2.61,78731,8325,373787,1267485,16.10
USA,f,1962,70-74,0.03604,0.16600,2.63,70406,11688,324327,893699,12.69
USA,f,1962,75-79,0.05880,0.25771,2.6,58718,15132,257326,569371,9.70
USA,f,1962,80-84,0.09830,0.39509,2.52,43586,17221,175180,312045,7.16
USA,f,1962,85-89,0.15934,0.56022,2.35,26366,14771,92697,136865,5.19
USA,f,1962,90-94,0.23661,0.70906,2.17,11595,8222,34747,44168,3.81
USA,f,1962,95-99,0.34190,0.83667,1.95,3373,2822,8255,9420,2.79
USA,f,1962,100-104,0.46425,0.91712,1.7,551,505,1088,1165,2.11
USA,f,1962,105-109,0.59166,0.95927,1.48,46,44,74,77,1.68
USA,f,1962,110+,0.69209,1.00000,1.44,2,2,3,3,1.44
USA,f,1963,0,0.02203,0.02161,0.11,100000,2161,98087,7352611,73.53
USA,f,1963,1-4,0.00092,0.00367,1.58,97839,359,390488,7254524,74.15
USA,f,1963,5-9,0.00038,0.00191,2.21,97480,186,486880,6864036,70.41
USA,f,1963,10-14,0.00031,0.00156,2.63,97294,152,486108,6377156,65.55
USA,f,1963,15-19,0.00055,0.00274,2.7,97142,266,485096,5891048,60.64
USA,f,1963,20-24,0.00072,0.00357,2.55,96876,346,483530,5405951,55.80
USA,f,1963,25-29,0.00089,0.00445,2.61,96530,430,481620,4922422,50.99
USA,f,1963,30-34,0.00122,0.00611,2.66,96100,587,479125,4440801,46.21
USA,f,1963,35-39,0.00187,0.00932,2.68,95513,890,475496,3961677,41.48
USA,f,1963,40-44,0.00279,0.01384,2.67,94623,1309,470058,3486180,36.84
USA,f,1963,45-49,0.00425,0.02104,2.65,93313,1963,461962,3016122,32.32
USA,f,1963,50-54,0.00638,0.03144,2.63,91351,2872,449954,2554160,27.96
USA,f,1963,55-59,0.00939,0.04593,2.64,88478,4064,432806,2104206,23.78
USA,f,1963,60-64,0.01430,0.06915,2.65,84414,5837,408350,1671400,19.80
USA,f,1963,65-69,0.02241,0.10634,2.61,78577,8356,372895,1263050,16.07
USA,f,1963,70-74,0.03633,0.16725,2.63,70221,11744,323231,890155,12.68
USA,f,1963,75-79,0.05775,0.25285,2.54,58477,14786,256036,566924,9.69
USA,f,1963,80-84,0.09879,0.39660,2.52,43691,17328,175409,310888,7.12
USA,f,1963,85-89,0.16046,0.56284,2.35,26363,14838,92472,135479,5.14
USA,f,1963,90-94,0.24253,0.71823,2.16,11525,8278,34130,43007,3.73
USA,f,1963,95-99,0.35003,0.84414,1.93,3247,2741,7831,8877,2.73
USA,f,1963,100-104,0.47583,0.92252,1.68,506,467,981,1046,2.07
USA,f,1963,105-109,0.60549,0.96242,1.46,39,38,62,64,1.64
USA,f,1963,110+,0.70669,1.00000,1.42,1,1,2,2,1.42
USA,f,1964,0,0.02179,0.02137,0.11,100000,2137,98106,7383337,73.83
USA,f,1964,1-4,0.00089,0.00355,1.55,97863,347,390599,7285231,74.44
USA,f,1964,5-9,0.00037,0.00186,2.26,97515,181,487080,6894631,70.70
USA,f,1964,10-14,0.00031,0.00153,2.62,97334,149,486316,6407551,65.83
USA,f,1964,15-19,0.00055,0.00274,2.7,97185,267,485313,5921235,60.93
USA,f,1964,20-24,0.00072,0.00360,2.59,96919,348,483754,5435922,56.09
USA,f,1964,25-29,0.00088,0.00439,2.6,96570,424,481834,4952168,51.28
USA,f,1964,30-34,0.00126,0.00626,2.65,96147,602,479320,4470335,46.49
USA,f,1964,35-39,0.00186,0.00926,2.67,95545,884,475664,3991015,41.77
USA,f,1964,40-44,0.00277,0.01377,2.67,94660,1304,470262,3515351,37.14
USA,f,1964,45-49,0.00419,0.02074,2.66,93357,1936,462247,3045089,32.62
USA,f,1964,50-54,0.00641,0.03158,2.65,91421,2887,450315,2582842,28.25
USA,f,1964,55-59,0.00914,0.04475,2.64,88534,3962,433329,2132527,24.09
USA,f,1964,60-64,0.01388,0.06720,2.67,84572,5683,409591,1699197,20.09
USA,f,1964,65-69,0.02186,0.10388,2.62,78889,8195,374926,1289606,16.35
USA,f,1964,70-74,0.03513,0.16217,2.63,70694,11465,326336,914680,12.94
USA,f,1964,75-79,0.05542,0.24382,2.54,59229,14441,260582,588344,9.93
USA,f,1964,80-84,0.09486,0.38438,2.53,44788,17216,181487,327763,7.32
USA,f,1964,85-89,0.15391,0.54793,2.37,27572,15108,98157,146275,5.31
USA,f,1964,90-94,0.23285,0.70285,2.18,12465,8761,37624,48118,3.86
USA,f,1964,95-99,0.33620,0.83161,1.96,3704,3080,9162,10494,2.83
USA,f,1964,100-104,0.45917,0.91486,1.71,624,571,1243,1332,2.14
USA,f,1964,105-109,0.58792,0.95848,1.48,53,51,87,90,1.69
USA,f,1964,110+,0.68963,1.00000,1.45,2,2,3,3,1.45
USA,f,1965,0,0.02112,0.02073,0.11,100000,2073,98159,7392820,73.93
USA,f,1965,1-4,0.00087,0.00348,1.6,97927,341,390886,7294661,74.49
USA,f,1965,5-9,0.00036,0.00182,2.26,97585,178,487439,6903775,70.75
USA,f,1965,10-14,0.00030,0.00149,2.61,97408,145,486692,6416336,65.87
USA,f,1965,15-19,0.00054,0.00268,2.71,97263,261,485716,5929644,60.97
USA,f,1965,20-24,0.00071,0.00356,2.54,97002,345,484161,5443928,56.12
USA,f,1965,25-29,0.00086,0.00430,2.62,96657,415,482292,4959767,51.31
USA,f,1965,30-34,0.00126,0.00626,2.66,96241,602,479794,4477475,46.52
USA,f,1965,35-39,0.00185,0.00920,2.66,95639,880,476137,3997680,41.80
USA,f,1965,40-44,0.00280,0.01393,2.67,94759,1320,470715,3521543,37.16
USA,f,1965,45-49,0.00424,0.02097,2.65,93438,1960,462588,3050828,32.65
USA,f,1965,50-54,0.00632,0.03112,2.65,91479,2846,450697,2588240,28.29
USA,f,1965,55-59,0.00910,0.04456,2.64,88632,3949,433837,2137543,24.12
USA,f,1965,60-64,0.01373,0.06650,2.65,84683,5632,410184,1703706,20.12
USA,f,1965,65-69,0.02177,0.10349,2.63,79051,8181,375852,1293522,16.36
USA,f,1965,70-74,0.03454,0.15962,2.63,70870,11312,327541,917670,12.95
USA,f,1965,75-79,0.05648,0.24827,2.56,59558,14786,261777,590129,9.91
USA,f,1965,80-84,0.09428,0.38217,2.52,44772,17111,181489,328353,7.33
USA,f,1965,85-89,0.15402,0.54744,2.36,27661,15143,98317,146864,5.31
USA,f,1965,90-94,0.23143,0.70034,2.18,12518,8767,37883,48547,3.88
USA,f,1965,95-99,0.33493,0.83039,1.96,3751,3115,9301,10665,2.84
USA,f,1965,100-104,0.45750,0.91404,1.72,636,582,1271,1364,2.14
USA,f,1965,105-109,0.58602,0.95802,1.49,55,52,89,93,1.70
USA,f,1965,110+,0.68769,1.00000,1.45,2,2,3,3,1.45
USA,f,1966,0,0.02058,0.02021,0.11,100000,2021,98203,7394533,73.95
USA,f,1966,1-4,0.00088,0.00349,1.6,97979,342,391096,7296330,74.47
USA,f,1966,5-9,0.00037,0.00185,2.27,97637,180,487692,6905234,70.72
USA,f,1966,10-14,0.00030,0.00152,2.62,97457,148,486932,6417542,65.85
USA,f,1966,15-19,0.00059,0.00295,2.75,97309,287,485899,5930610,60.95
USA,f,1966,20-24,0.00071,0.00353,2.57,97022,342,484276,5444710,56.12
USA,f,1966,25-29,0.00088,0.00438,2.58,96680,424,482371,4960434,51.31
USA,f,1966,30-34,0.00125,0.00624,2.65,96256,600,479869,4478063,46.52
USA,f,1966,35-39,0.00181,0.00902,2.67,95655,863,476266,3998194,41.80
USA,f,1966,40-44,0.00281,0.01398,2.66,94792,1325,470855,3521928,37.15
USA,f,1966,45-49,0.00424,0.02099,2.66,93467,1962,462736,3051073,32.64
USA,f,1966,50-54,0.00629,0.03098,2.64,91505,2835,450823,2588337,28.29
USA,f,1966,55-59,0.00910,0.04453,2.64,88670,3949,434040,2137514,24.11
USA,f,1966,60-64,0.01355,0.06561,2.61,84721,5559,410348,1703474,20.11
USA,f,1966,65-69,0.02169,0.10312,2.62,79163,8164,376350,1293126,16.34
USA,f,1966,70-74,0.03489,0.16114,2.63,70999,11441,327935,916776,12.91
USA,f,1966,75-79,0.05716,0.25106,2.58,59558,14953,261593,588841,9.89
USA,f,1966,80-84,0.09408,0.38119,2.51,44606,17003,180730,327248,7.34
USA,f,1966,85-89,0.15350,0.54613,2.36,27603,15075,98207,146518,5.31
USA,f,1966,90-94,0.23341,0.70473,2.19,12528,8829,37826,48311,3.86
USA,f,1966,95-99,0.33602,0.83148,1.96,3699,3076,9153,10485,2.83
USA,f,1966,100-104,0.45930,0.91495,1.71,623,570,1242,1331,2.14
USA,f,1966,105-109,0.58837,0.95860,1.48,53,51,86,90,1.69
USA,f,1966,110+,0.69031,1.00000,1.45,2,2,3,3,1.45
USA,f,1967,0,0.01969,0.01935,0.11,100000,1935,98274,7431086,74.31
USA,f,1967,1-4,0.00079,0.00317,1.6,98065,311,391513,7332811,74.77
USA,f,1967,5-9,0.00036,0.00179,2.28,97754,175,488294,6941299,71.01
USA,f,1967,10-14,0.00030,0.00149,2.63,97579,146,487552,6453004,66.13
USA,f,1967,15-19,0.00057,0.00287,2.78,97434,280,486548,5965452,61.23
USA,f,1967,20-24,0.00073,0.00362,2.55,97154,352,484908,5478904,56.39
USA,f,1967,25-29,0.00084,0.00421,2.6,96802,407,483033,4993996,51.59
USA,f,1967,30-34,0.00120,0.00599,2.69,96395,577,480639,4510963,46.80
USA,f,1967,35-39,0.00183,0.00912,2.65,95817,874,477036,4030323,42.06
USA,f,1967,40-44,0.00276,0.01371,2.65,94944,1301,471659,3553287,37.43
USA,f,1967,45-49,0.00417,0.02066,2.66,93642,1935,463682,3081628,32.91
USA,f,1967,50-54,0.00621,0.03061,2.65,91707,2807,451933,2617946,28.55
USA,f,1967,55-59,0.00902,0.04416,2.64,88900,3925,435235,2166013,24.36
USA,f,1967,60-64,0.01326,0.06429,2.63,84975,5463,411931,1730778,20.37
USA,f,1967,65-69,0.02106,0.10030,2.63,79512,7975,378652,1318847,16.59
USA,f,1967,70-74,0.03372,0.15613,2.63,71537,11169,331200,940195,13.14
USA,f,1967,75-79,0.05521,0.24353,2.58,60368,14701,266266,608996,10.09
USA,f,1967,80-84,0.09082,0.37079,2.53,45667,16933,186445,342729,7.51
USA,f,1967,85-89,0.14877,0.53521,2.38,28734,15379,103371,156285,5.44
USA,f,1967,90-94,0.22576,0.69223,2.21,13355,9245,40950,52913,3.96
USA,f,1967,95-99,0.32605,0.82189,1.98,4110,3378,10361,11963,2.91
USA,f,1967,100-104,0.44751,0.90912,1.73,732,666,1487,1602,2.19
USA,f,1967,105-109,0.57608,0.95563,1.5,67,64,110,115,1.72
USA,f,1967,110+,0.67846,1.00000,1.47,3,3,4,4,1.47
USA,f,1968,0,0.01922,0.01889,0.11,100000,1889,98312,7407996,74.08
USA,f,1968,1-4,0.00082,0.00326,1.58,98111,319,391670,7309683,74.50
USA,f,1968,5-9,0.00037,0.00183,2.28,97791,179,488469,6918013,70.74
USA,f,1968,10-14,0.00030,0.00152,2.61,97612,148,487708,6429544,65.87
USA,f,1968,15-19,0.00060,0.00299,2.71,97464,292,486654,5941836,60.96
USA,f,1968,20-24,0.00074,0.00368,2.51,97173,358,484974,5455182,56.14
USA,f,1968,25-29,0.00087,0.00435,2.57,96815,421,483051,4970208,51.34
USA,f,1968,30-34,0.00122,0.00606,2.64,96393,584,480592,4487157,46.55
USA,f,1968,35-39,0.00186,0.00927,2.66,95809,888,476965,4006566,41.82
USA,f,1968,40-44,0.00287,0.01424,2.64,94921,1352,471421,3529601,37.18
USA,f,1968,45-49,0.00429,0.02123,2.65,93569,1986,463174,3058180,32.68
USA,f,1968,50-54,0.00637,0.03139,2.63,91583,2875,451101,2595006,28.34
USA,f,1968,55-59,0.00923,0.04517,2.63,88708,4007,434036,2143905,24.17
USA,f,1968,60-64,0.01372,0.06641,2.61,84701,5625,410053,1709869,20.19
USA,f,1968,65-69,0.02134,0.10153,2.61,79076,8028,376230,1299816,16.44
USA,f,1968,70-74,0.03422,0.15820,2.62,71048,11240,328483,923586,13.00
USA,f,1968,75-79,0.05659,0.24878,2.57,59808,14879,262933,595103,9.95
USA,f,1968,80-84,0.09266,0.37691,2.53,44929,16934,182764,332170,7.39
USA,f,1968,85-89,0.15213,0.54408,2.38,27995,15232,100121,149406,5.34
USA,f,1968,90-94,0.23275,0.70276,2.18,12763,8970,38537,49285,3.86
USA,f,1968,95-99,0.33608,0.83171,1.96,3794,3155,9388,10748,2.83
USA,f,1968,100-104,0.46078,0.91577,1.71,638,585,1269,1359,2.13
USA,f,1968,105-109,0.59122,0.95933,1.48,54,52,87,90,1.68
USA,f,1968,110+,0.69402,1.00000,1.44,2,2,3,3,1.44
USA,f,1969,0,0.01880,0.01849,0.11,100000,1849,98347,7438130,74.38
