USA: United States of America, Lifetables (period 1x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02909	0.02837	0.12	100000	2837	97512	6682141	66.82
1960-1964	1	0.00174	0.00174	0.5	97163	169	97079	6584629	67.77
1960-1964	2	0.00110	0.00110	0.5	96994	107	96941	6487550	66.89
1960-1964	3	0.00085	0.00085	0.5	96887	82	96846	6390609	65.96
1960-1964	4	0.00070	0.00070	0.5	96805	68	96771	6293763	65.01
1960-1964	5	0.00061	0.00061	0.5	96737	59	96708	6196992	64.06
1960-1964	6	0.00058	0.00057	0.5	96678	56	96651	6100284	63.10
1960-1964	7	0.00051	0.00051	0.5	96623	50	96598	6003633	62.13
1960-1964	8	0.00047	0.00047	0.5	96573	46	96550	5907035	61.17
1960-1964	9	0.00045	0.00044	0.5	96528	43	96506	5810485	60.20
1960-1964	10	0.00044	0.00044	0.5	96485	43	96463	5713979	59.22
1960-1964	11	0.00046	0.00046	0.5	96442	45	96420	5617515	58.25
1960-1964	12	0.00049	0.00049	0.5	96397	47	96374	5521096	57.27
1960-1964	13	0.00059	0.00059	0.5	96350	56	96322	5424722	56.30
1960-1964	14	0.00069	0.00069	0.5	96293	67	96260	5328400	55.33
1960-1964	15	0.00084	0.00084	0.5	96227	81	96187	5232140	54.37
1960-1964	16	0.00109	0.00109	0.5	96146	104	96094	5135953	53.42
1960-1964	17	0.00131	0.00131	0.5	96042	126	95979	5039859	52.48
1960-1964	18	0.00152	0.00152	0.5	95916	145	95843	4943880	51.54
1960-1964	19	0.00167	0.00166	0.5	95771	159	95691	4848037	50.62
1960-1964	20	0.00173	0.00173	0.5	95611	165	95528	4752346	49.70
1960-1964	21	0.00185	0.00185	0.5	95446	176	95358	4656818	48.79
1960-1964	22	0.00181	0.00181	0.5	95269	173	95183	4561460	47.88
1960-1964	23	0.00180	0.00180	0.5	95097	171	95011	4466277	46.97
1960-1964	24	0.00173	0.00173	0.5	94925	164	94843	4371266	46.05
1960-1964	25	0.00175	0.00175	0.5	94761	166	94679	4276423	45.13
1960-1964	26	0.00172	0.00172	0.5	94596	163	94515	4181744	44.21
1960-1964	27	0.00172	0.00171	0.5	94433	162	94352	4087230	43.28
1960-1964	28	0.00176	0.00176	0.5	94271	166	94188	3992878	42.36
1960-1964	29	0.00177	0.00177	0.5	94106	167	94022	3898689	41.43
1960-1964	30	0.00186	0.00186	0.5	93939	175	93852	3804667	40.50
1960-1964	31	0.00188	0.00188	0.5	93764	177	93676	3710815	39.58
1960-1964	32	0.00201	0.00201	0.5	93588	188	93494	3617139	38.65
1960-1964	33	0.00215	0.00215	0.5	93400	201	93299	3523645	37.73
1960-1964	34	0.00230	0.00229	0.5	93199	214	93092	3430346	36.81
1960-1964	35	0.00246	0.00245	0.5	92985	228	92871	3337254	35.89
1960-1964	36	0.00265	0.00265	0.5	92757	246	92634	3244383	34.98
1960-1964	37	0.00291	0.00290	0.5	92511	268	92377	3151749	34.07
1960-1964	38	0.00318	0.00318	0.5	92243	293	92096	3059372	33.17
1960-1964	39	0.00347	0.00347	0.5	91950	319	91790	2967276	32.27
1960-1964	40	0.00381	0.00380	0.5	91631	348	91457	2875485	31.38
1960-1964	41	0.00404	0.00403	0.5	91283	368	91099	2784028	30.50
1960-1964	42	0.00461	0.00460	0.5	90915	418	90706	2692930	29.62
1960-1964	43	0.00496	0.00495	0.5	90497	448	90273	2602224	28.75
1960-1964	44	0.00556	0.00554	0.5	90049	499	89799	2511951	27.90
1960-1964	45	0.00611	0.00609	0.5	89550	545	89277	2422152	27.05
1960-1964	46	0.00667	0.00665	0.5	89004	592	88708	2332875	26.21
1960-1964	47	0.00750	0.00747	0.5	88412	660	88082	2244167	25.38
1960-1964	48	0.00821	0.00818	0.5	87752	718	87393	2156084	24.57
1960-1964	49	0.00904	0.00900	0.5	87034	783	86643	2068691	23.77
1960-1964	50	0.01020	0.01015	0.5	86251	875	85814	1982048	22.98
1960-1964	51	0.01100	0.01094	0.5	85376	934	84909	1896235	22.21
1960-1964	52	0.01238	0.01230	0.5	84442	1039	83923	1811325	21.45
1960-1964	53	0.01335	0.01326	0.5	83404	1106	82851	1727403	20.71
1960-1964	54	0.01457	0.01447	0.5	82298	1190	81702	1644552	19.98
1960-1964	55	0.01577	0.01565	0.5	81107	1269	80473	1562849	19.27
1960-1964	56	0.01708	0.01694	0.5	79838	1352	79162	1482377	18.57
1960-1964	57	0.01861	0.01844	0.5	78486	1447	77762	1403215	17.88
1960-1964	58	0.02015	0.01995	0.5	77039	1537	76270	1325452	17.21
1960-1964	59	0.02191	0.02167	0.5	75502	1636	74684	1249182	16.54
1960-1964	60	0.02374	0.02347	0.5	73866	1733	72999	1174498	15.90
1960-1964	61	0.02506	0.02475	0.5	72133	1785	71240	1101498	15.27
1960-1964	62	0.02838	0.02799	0.5	70347	1969	69363	1030258	14.65
1960-1964	63	0.03013	0.02968	0.5	68379	2029	67364	960895	14.05
1960-1964	64	0.03282	0.03229	0.5	66349	2143	65278	893531	13.47
1960-1964	65	0.03702	0.03635	0.5	64206	2334	63040	828253	12.90
1960-1964	66	0.03812	0.03741	0.5	61873	2315	60715	765214	12.37
1960-1964	67	0.04206	0.04120	0.5	59558	2454	58331	704498	11.83
1960-1964	68	0.04455	0.04358	0.5	57105	2489	55860	646167	11.32
1960-1964	69	0.04722	0.04613	0.5	54616	2519	53356	590307	10.81
1960-1964	70	0.05225	0.05092	0.5	52096	2653	50770	536951	10.31
1960-1964	71	0.05404	0.05262	0.5	49444	2602	48143	486181	9.83
1960-1964	72	0.06134	0.05952	0.5	46842	2788	45448	438038	9.35
1960-1964	73	0.06426	0.06226	0.5	44054	2743	42683	392590	8.91
1960-1964	74	0.06937	0.06704	0.5	41311	2770	39926	349908	8.47
1960-1964	75	0.07529	0.07255	0.5	38541	2796	37143	309981	8.04
1960-1964	76	0.07899	0.07598	0.5	35745	2716	34387	272838	7.63
1960-1964	77	0.08367	0.08031	0.5	33029	2652	31703	238451	7.22
1960-1964	78	0.09175	0.08773	0.5	30377	2665	29044	206748	6.81
1960-1964	79	0.09898	0.09431	0.5	27712	2613	26405	177704	6.41
1960-1964	80	0.11349	0.10739	0.5	25098	2695	23750	151299	6.03
