Reg1: , Lifetables (period 5x10), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02290	0.02244	0.11	100000	2244	98007	7022998	70.23
1960-1969	1-4	0.00081	0.00325	1.66	97756	317	390281	6924991	70.84
1960-1969	5-9	0.00041	0.00203	2.29	97439	198	486656	6534710	67.06
1960-1969	10-14	0.00035	0.00177	2.66	97240	172	485801	6048054	62.20
1960-1969	15-19	0.00081	0.00403	2.84	97069	391	484500	5562253	57.30
1960-1969	20-24	0.00110	0.00547	2.51	96678	529	482072	5077753	52.52
1960-1969	25-29	0.00118	0.00586	2.55	96149	563	479367	4595681	47.80
1960-1969	30-34	0.00149	0.00743	2.62	95586	710	476236	4116314	43.06
1960-1969	35-39	0.00223	0.01109	2.67	94875	1052	471926	3640078	38.37
1960-1969	40-44	0.00350	0.01735	2.67	93823	1628	465320	3168152	33.77
1960-1969	45-49	0.00566	0.02795	2.68	92195	2577	454991	2702832	29.32
1960-1969	50-54	0.00917	0.04489	2.66	89618	4023	438676	2247841	25.08
1960-1969	55-59	0.01411	0.06828	2.65	85596	5844	414227	1809165	21.14
1960-1969	60-64	0.02156	0.10256	2.62	79751	8179	379287	1394938	17.49
1960-1969	65-69	0.03262	0.15119	2.59	71572	10821	331741	1015651	14.19
1960-1969	70-74	0.04952	0.22100	2.57	60751	13426	271135	683910	11.26
1960-1969	75-79	0.07429	0.31330	2.5	47326	14827	199583	412775	8.72
1960-1969	80-84	0.11503	0.44447	2.44	32499	14445	125571	213192	6.56
1960-1969	85-89	0.17517	0.59440	2.3	18054	10731	61263	87621	4.85
1960-1969	90-94	0.25478	0.73533	2.13	7323	5385	21135	26358	3.60
1960-1969	95-99	0.35650	0.84849	1.91	1938	1644	4613	5223	2.69
1960-1969	100-104	0.47358	0.92079	1.68	294	270	571	610	2.08
1960-1969	105-109	0.59494	0.95974	1.47	23	22	38	39	1.67
1960-1969	110+	0.69094	1.00000	1.45	1	1	1	1	1.45
1970-1979	0	0.01591	0.01568	0.09	100000	1568	98577	7239726	72.40
1970-1979	1-4	0.00063	0.00250	1.7	98432	246	393161	7141149	72.55
1970-1979	5-9	0.00034	0.00168	2.3	98186	165	490482	6747989	68.73
1970-1979	10-14	0.00031	0.00156	2.74	98020	153	489757	6257507	63.84
1970-1979	15-19	0.00087	0.00434	2.88	97868	425	488436	5767749	58.93
1970-1979	20-24	0.00122	0.00606	2.49	97443	590	485733	5279313	54.18
1970-1979	25-29	0.00121	0.00602	2.5	96853	583	482806	4793580	49.49
1970-1979	30-34	0.00140	0.00697	2.61	96269	671	479740	4310775	44.78
1970-1979	35-39	0.00199	0.00992	2.66	95598	948	475768	3831034	40.07
1970-1979	40-44	0.00314	0.01558	2.68	94650	1475	469828	3355267	35.45
