Reg1: , Lifetables (period 5x5), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02708	0.02645	0.12	100000	2645	97667	6699595	67.00
1960-1964	1-4	0.00092	0.00366	1.69	97355	356	388598	6601928	67.81
1960-1964	5-9	0.00048	0.00240	2.31	96999	233	484367	6213330	64.06
1960-1964	10-14	0.00045	0.00225	2.69	96766	218	483327	5728963	59.20
1960-1964	15-19	0.00103	0.00512	2.88	96548	494	481695	5245636	54.33
1960-1964	20-24	0.00149	0.00744	2.51	96055	715	478489	4763941	49.60
1960-1964	25-29	0.00147	0.00734	2.52	95340	700	474961	4285451	44.95
1960-1964	30-34	0.00176	0.00877	2.63	94640	830	471229	3810490	40.26
1960-1964	35-39	0.00268	0.01331	2.69	93810	1249	466169	3339261	35.60
1960-1964	40-44	0.00430	0.02127	2.68	92562	1969	458248	2873093	31.04
1960-1964	45-49	0.00734	0.03608	2.69	90593	3268	445413	2414845	26.66
1960-1964	50-54	0.01231	0.05984	2.67	87324	5225	424426	1969431	22.55
1960-1964	55-59	0.01918	0.09174	2.64	82099	7531	392711	1545005	18.82
1960-1964	60-64	0.02919	0.13645	2.61	74567	10175	348548	1152294	15.45
1960-1964	65-69	0.04389	0.19813	2.55	64393	12758	290683	803746	12.48
1960-1964	70-74	0.06366	0.27490	2.52	51635	14195	222966	513063	9.94
1960-1964	75-79	0.09040	0.36738	2.45	37440	13755	152156	290097	7.75
1960-1964	80-84	0.13769	0.50646	2.39	23685	11996	87121	137941	5.82
1960-1964	85-89	0.20282	0.64943	2.23	11690	7591	37429	50821	4.35
1960-1964	90-94	0.28669	0.77658	2.05	4098	3182	11101	13392	3.27
1960-1964	95-99	0.38762	0.87160	1.84	916	798	2059	2291	2.50
1960-1964	100-104	0.49965	0.93087	1.63	118	109	219	232	1.98
1960-1964	105-109	0.61229	0.96306	1.44	8	8	13	13	1.63
1960-1964	110+	0.70021	1.00000	1.43	0	0	0	0	1.43
1965-1969	0	0.02451	0.02399	0.11	100000	2399	97867	6697908	66.98
1965-1969	1-4	0.00085	0.00341	1.68	97601	333	389632	6600041	67.62
1965-1969	5-9	0.00047	0.00233	2.3	97268	227	485729	6210409	63.85
1965-1969	10-14	0.00043	0.00215	2.73	97042	209	484734	5724679	58.99
1965-1969	15-19	0.00129	0.00645	2.93	96833	625	482871	5239945	54.11
1965-1969	20-24	0.00171	0.00852	2.46	96208	820	478964	4757074	49.45
1965-1969	25-29	0.00168	0.00837	2.52	95389	798	474966	4278111	44.85
1965-1969	30-34	0.00197	0.00982	2.59	94591	929	470711	3803144	40.21
1965-1969	35-39	0.00287	0.01424	2.65	93661	1334	465172	3332434	35.58
1965-1969	40-44	0.00452	0.02237	2.66	92328	2065	456810	2867262	31.06
1965-1969	45-49	0.00716	0.03523	2.68	90263	3180	443923	2410451	26.70
1965-1969	50-54	0.01196	0.05817	2.67	87082	5066	423617	1966528	22.58
1965-1969	55-59	0.01899	0.09090	2.65	82017	7456	392565	1542911	18.81
1965-1969	60-64	0.02962	0.13828	2.6	74561	10310	348037	1150346	15.43
1965-1969	65-69	0.04357	0.19692	2.56	64251	12652	290377	802309	12.49
1965-1969	70-74	0.06399	0.27630	2.53	51599	14257	222797	511932	9.92
1965-1969	75-79	0.09211	0.37267	2.44	37342	13916	151090	289135	7.74
1965-1969	80-84	0.13585	0.50134	2.39	23426	11744	86451	138045	5.89
1965-1969	85-89	0.19858	0.64128	2.24	11681	7491	37723	51593	4.42
1965-1969	90-94	0.28298	0.77170	2.05	4190	3234	11427	13870	3.31
1965-1969	95-99	0.37916	0.86530	1.86	957	828	2183	2443	2.55
