PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg2,f,1960-1964,0,0.02025,0.01989,0.11,100000,1989,98229,7413306,74.13
Reg2,f,1960-1964,1-4,0.00080,0.00321,1.58,98011,315,391284,7315076,74.64
Reg2,f,1960-1964,5-9,0.00035,0.00176,2.24,97697,172,488007,6923793,70.87
Reg2,f,1960-1964,10-14,0.00030,0.00152,2.64,97524,148,487273,6435785,65.99
Reg2,f,1960-1964,15-19,0.00053,0.00264,2.7,97377,257,486290,5948513,61.09
Reg2,f,1960-1964,20-24,0.00065,0.00325,2.54,97119,316,484822,5462223,56.24
Reg2,f,1960-1964,25-29,0.00079,0.00394,2.59,96804,382,483100,4977401,51.42
Reg2,f,1960-1964,30-34,0.00110,0.00547,2.66,96422,528,480877,4494301,46.61
Reg2,f,1960-1964,35-39,0.00167,0.00831,2.67,95894,797,477612,4013424,41.85
Reg2,f,1960-1964,40-44,0.00253,0.01257,2.66,95097,1195,472693,3535811,37.18
Reg2,f,1960-1964,45-49,0.00390,0.01932,2.67,93902,1814,465275,3063119,32.62
Reg2,f,1960-1964,50-54,0.00598,0.02949,2.64,92087,2715,454034,2597843,28.21
Reg2,f,1960-1964,55-59,0.00876,0.04290,2.65,89372,3834,437864,2143809,23.99
Reg2,f,1960-1964,60-64,0.01361,0.06596,2.66,85537,5642,414467,1705945,19.94
Reg2,f,1960-1964,65-69,0.02149,0.10226,2.64,79895,8170,380216,1291478,16.16
Reg2,f,1960-1964,70-74,0.03546,0.16366,2.65,71725,11739,331002,911263,12.70
Reg2,f,1960-1964,75-79,0.05826,0.25535,2.58,59987,15318,262914,580261,9.67
Reg2,f,1960-1964,80-84,0.09852,0.39585,2.52,44669,17682,179479,317346,7.10
Reg2,f,1960-1964,85-89,0.16068,0.56381,2.36,26987,15215,94690,137868,5.11
Reg2,f,1960-1964,90-94,0.24714,0.72545,2.15,11771,8540,34553,43178,3.67
Reg2,f,1960-1964,95-99,0.35936,0.85243,1.92,3232,2755,7666,8625,2.67
Reg2,f,1960-1964,100-104,0.48993,0.92870,1.66,477,443,904,958,2.01
Reg2,f,1960-1964,105-109,0.62279,0.96605,1.43,34,33,53,54,1.60
Reg2,f,1960-1964,110+,0.72505,1.00000,1.38,1,1,2,2,1.38
Reg2,f,1965-1969,0,0.01878,0.01847,0.11,100000,1847,98348,7448252,74.48
Reg2,f,1965-1969,1-4,0.00076,0.00303,1.63,98153,298,391905,7349904,74.88
Reg2,f,1965-1969,5-9,0.00035,0.00174,2.25,97855,170,488809,6957999,71.11
Reg2,f,1965-1969,10-14,0.00029,0.00147,2.62,97685,143,488085,6469190,66.22
Reg2,f,1965-1969,15-19,0.00060,0.00297,2.76,97542,290,487062,5981104,61.32
