Reg2: , Lifetables (period 1x1), Males Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02767	0.02701	0.12	100000	2701	97621	6747500	67.47
1959	1	0.00160	0.00160	0.5	97299	156	97221	6649879	68.35
1959	2	0.00104	0.00104	0.5	97143	101	97092	6552658	67.45
1959	3	0.00077	0.00077	0.5	97042	75	97004	6455566	66.52
1959	4	0.00067	0.00067	0.5	96967	65	96934	6358561	65.57
1959	5	0.00064	0.00064	0.5	96902	62	96871	6261627	64.62
1959	6	0.00058	0.00058	0.5	96840	57	96812	6164756	63.66
1959	7	0.00053	0.00053	0.5	96784	52	96758	6067944	62.70
1959	8	0.00051	0.00051	0.5	96732	50	96707	5971186	61.73
1959	9	0.00052	0.00052	0.5	96683	50	96657	5874478	60.76
1959	10	0.00049	0.00049	0.5	96632	47	96609	5777821	59.79
1959	11	0.00051	0.00051	0.5	96585	50	96561	5681212	58.82
1959	12	0.00057	0.00057	0.5	96536	55	96508	5584651	57.85
1959	13	0.00058	0.00058	0.5	96480	56	96452	5488143	56.88
1959	14	0.00069	0.00069	0.5	96424	67	96391	5391691	55.92
1959	15	0.00091	0.00091	0.5	96358	88	96314	5295300	54.95
1959	16	0.00117	0.00117	0.5	96270	113	96214	5198986	54.00
1959	17	0.00143	0.00143	0.5	96157	138	96088	5102772	53.07
1959	18	0.00160	0.00160	0.5	96020	154	95943	5006684	52.14
1959	19	0.00176	0.00176	0.5	95866	169	95781	4910741	51.23
1959	20	0.00166	0.00165	0.5	95697	158	95618	4814960	50.31
1959	21	0.00184	0.00183	0.5	95539	175	95451	4719341	49.40
1959	22	0.00167	0.00167	0.5	95364	159	95284	4623890	48.49
1959	23	0.00158	0.00158	0.5	95204	150	95129	4528606	47.57
1959	24	0.00153	0.00153	0.5	95054	145	94981	4433477	46.64
1959	25	0.00160	0.00160	0.5	94909	151	94833	4338496	45.71
1959	26	0.00148	0.00148	0.5	94757	140	94687	4243663	44.78
1959	27	0.00159	0.00159	0.5	94617	150	94542	4148975	43.85
1959	28	0.00144	0.00144	0.5	94467	136	94399	4054433	42.92
1959	29	0.00156	0.00156	0.5	94331	147	94257	3960034	41.98
1959	30	0.00163	0.00163	0.5	94184	153	94107	3865777	41.05
1959	31	0.00169	0.00169	0.5	94031	159	93951	3771669	40.11
1959	32	0.00169	0.00169	0.5	93872	158	93793	3677718	39.18
1959	33	0.00196	0.00196	0.5	93713	184	93622	3583926	38.24
1959	34	0.00207	0.00207	0.5	93530	194	93433	3490304	37.32
1959	35	0.00214	0.00214	0.5	93336	199	93236	3396871	36.39
1959	36	0.00243	0.00242	0.5	93137	226	93024	3303635	35.47
1959	37	0.00259	0.00258	0.5	92911	240	92791	3210611	34.56
1959	38	0.00270	0.00269	0.5	92671	250	92546	3117820	33.64
1959	39	0.00290	0.00290	0.5	92421	268	92287	3025274	32.73
1959	40	0.00340	0.00340	0.5	92153	313	91997	2932986	31.83
1959	41	0.00343	0.00343	0.5	91840	315	91683	2840990	30.93
1959	42	0.00434	0.00433	0.5	91525	396	91327	2749307	30.04
1959	43	0.00473	0.00472	0.5	91129	430	90914	2657980	29.17
1959	44	0.00523	0.00521	0.5	90699	473	90462	2567066	28.30
1959	45	0.00564	0.00563	0.5	90226	508	89972	2476603	27.45
1959	46	0.00625	0.00623	0.5	89718	559	89439	2386631	26.60
1959	47	0.00705	0.00702	0.5	89159	626	88846	2297192	25.77
1959	48	0.00774	0.00772	0.5	88533	683	88192	2208346	24.94
1959	49	0.00877	0.00874	0.5	87850	767	87466	2120155	24.13
1959	50	0.00958	0.00953	0.5	87083	830	86667	2032689	23.34
1959	51	0.01027	0.01022	0.5	86252	882	85812	1946021	22.56
1959	52	0.01173	0.01166	0.5	85371	996	84873	1860209	21.79
1959	53	0.01243	0.01235	0.5	84375	1042	83854	1775336	21.04
1959	54	0.01326	0.01318	0.5	83333	1098	82784	1691482	20.30
1959	55	0.01513	0.01501	0.5	82235	1234	81618	1608698	19.56
1959	56	0.01611	0.01598	0.5	81001	1295	80353	1527081	18.85
1959	57	0.01666	0.01652	0.5	79706	1317	79047	1446727	18.15
1959	58	0.01855	0.01838	0.5	78389	1441	77669	1367680	17.45
1959	59	0.02069	0.02048	0.5	76948	1576	76160	1290011	16.76
1959	60	0.02271	0.02245	0.5	75372	1692	74526	1213851	16.10
1959	61	0.02423	0.02394	0.5	73680	1764	72798	1139325	15.46
1959	62	0.02682	0.02646	0.5	71917	1903	70965	1066526	14.83
1959	63	0.02881	0.02840	0.5	70013	1989	69019	995561	14.22
1959	64	0.03060	0.03014	0.5	68025	2050	67000	926542	13.62
1959	65	0.03400	0.03343	0.5	65975	2205	64872	859542	13.03
1959	66	0.03684	0.03618	0.5	63769	2307	62616	794670	12.46
1959	67	0.04006	0.03927	0.5	61462	2414	60255	732054	11.91
1959	68	0.04291	0.04201	0.5	59048	2481	57808	671799	11.38
1959	69	0.04673	0.04566	0.5	56568	2583	55276	613991	10.85
1959	70	0.04922	0.04804	0.5	53985	2593	52688	558715	10.35
1959	71	0.05210	0.05077	0.5	51391	2609	50087	506027	9.85
1959	72	0.05833	0.05667	0.5	48782	2765	47400	455940	9.35
1959	73	0.06202	0.06015	0.5	46017	2768	44633	408541	8.88
1959	74	0.06838	0.06612	0.5	43249	2860	41819	363907	8.41
1959	75	0.07450	0.07182	0.5	40389	2901	38939	322088	7.97
1959	76	0.08034	0.07724	0.5	37489	2895	36041	283149	7.55
