Reg3: , Lifetables (period 1x1), Females Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02810	0.02744	0.13	100000	2744	97618	7278238	72.78
1959	1	0.00216	0.00216	0.5	97256	210	97152	7180620	73.83
1959	2	0.00116	0.00116	0.5	97047	112	96991	7083469	72.99
1959	3	0.00081	0.00081	0.5	96935	78	96895	6986478	72.07
1959	4	0.00069	0.00069	0.5	96856	67	96823	6889583	71.13
1959	5	0.00058	0.00058	0.5	96789	56	96761	6792760	70.18
1959	6	0.00053	0.00053	0.5	96733	52	96707	6695999	69.22
1959	7	0.00045	0.00045	0.5	96681	44	96659	6599293	68.26
1959	8	0.00036	0.00036	0.5	96637	35	96620	6502634	67.29
1959	9	0.00036	0.00036	0.5	96602	35	96585	6406014	66.31
1959	10	0.00031	0.00031	0.5	96567	30	96552	6309429	65.34
1959	11	0.00031	0.00031	0.5	96537	30	96522	6212877	64.36
1959	12	0.00038	0.00038	0.5	96507	36	96489	6116355	63.38
1959	13	0.00033	0.00033	0.5	96471	32	96455	6019866	62.40
1959	14	0.00046	0.00046	0.5	96439	45	96417	5923411	61.42
1959	15	0.00054	0.00054	0.5	96395	52	96369	5826994	60.45
1959	16	0.00058	0.00058	0.5	96343	56	96315	5730625	59.48
1959	17	0.00064	0.00064	0.5	96287	62	96256	5634310	58.52
1959	18	0.00064	0.00064	0.5	96225	61	96194	5538054	57.55
1959	19	0.00074	0.00074	0.5	96164	71	96128	5441859	56.59
1959	20	0.00084	0.00084	0.5	96093	81	96052	5345731	55.63
1959	21	0.00082	0.00082	0.5	96012	78	95972	5249679	54.68
1959	22	0.00094	0.00094	0.5	95933	90	95888	5153707	53.72
1959	23	0.00081	0.00081	0.5	95843	77	95805	5057818	52.77
1959	24	0.00091	0.00091	0.5	95766	87	95723	4962014	51.81
1959	25	0.00099	0.00099	0.5	95679	95	95632	4866291	50.86
1959	26	0.00100	0.00100	0.5	95585	95	95537	4770659	49.91
1959	27	0.00100	0.00100	0.5	95489	96	95442	4675122	48.96
1959	28	0.00106	0.00106	0.5	95394	101	95343	4579681	48.01
1959	29	0.00118	0.00117	0.5	95292	112	95236	4484338	47.06
1959	30	0.00122	0.00122	0.5	95180	116	95122	4389101	46.11
1959	31	0.00130	0.00130	0.5	95064	123	95002	4293979	45.17
1959	32	0.00163	0.00162	0.5	94941	154	94864	4198977	44.23
1959	33	0.00160	0.00160	0.5	94787	152	94711	4104113	43.30
1959	34	0.00177	0.00177	0.5	94635	167	94551	4009402	42.37
1959	35	0.00174	0.00174	0.5	94468	164	94385	3914851	41.44
1959	36	0.00191	0.00191	0.5	94303	180	94213	3820466	40.51
1959	37	0.00204	0.00203	0.5	94123	192	94027	3726252	39.59
1959	38	0.00237	0.00237	0.5	93932	222	93820	3632225	38.67
1959	39	0.00255	0.00255	0.5	93709	239	93590	3538405	37.76
1959	40	0.00278	0.00278	0.5	93470	259	93341	3444815	36.85
1959	41	0.00269	0.00268	0.5	93211	250	93086	3351474	35.96
1959	42	0.00321	0.00320	0.5	92961	298	92812	3258388	35.05
1959	43	0.00343	0.00342	0.5	92663	317	92505	3165576	34.16
1959	44	0.00358	0.00357	0.5	92346	330	92181	3073071	33.28
1959	45	0.00384	0.00383	0.5	92017	352	91840	2980890	32.40
1959	46	0.00405	0.00404	0.5	91664	371	91479	2889049	31.52
1959	47	0.00448	0.00447	0.5	91294	408	91090	2797571	30.64
1959	48	0.00510	0.00509	0.5	90886	462	90655	2706481	29.78
1959	49	0.00547	0.00545	0.5	90423	493	90177	2615826	28.93
1959	50	0.00606	0.00604	0.5	89930	543	89659	2525649	28.08
1959	51	0.00593	0.00591	0.5	89387	529	89123	2435991	27.25
1959	52	0.00703	0.00700	0.5	88858	622	88547	2346868	26.41
1959	53	0.00707	0.00704	0.5	88236	622	87925	2258321	25.59
1959	54	0.00848	0.00844	0.5	87615	740	87245	2170395	24.77
1959	55	0.00824	0.00820	0.5	86875	713	86519	2083150	23.98
1959	56	0.00898	0.00894	0.5	86162	770	85777	1996632	23.17
1959	57	0.00947	0.00942	0.5	85392	805	84990	1910855	22.38
1959	58	0.01152	0.01146	0.5	84587	969	84103	1825865	21.59
1959	59	0.01246	0.01238	0.5	83618	1035	83101	1741762	20.83
1959	60	0.01283	0.01275	0.5	82583	1053	82057	1658661	20.08
1959	61	0.01271	0.01263	0.5	81530	1030	81015	1576605	19.34
1959	62	0.01504	0.01493	0.5	80501	1202	79900	1495589	18.58
1959	63	0.01590	0.01578	0.5	79299	1251	78673	1415690	17.85
1959	64	0.01612	0.01599	0.5	78048	1248	77424	1337016	17.13
1959	65	0.01972	0.01953	0.5	76799	1500	76050	1259593	16.40
1959	66	0.01864	0.01846	0.5	75300	1390	74604	1183543	15.72
1959	67	0.02209	0.02185	0.5	73909	1615	73102	1108939	15.00
1959	68	0.02483	0.02452	0.5	72294	1773	71408	1035837	14.33
1959	69	0.02563	0.02530	0.5	70521	1784	69629	964429	13.68
1959	70	0.03082	0.03036	0.5	68737	2087	67694	894800	13.02
1959	71	0.02883	0.02842	0.5	66650	1894	65703	827107	12.41
1959	72	0.03535	0.03474	0.5	64756	2250	63631	761403	11.76
1959	73	0.03745	0.03676	0.5	62507	2298	61358	697772	11.16
1959	74	0.04192	0.04106	0.5	60209	2472	58972	636414	10.57
1959	75	0.04812	0.04699	0.5	57736	2713	56380	577442	10.00
1959	76	0.05196	0.05064	0.5	55023	2786	53630	521062	9.47
1959	77	0.05355	0.05215	0.5	52237	2724	50875	467433	8.95
1959	78	0.06307	0.06114	0.5	49512	3027	47999	416558	8.41
1959	79	0.07211	0.06960	0.5	46485	3235	44868	368559	7.93
1959	80	0.07803	0.07510	0.5	43250	3248	41626	323692	7.48
1959	81	0.07950	0.07646	0.5	40002	3058	38473	282066	7.05
1959	82	0.09512	0.09080	0.5	36943	3354	35266	243593	6.59
1959	83	0.10561	0.10032	0.5	33589	3369	31904	208327	6.20
1959	84	0.11664	0.11021	0.5	30220	3331	28554	176423	5.84
1959	85	0.12753	0.11988	0.5	26889	3223	25277	147869	5.50
1959	86	0.14066	0.13142	0.5	23665	3110	22110	122591	5.18
1959	87	0.16065	0.14870	0.5	20555	3057	19027	100481	4.89
1959	88	0.16126	0.14923	0.5	17499	2611	16193	81454	4.65
1959	89	0.18043	0.16550	0.5	14887	2464	13655	65261	4.38
1959	90	0.20456	0.18558	0.5	12424	2306	11271	51605	4.15
1959	91	0.19283	0.17588	0.5	10118	1780	9228	40335	3.99
1959	92	0.22819	0.20482	0.5	8338	1708	7485	31106	3.73
1959	93	0.23587	0.21099	0.5	6631	1399	5931	23622	3.56
1959	94	0.24392	0.21741	0.5	5232	1137	4663	17691	3.38
1959	95	0.26781	0.23619	0.5	4094	967	3611	13028	3.18
1959	96	0.28687	0.25089	0.5	3127	785	2735	9417	3.01
1959	97	0.30672	0.26593	0.5	2343	623	2031	6682	2.85
1959	98	0.32730	0.28127	0.5	1720	484	1478	4651	2.70
1959	99	0.34858	0.29684	0.5	1236	367	1053	3173	2.57
1959	100	0.37047	0.31257	0.5	869	272	733	2121	2.44
1959	101	0.39291	0.32840	0.5	597	196	499	1388	2.32
1959	102	0.41582	0.34425	0.5	401	138	332	888	2.21
1959	103	0.43909	0.36004	0.5	263	95	216	556	2.11
1959	104	0.46263	0.37572	0.5	168	63	137	340	2.02
1959	105	0.48635	0.39121	0.5	105	41	85	204	1.94
1959	106	0.51012	0.40645	0.5	64	26	51	119	1.86
1959	107	0.53385	0.42137	0.5	38	16	30	68	1.79
1959	108	0.55742	0.43592	0.5	22	10	17	38	1.73
1959	109	0.58074	0.45006	0.5	12	6	10	21	1.69
1959	110+	0.60370	1.00000	1.66	7	7	11	11	1.66
1960	0	0.02743	0.02679	0.13	100000	2679	97669	7260836	72.61
1960	1	0.00214	0.00214	0.5	97321	208	97217	7163167	73.60
1960	2	0.00119	0.00119	0.5	97113	115	97056	7065950	72.76
1960	3	0.00087	0.00087	0.5	96998	84	96956	6968894	71.85
1960	4	0.00074	0.00074	0.5	96914	72	96878	6871939	70.91
1960	5	0.00062	0.00062	0.5	96842	60	96812	6775061	69.96
1960	6	0.00055	0.00055	0.5	96782	53	96755	6678249	69.00
1960	7	0.00047	0.00047	0.5	96728	46	96706	6581494	68.04
1960	8	0.00040	0.00040	0.5	96683	38	96664	6484788	67.07
1960	9	0.00040	0.00040	0.5	96644	38	96625	6388125	66.10
1960	10	0.00034	0.00034	0.5	96606	33	96590	6291500	65.13
1960	11	0.00035	0.00035	0.5	96573	34	96556	6194910	64.15
1960	12	0.00037	0.00037	0.5	96540	35	96522	6098353	63.17
1960	13	0.00039	0.00039	0.5	96504	37	96486	6001831	62.19
1960	14	0.00040	0.00040	0.5	96467	38	96448	5905346	61.22
1960	15	0.00051	0.00051	0.5	96429	49	96404	5808898	60.24
1960	16	0.00058	0.00058	0.5	96380	55	96352	5712493	59.27
1960	17	0.00059	0.00059	0.5	96324	57	96296	5616141	58.30
1960	18	0.00067	0.00067	0.5	96267	65	96235	5519845	57.34
1960	19	0.00077	0.00077	0.5	96203	74	96166	5423610	56.38
1960	20	0.00073	0.00073	0.5	96129	70	96094	5327445	55.42
