PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
Reg3,m,1960-1969,0,0.03150,0.03066,0.13,100000,3066,97331,6568811,65.69
Reg3,m,1960-1969,1-4,0.00126,0.00502,1.58,96934,486,386559,6471480,66.76
Reg3,m,1960-1969,5-9,0.00057,0.00286,2.34,96447,276,481503,6084921,63.09
Reg3,m,1960-1969,10-14,0.00062,0.00307,2.77,96171,296,480198,5603418,58.26
Reg3,m,1960-1969,15-19,0.00160,0.00795,2.82,95876,763,477716,5123220,53.44
Reg3,m,1960-1969,20-24,0.00212,0.01054,2.5,95113,1003,473060,4645504,48.84
Reg3,m,1960-1969,25-29,0.00219,0.01089,2.52,94110,1024,468010,4172444,44.34
Reg3,m,1960-1969,30-34,0.00257,0.01277,2.6,93086,1189,462571,3704434,39.80
Reg3,m,1960-1969,35-39,0.00362,0.01794,2.65,91897,1649,455610,3241863,35.28
Reg3,m,1960-1969,40-44,0.00556,0.02743,2.67,90248,2475,445462,2786253,30.87
Reg3,m,1960-1969,45-49,0.00862,0.04226,2.66,87772,3709,430174,2340791,26.67
Reg3,m,1960-1969,50-54,0.01353,0.06558,2.64,84063,5513,407316,1910617,22.73
Reg3,m,1960-1969,55-59,0.01995,0.09522,2.61,78551,7479,374873,1503301,19.14
Reg3,m,1960-1969,60-64,0.02900,0.13554,2.6,71072,9633,332216,1128428,15.88
Reg3,m,1960-1969,65-69,0.04244,0.19213,2.54,61438,11804,278116,796212,12.96
Reg3,m,1960-1969,70-74,0.05952,0.25936,2.52,49634,12873,216283,518096,10.44
Reg3,m,1960-1969,75-79,0.08312,0.34314,2.46,36761,12614,151752,301814,8.21
Reg3,m,1960-1969,80-84,0.12610,0.47578,2.42,24147,11489,91105,150061,6.21
Reg3,m,1960-1969,85-89,0.18833,0.62162,2.27,12658,7869,41780,58956,4.66
Reg3,m,1960-1969,90-94,0.25867,0.73844,2.09,4790,3537,13674,17176,3.59
Reg3,m,1960-1969,95-99,0.34350,0.83545,1.93,1253,1047,3047,3503,2.80
Reg3,m,1960-1969,100-104,0.44381,0.90503,1.73,206,187,420,456,2.21
Reg3,m,1960-1969,105-109,0.54917,0.94697,1.54,20,19,34,35,1.81
Reg3,m,1960-1969,110+,0.63411,1.00000,1.58,1,1,2,2,1.58
Reg3,m,1970-1979,0,0.02107,0.02068,0.1,100000,2068,98142,6737260,67.37
Reg3,m,1970-1979,1-4,0.00092,0.00366,1.66,97932,359,390887,6639118,67.79
Reg3,m,1970-1979,5-9,0.00049,0.00244,2.36,97573,239,487236,6248231,64.04
Reg3,m,1970-1979,10-14,0.00054,0.00271,2.81,97335,264,486095,5760995,59.19
Reg3,m,1970-1979,15-19,0.00163,0.00813,2.85,97071,789,483659,5274900,54.34
Reg3,m,1970-1979,20-24,0.00216,0.01075,2.51,96282,1035,478831,4791242,49.76
Reg3,m,1970-1979,25-29,0.00218,0.01083,2.5,95247,1031,473658,4312411,45.28
Reg3,m,1970-1979,30-34,0.00239,0.01187,2.59,94216,1118,468382,3838753,40.74
Reg3,m,1970-1979,35-39,0.00329,0.01635,2.65,93098,1522,461921,3370370,36.20
Reg3,m,1970-1979,40-44,0.00504,0.02489,2.67,91576,2279,452582,2908449,31.76
Reg3,m,1970-1979,45-49,0.00793,0.03895,2.66,89297,3478,438361,2455867,27.50
Reg3,m,1970-1979,50-54,0.01228,0.05966,2.64,85819,5120,417011,2017506,23.51
Reg3,m,1970-1979,55-59,0.01841,0.08818,2.62,80699,7116,386590,1600495,19.83
Reg3,m,1970-1979,60-64,0.02731,0.12819,2.6,73583,9432,345319,1213905,16.50
Reg3,m,1970-1979,65-69,0.03835,0.17532,2.56,64150,11247,293293,868586,13.54
Reg3,m,1970-1979,70-74,0.05517,0.24281,2.53,52903,12845,232825,575293,10.87
Reg3,m,1970-1979,75-79,0.07912,0.32996,2.49,40058,13218,167052,342468,8.55
Reg3,m,1970-1979,80-84,0.11881,0.45483,2.42,26840,12208,102747,175416,6.54
Reg3,m,1970-1979,85-89,0.17335,0.59000,2.29,14632,8633,49801,72669,4.97
Reg3,m,1970-1979,90-94,0.24120,0.71389,2.14,5999,4283,17756,22867,3.81
Reg3,m,1970-1979,95-99,0.32035,0.81304,1.97,1716,1396,4356,5111,2.98
Reg3,m,1970-1979,100-104,0.41556,0.88878,1.78,321,285,686,755,2.35
Reg3,m,1970-1979,105-109,0.51764,0.93664,1.59,36,33,65,68,1.91
Reg3,m,1970-1979,110+,0.60091,1.00000,1.66,2,2,4,4,1.66
Reg3,m,1980-1989,0,0.01337,0.01321,0.08,100000,1321,98786,7008995,70.09
Reg3,m,1980-1989,1-4,0.00068,0.00272,1.65,98679,268,394087,6910209,70.03
Reg3,m,1980-1989,5-9,0.00033,0.00167,2.41,98411,164,491631,6516122,66.21
Reg3,m,1980-1989,10-14,0.00040,0.00198,2.81,98247,195,490808,6024491,61.32
Reg3,m,1980-1989,15-19,0.00133,0.00664,2.88,98052,651,488883,5533683,56.44
Reg3,m,1980-1989,20-24,0.00190,0.00948,2.53,97401,923,484723,5044800,51.79
Reg3,m,1980-1989,25-29,0.00199,0.00988,2.52,96478,953,480026,4560076,47.27
Reg3,m,1980-1989,30-34,0.00222,0.01105,2.54,95525,1056,475029,4080051,42.71
Reg3,m,1980-1989,35-39,0.00270,0.01339,2.61,94469,1265,469319,3605021,38.16
Reg3,m,1980-1989,40-44,0.00379,0.01877,2.66,93204,1750,461917,3135703,33.64
Reg3,m,1980-1989,45-49,0.00589,0.02903,2.67,91454,2655,451084,2673786,29.24
Reg3,m,1980-1989,50-54,0.00953,0.04664,2.67,88799,4141,434329,2222702,25.03
Reg3,m,1980-1989,55-59,0.01497,0.07232,2.64,84658,6122,408867,1788373,21.12
Reg3,m,1980-1989,60-64,0.02252,0.10683,2.61,78536,8390,372589,1379506,17.57
Reg3,m,1980-1989,65-69,0.03303,0.15296,2.59,70146,10730,324842,1006917,14.35
Reg3,m,1980-1989,70-74,0.04915,0.21946,2.56,59417,13040,265284,682075,11.48
Reg3,m,1980-1989,75-79,0.07163,0.30376,2.5,46377,14088,196686,416791,8.99
Reg3,m,1980-1989,80-84,0.11092,0.43190,2.44,32289,13946,125723,220105,6.82
Reg3,m,1980-1989,85-89,0.16386,0.56927,2.32,18344,10442,63729,94382,5.15
Reg3,m,1980-1989,90-94,0.23473,0.70524,2.17,7901,5572,23739,30653,3.88
Reg3,m,1980-1989,95-99,0.32069,0.81421,1.98,2329,1896,5913,6914,2.97
Reg3,m,1980-1989,100-104,0.42258,0.89366,1.77,433,387,915,1001,2.31
