Reg4: , Lifetables (period 1x1), Both sexes Last modified: 20 Dec 2020, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02548	0.02492	0.12	100000	2492	97806	7082404	70.82
1959	1	0.00167	0.00167	0.5	97508	163	97427	6984599	71.63
1959	2	0.00106	0.00106	0.5	97346	103	97294	6887172	70.75
1959	3	0.00083	0.00083	0.5	97242	80	97202	6789878	69.82
1959	4	0.00075	0.00075	0.5	97162	73	97126	6692676	68.88
1959	5	0.00062	0.00061	0.5	97089	60	97059	6595550	67.93
1959	6	0.00055	0.00055	0.5	97029	54	97002	6498491	66.97
1959	7	0.00043	0.00043	0.5	96976	42	96955	6401489	66.01
1959	8	0.00038	0.00038	0.5	96933	37	96915	6304534	65.04
1959	9	0.00035	0.00035	0.5	96897	34	96880	6207619	64.06
1959	10	0.00038	0.00038	0.5	96863	37	96844	6110739	63.09
1959	11	0.00038	0.00038	0.5	96826	37	96807	6013895	62.11
1959	12	0.00042	0.00042	0.5	96789	40	96769	5917088	61.13
1959	13	0.00048	0.00048	0.5	96749	46	96725	5820319	60.16
1959	14	0.00058	0.00058	0.5	96702	56	96674	5723593	59.19
1959	15	0.00074	0.00074	0.5	96646	72	96610	5626919	58.22
1959	16	0.00079	0.00079	0.5	96575	76	96537	5530309	57.26
1959	17	0.00097	0.00097	0.5	96499	94	96452	5433772	56.31
1959	18	0.00110	0.00110	0.5	96405	106	96352	5337320	55.36
1959	19	0.00115	0.00115	0.5	96299	110	96244	5240968	54.42
1959	20	0.00127	0.00127	0.5	96189	122	96128	5144724	53.49
1959	21	0.00137	0.00137	0.5	96067	131	96001	5048596	52.55
1959	22	0.00119	0.00119	0.5	95935	114	95878	4952595	51.62
1959	23	0.00122	0.00122	0.5	95821	117	95763	4856717	50.69
1959	24	0.00124	0.00124	0.5	95704	118	95645	4760955	49.75
1959	25	0.00127	0.00127	0.5	95586	121	95525	4665310	48.81
1959	26	0.00128	0.00128	0.5	95464	123	95403	4569785	47.87
1959	27	0.00127	0.00127	0.5	95342	121	95281	4474382	46.93
1959	28	0.00132	0.00132	0.5	95221	125	95158	4379100	45.99
1959	29	0.00134	0.00134	0.5	95096	127	95032	4283942	45.05
